time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,23.1,19.1,26.0,0.3,,2.0,6.1,,1017.2,
2023-01-02,23.7,18.4,26.9,4.1,,326.0,5.7,,1017.1,
2023-01-03,22.8,19.0,27.2,0.3,10.0,335.0,6.6,,1017.8,
2023-01-04,22.4,18.8,26.0,4.1,10.0,25.0,7.2,,1017.2,
2023-01-05,23.8,18.8,27.0,0.5,,351.0,4.2,,1016.9,
2023-01-06,23.7,19.4,27.8,11.9,,235.0,5.2,,1017.1,
2023-01-07,22.8,18.2,27.2,3.0,,69.0,6.8,,1018.1,
2023-01-08,21.5,18.9,27.3,0.3,,258.0,7.0,,1017.9,
2023-01-09,23.2,18.9,26.0,17.0,,320.0,6.1,,1017.5,
2023-01-10,21.7,19.2,23.0,10.9,,352.0,6.2,,1017.4,
2023-01-11,22.7,18.8,26.6,38.1,,248.0,8.2,,1017.5,
2023-01-12,22.2,18.3,26.7,7.1,41.0,217.0,7.6,,1017.9,
2023-01-13,24.2,19.2,27.2,1.0,10.0,246.0,6.3,,1015.5,
2023-01-14,22.7,18.0,28.4,13.0,41.0,272.0,7.0,,1016.8,
2023-01-15,23.6,19.1,28.4,0.0,,23.0,9.4,,1017.1,
2023-01-16,23.3,18.7,27.2,26.9,,49.0,8.4,,1016.1,
2023-01-17,24.4,19.3,27.0,0.0,,353.0,6.9,,1015.2,
2023-01-18,22.1,18.6,27.5,0.0,30.0,18.0,5.8,,1015.8,
2023-01-19,23.4,18.9,27.3,2.0,,147.0,8.8,,1017.1,
2023-01-20,22.6,18.4,26.3,32.0,71.0,238.0,8.0,,1017.1,
2023-01-21,22.6,19.5,26.6,3.0,,277.0,6.7,,1015.2,
2023-01-22,22.5,18.5,27.4,3.0,20.0,273.0,6.5,,1014.3,
2023-01-23,23.6,18.3,28.1,19.1,,293.0,10.1,,1016.1,
2023-01-24,24.8,19.0,29.0,0.0,,266.0,10.2,,1015.7,
2023-01-25,25.7,20.0,29.5,0.0,,244.0,8.6,,1014.3,
2023-01-26,25.8,20.2,29.8,0.0,,295.0,8.1,,1013.5,
2023-01-27,25.6,19.1,29.6,0.0,,330.0,9.8,,1013.9,
2023-01-28,25.9,19.3,30.0,0.0,,284.0,9.2,,1014.3,
