time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,24.2,21.2,28.7,21.4,,57.0,3.8,,1012.8,
2023-01-02,23.9,20.7,28.5,15.0,,150.0,4.0,,1012.9,
2023-01-03,23.9,21.0,28.7,8.1,,4.0,6.5,,1012.9,
2023-01-04,24.8,21.9,29.2,0.1,,347.0,4.9,,1011.9,
2023-01-05,25.0,20.9,29.2,13.2,,5.0,4.5,,1011.8,
2023-01-06,24.6,21.7,28.8,3.5,,155.0,3.9,,1012.2,
2023-01-07,24.2,21.5,27.6,5.2,,161.0,4.0,,1012.9,
2023-01-08,24.3,20.3,28.4,1.9,,204.0,3.9,,1012.8,
2023-01-09,24.9,21.5,28.9,2.5,,344.0,4.3,,1012.2,
2023-01-10,24.3,21.4,27.9,4.6,,31.0,8.3,,1012.4,
2023-01-11,24.0,21.2,27.4,10.1,,145.0,6.3,,1012.6,
2023-01-12,23.8,21.3,27.4,0.4,,177.0,6.9,,1012.4,
2023-01-13,24.6,20.5,28.5,1.6,,349.0,7.6,,1011.1,
2023-01-14,24.6,20.9,28.3,0.3,,82.0,7.4,,1011.7,
2023-01-15,24.4,21.1,28.8,4.3,,349.0,9.5,,1012.3,
2023-01-16,23.9,20.8,28.2,3.8,,97.0,4.9,,1011.7,
2023-01-17,24.6,21.1,29.3,1.5,,39.0,7.6,,1010.6,
2023-01-18,24.8,21.4,28.3,3.3,,208.0,8.2,,1011.0,
2023-01-19,23.7,20.8,27.6,27.9,,158.0,6.2,,1012.4,
2023-01-20,23.8,21.1,28.0,8.3,,146.0,5.3,,1012.1,
2023-01-21,24.4,20.9,28.4,0.0,,204.0,5.8,,1010.1,
2023-01-22,24.5,22.2,27.7,0.0,,13.0,6.8,,1009.4,
2023-01-23,24.6,20.8,28.8,0.0,,284.0,8.1,,1010.5,
2023-01-24,24.7,20.5,29.0,0.0,,226.0,8.7,,1010.0,
2023-01-25,25.5,20.9,30.5,0.0,,354.0,8.0,,1008.9,
2023-01-26,25.8,21.1,30.6,0.0,,62.0,7.8,,1008.6,
2023-01-27,25.9,22.3,30.2,0.2,,63.0,8.5,,1009.1,
