time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,13.5,9.3,16.0,6.7,,298.0,4.8,,1022.0,
2023-01-02,14.7,9.2,19.0,6.7,,225.0,6.1,,1021.9,
2023-01-03,14.4,11.4,19.0,3.3,,89.0,2.7,,1021.9,
2023-01-04,15.0,10.2,20.0,0.0,,51.0,7.7,,1021.3,
2023-01-05,15.0,10.9,19.0,8.2,,249.0,7.0,,1020.6,
2023-01-06,15.3,11.6,21.0,10.0,,268.0,5.5,,1021.8,
2023-01-07,14.9,11.0,19.0,21.8,,254.0,3.6,,1021.4,
2023-01-08,14.7,12.3,19.0,25.7,,269.0,3.9,,1022.0,
2023-01-09,14.9,12.2,19.0,22.6,,263.0,4.4,,1022.4,
2023-01-10,14.4,11.4,18.0,8.8,,322.0,5.5,,1022.5,
2023-01-11,14.6,11.5,18.0,27.7,,233.0,5.6,,1021.5,
2023-01-12,14.1,10.5,18.0,38.1,,230.0,5.8,,1021.1,
2023-01-13,14.8,10.4,20.0,35.9,,202.0,7.9,,1022.2,
2023-01-14,14.8,10.6,20.0,3.1,,354.0,14.7,,1021.8,
2023-01-15,15.1,11.5,19.0,17.0,,238.0,8.5,,1021.1,
2023-01-16,15.2,11.4,19.0,3.9,,319.0,7.1,,1020.1,
2023-01-17,14.8,9.3,21.0,8.5,,82.0,7.7,,1019.5,
2023-01-18,14.4,9.4,20.0,15.8,,179.0,6.2,,1019.8,
2023-01-19,14.8,11.5,19.0,16.2,,246.0,6.7,,1020.0,
2023-01-20,15.2,11.3,21.0,8.2,,264.0,6.9,,1018.4,
2023-01-21,14.9,11.3,20.0,23.9,,222.0,7.1,,1019.8,
2023-01-22,14.4,11.0,18.0,32.2,,329.0,4.2,,1019.3,
2023-01-23,14.6,10.3,20.0,32.6,,164.0,7.5,,1019.2,
2023-01-24,14.6,10.2,19.0,21.7,,194.0,8.6,,1018.5,
2023-01-25,14.9,9.9,22.0,5.6,,123.0,7.7,,1019.2,
2023-01-26,14.9,10.2,21.0,3.7,,137.0,9.4,,1016.3,
2023-01-27,15.5,9.0,22.0,2.8,,147.0,9.2,,1018.4,
2023-01-28,15.7,9.3,24.0,2.8,,125.0,8.6,,1018.3,
2023-01-29,15.6,8.9,23.0,6.1,,129.0,7.4,,1018.6,
2023-01-30,15.4,10.1,22.0,4.9,,179.0,7.7,,1018.7,
2023-01-31,15.5,9.7,23.0,3.9,,123.0,8.1,,1019.7,
2023-02-01,15.4,9.5,22.0,3.4,,142.0,8.9,,1019.5,
2023-02-02,15.6,9.2,22.0,14.8,,196.0,8.1,,1019.2,
2023-02-03,14.7,10.1,20.0,20.6,,171.0,6.6,,1015.4,
2023-02-04,15.0,9.7,21.0,13.8,,133.0,7.6,,1021.3,
2023-02-05,14.8,9.0,21.0,16.6,,139.0,9.1,,1019.3,
2023-02-06,15.8,10.3,22.0,20.8,,169.0,7.6,,1019.6,
2023-02-07,15.6,9.9,22.0,13.5,,200.0,9.4,,1018.1,
2023-02-08,16.3,10.2,21.0,11.4,,181.0,8.1,,1018.2,
2023-02-09,15.2,11.1,20.0,28.6,,124.0,7.1,,1018.9,
2023-02-10,15.4,10.1,21.0,25.3,,155.0,7.7,,1016.9,
2023-02-11,15.6,10.8,21.0,29.2,,127.0,7.2,,1017.7,
2023-02-12,15.7,11.9,20.0,25.6,,205.0,7.9,,1015.9,
2023-02-13,16.3,12.1,21.0,23.3,,224.0,5.7,,1018.1,
2023-02-14,15.8,11.8,21.0,26.8,,151.0,6.9,,1017.5,
2023-02-15,15.7,11.6,21.0,23.9,,254.0,5.3,,1019.5,
2023-02-16,15.0,11.5,19.0,42.9,,231.0,5.7,,1019.4,
2023-02-17,16.4,11.2,23.0,13.6,,246.0,8.3,,1019.2,
2023-02-18,15.3,11.8,20.0,10.2,,165.0,7.1,,1019.3,
2023-02-19,16.0,12.2,23.0,5.9,,76.0,8.1,,1017.9,
2023-02-20,15.0,13.0,19.0,18.9,,295.0,4.7,,1018.0,
2023-02-21,14.8,10.9,18.0,13.4,,304.0,5.5,,1020.3,
2023-02-22,15.0,12.4,18.0,9.9,,234.0,6.6,,1022.3,
2023-02-23,15.1,10.1,21.0,10.8,,3.0,9.0,,1020.3,
2023-02-24,15.8,10.3,23.0,7.5,,277.0,7.2,,1019.8,
2023-02-25,15.6,10.5,22.0,6.9,,216.0,8.3,,1018.5,
2023-02-26,15.9,10.2,22.0,11.2,,36.0,7.2,,1015.5,
2023-02-27,17.1,11.4,23.0,17.0,,248.0,6.7,,1018.9,
2023-02-28,16.5,11.0,23.0,26.7,,119.0,8.6,,1020.4,
2023-03-01,16.2,11.6,22.0,22.9,,102.0,7.3,,1019.4,
2023-03-02,16.2,12.0,21.0,25.3,,164.0,6.5,,1017.9,
2023-03-03,16.2,12.0,21.0,64.1,,217.0,7.1,,1017.8,
2023-03-04,16.3,12.5,21.0,56.8,,244.0,7.0,,1019.2,
2023-03-05,15.8,12.7,20.0,68.2,,261.0,5.7,,1017.0,
2023-03-06,16.0,12.8,21.0,56.6,,219.0,8.1,,1020.3,
2023-03-07,15.3,12.4,19.0,13.1,,301.0,6.1,,1020.4,
2023-03-08,15.3,11.8,20.0,8.9,,320.0,5.9,,1020.9,
