time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,20.8,17.9,25.7,5.8,,62.0,3.5,,1015.3,
2023-01-02,21.3,16.8,30.0,6.5,,225.0,3.7,,1015.1,
2023-01-03,20.5,18.4,27.0,32.1,10.0,86.0,2.8,,1015.9,
2023-01-04,21.3,17.4,28.0,0.9,,323.0,3.3,,1013.8,
2023-01-05,22.0,17.9,29.0,10.5,,288.0,4.1,,1013.8,
2023-01-06,21.8,18.5,27.0,13.2,,57.0,2.6,,1014.4,
2023-01-07,21.7,18.6,28.0,2.8,,24.0,3.8,,1014.4,
2023-01-08,21.2,17.7,26.1,18.6,,95.0,3.2,,1014.9,
2023-01-09,20.6,17.5,25.2,15.5,10.0,73.0,3.5,,1015.3,
2023-01-10,20.7,18.3,27.0,33.3,,76.0,4.3,,1015.3,
2023-01-11,21.0,18.2,26.6,6.6,,67.0,4.5,,1014.6,
2023-01-12,20.8,17.2,26.0,14.4,10.0,50.0,5.1,,1014.6,
2023-01-13,20.6,16.1,25.5,4.9,,113.0,4.9,,1013.9,
2023-01-14,21.0,18.3,28.0,15.4,41.0,80.0,4.3,,1014.4,
2023-01-15,21.2,17.2,29.0,3.5,,28.0,5.6,,1014.2,
2023-01-16,21.4,17.3,28.0,0.0,,77.0,5.0,,1013.1,
2023-01-17,21.8,17.5,29.0,4.4,,304.0,5.5,,1012.5,
2023-01-18,21.6,17.9,26.6,4.7,10.0,356.0,5.6,,1012.9,
2023-01-19,21.8,18.4,29.0,14.7,,57.0,4.5,,1014.0,
2023-01-20,22.2,18.0,29.0,5.3,10.0,54.0,4.9,,1013.5,
2023-01-21,21.1,17.7,25.7,3.0,,50.0,4.9,,1012.5,
2023-01-22,21.1,18.3,26.0,3.1,,57.0,4.3,,1011.8,
2023-01-23,21.8,15.8,30.0,0.0,,342.0,4.4,,1011.7,
2023-01-24,21.1,16.3,26.6,2.7,,94.0,4.6,,1011.8,
2023-01-25,21.6,16.3,28.0,1.0,,328.0,4.9,,1011.4,
2023-01-26,22.6,17.4,31.0,0.2,,329.0,5.1,,1011.2,
2023-01-27,22.8,18.5,30.0,0.0,,352.0,6.3,,1011.0,
2023-01-28,23.2,17.3,32.0,0.0,,344.0,6.1,,1010.2,
2023-01-29,22.4,17.0,31.0,0.4,,224.0,6.2,,1010.5,
2023-01-30,22.7,16.8,31.0,5.1,20.0,91.0,5.8,,1011.7,
2023-01-31,22.4,18.7,31.0,0.0,,68.0,5.9,,1012.0,
2023-02-01,22.4,16.7,31.0,0.7,,238.0,5.8,,1011.8,
2023-02-02,22.7,18.2,28.2,0.9,,16.0,5.8,,1011.7,
2023-02-03,22.1,18.3,30.0,4.7,10.0,47.0,4.9,,1012.9,
2023-02-04,22.1,16.9,31.0,0.0,,20.0,4.7,,1013.4,
2023-02-05,22.6,17.0,30.0,0.0,,25.0,6.8,,1012.2,
2023-02-06,22.5,16.7,29.3,6.4,,321.0,5.7,,1011.5,
2023-02-07,22.9,17.0,33.0,1.6,,0.0,5.0,,1010.9,
2023-02-08,23.2,17.6,29.7,0.2,,260.0,5.7,,1010.8,
2023-02-09,22.9,18.5,32.0,0.3,20.0,41.0,5.7,,1011.4,
2023-02-10,23.9,18.0,33.0,2.1,,124.0,5.4,,1010.5,
2023-02-11,22.8,19.2,28.2,3.6,,98.0,4.8,,1010.2,
2023-02-12,22.9,19.8,28.0,6.1,,52.0,4.3,,1009.6,
2023-02-13,22.7,18.9,28.6,5.7,,52.0,5.2,,1010.1,
2023-02-14,22.8,18.8,28.8,2.1,,88.0,4.8,,1011.3,
2023-02-15,23.7,19.1,31.0,5.9,,66.0,5.2,,1012.2,
2023-02-16,21.5,19.3,26.0,7.4,,31.0,3.8,,1012.1,
2023-02-17,23.1,17.0,32.0,14.1,,21.0,5.5,,1011.2,
2023-02-18,23.1,19.2,31.0,2.9,20.0,45.0,5.4,,1011.7,
2023-02-19,23.3,18.6,31.0,8.6,,351.0,5.8,,1011.5,
2023-02-20,22.2,19.5,27.0,5.1,,81.0,5.0,,1012.2,
2023-02-21,21.5,18.5,25.9,11.2,20.0,202.0,4.4,,1012.7,
2023-02-22,21.0,19.0,24.0,2.6,,5.0,3.2,,1014.4,
2023-02-23,22.4,17.6,28.4,0.5,,29.0,4.8,,1013.9,
2023-02-24,22.5,16.8,31.0,3.6,,17.0,3.2,,1013.7,
2023-02-25,23.2,18.7,31.0,2.0,,15.0,3.3,,1013.1,
2023-02-26,23.0,18.9,28.8,0.5,,122.0,5.1,,1012.3,
2023-02-27,23.9,18.6,32.0,0.4,,55.0,4.5,,1011.9,
2023-02-28,24.4,18.9,33.0,0.8,,333.0,4.5,,1011.9,
2023-03-01,23.8,19.1,32.0,1.1,,13.0,5.2,,1012.1,
2023-03-02,23.6,19.7,32.0,9.8,20.0,37.0,3.7,,1010.3,
2023-03-03,23.6,19.2,30.0,9.8,,18.0,4.4,,1009.8,
2023-03-04,23.1,19.8,27.9,1.1,,47.0,4.6,,1011.0,
2023-03-05,22.4,19.8,27.1,8.9,,36.0,3.5,,1012.1,
2023-03-06,22.8,18.7,30.0,11.9,,47.0,4.0,,1012.3,
2023-03-07,22.3,19.0,27.3,19.1,30.0,75.0,5.1,,1012.9,
2023-03-08,22.0,19.5,28.0,20.7,,67.0,4.3,,1013.6,
2023-03-09,20.9,16.0,24.0,35.7,,72.0,3.1,,1014.7,
2023-03-10,22.8,19.1,30.0,30.6,10.0,307.0,4.4,,1014.1,
2023-03-11,20.7,19.0,24.0,25.7,30.0,3.0,2.3,,1015.0,
2023-03-12,21.8,18.6,27.0,10.1,,3.0,4.4,,1014.8,
2023-03-13,21.1,19.0,25.7,15.6,,18.0,3.3,,1015.4,
2023-03-14,21.7,18.9,26.1,11.3,10.0,21.0,2.2,,1015.4,
2023-03-15,21.2,18.6,27.0,20.2,,21.0,2.8,,1015.7,
2023-03-16,21.4,17.0,28.0,4.2,10.0,337.0,2.6,,1014.6,
2023-03-17,22.6,18.4,29.0,12.0,,307.0,4.3,,1014.2,
2023-03-18,21.6,18.8,27.0,13.4,,8.0,3.2,,1014.9,
2023-03-19,22.4,18.0,31.0,1.7,,354.0,3.2,,1014.4,
2023-03-20,22.8,17.8,30.0,0.8,,339.0,4.1,,1014.5,
2023-03-21,23.1,18.1,30.0,0.4,,288.0,4.6,,1012.9,
2023-03-22,22.8,19.0,29.0,1.8,,13.0,2.9,,1012.6,
2023-03-23,22.7,18.8,31.0,7.5,10.0,30.0,3.1,,1013.1,
2023-03-24,20.9,19.5,26.0,12.8,10.0,35.0,3.6,,1013.7,
2023-03-25,22.7,18.9,30.0,5.8,,24.0,4.6,,1013.0,
2023-03-26,22.0,18.6,28.0,13.2,,7.0,2.4,,1012.8,
2023-03-27,22.2,17.2,28.0,17.7,,354.0,3.7,,1012.8,
2023-03-28,22.2,17.3,28.0,4.0,10.0,32.0,4.2,,1012.3,
2023-03-29,21.9,18.0,27.0,9.1,51.0,39.0,4.1,,1012.0,
2023-03-30,22.3,17.0,28.6,9.5,,1.0,5.1,,1011.4,
2023-03-31,23.2,19.3,29.0,13.8,,4.0,2.2,,1012.5,
2023-04-01,22.7,19.2,28.3,17.4,,42.0,3.2,,1012.6,
2023-04-02,22.3,18.2,28.0,14.1,20.0,349.0,2.5,,1012.2,
2023-04-03,22.6,17.0,28.0,5.7,10.0,59.0,4.5,,1010.5,
2023-04-04,22.5,19.3,27.5,2.5,10.0,48.0,4.5,,1010.6,
2023-04-05,23.5,18.4,31.0,8.0,,267.0,4.6,,1010.6,
2023-04-06,20.3,18.0,24.0,34.6,41.0,79.0,3.9,,1012.2,
2023-04-07,21.9,18.4,29.0,3.3,,209.0,5.0,,1013.1,
2023-04-08,23.1,17.2,30.0,0.0,10.0,299.0,3.6,,1012.8,
2023-04-09,24.3,18.3,32.0,1.9,,294.0,4.0,,1011.4,
2023-04-10,23.2,19.0,29.0,8.4,,322.0,2.6,,1012.3,
2023-04-11,23.0,19.3,31.0,4.3,,6.0,5.6,,1012.0,
2023-04-12,24.1,19.2,34.0,7.0,,340.0,2.6,,1011.6,
2023-04-13,22.9,18.9,27.7,9.3,,20.0,3.0,,1010.8,
2023-04-14,21.9,18.8,26.7,8.2,,347.0,2.3,,1011.5,
2023-04-15,23.4,19.6,30.0,9.8,,7.0,3.4,,1012.6,
2023-04-16,21.1,19.4,25.0,17.5,,21.0,3.0,,1014.2,
2023-04-17,21.9,19.1,27.0,12.8,,336.0,3.8,,1013.5,
2023-04-18,23.2,17.6,30.0,0.2,,334.0,2.3,,1011.9,
2023-04-19,23.9,17.8,32.0,0.0,,315.0,3.8,,1010.7,
2023-04-20,22.3,19.0,29.0,12.2,,57.0,4.3,,1013.4,
2023-04-21,21.6,17.0,28.0,17.6,10.0,8.0,3.3,,1013.8,
2023-04-22,22.1,19.6,27.0,22.6,,35.0,2.7,,1013.4,
2023-04-23,22.2,18.4,28.0,4.8,,339.0,3.7,,1013.3,
2023-04-24,22.5,18.5,29.0,0.1,,339.0,3.3,,1013.3,
2023-04-25,22.4,16.0,31.0,2.3,,290.0,4.6,,1012.9,
2023-04-26,22.0,17.3,28.0,8.8,,341.0,2.8,,1013.0,
2023-04-27,22.8,18.2,29.0,5.8,,3.0,4.2,,1013.2,
2023-04-28,23.0,18.8,31.0,12.2,20.0,13.0,3.8,,1013.2,
2023-04-29,22.5,18.4,29.0,17.6,,24.0,4.0,,1014.4,
2023-04-30,22.2,18.8,29.0,7.3,,351.0,3.8,,1014.6,
2023-05-01,22.7,17.1,30.0,7.8,,336.0,3.4,,1012.9,
2023-05-02,24.3,17.5,33.0,0.0,,347.0,2.8,,1010.5,
2023-05-03,24.5,18.6,31.0,3.4,,348.0,4.2,,1009.3,
2023-05-04,24.6,18.1,33.0,1.8,,321.0,4.1,,1009.9,
2023-05-05,24.5,20.1,32.0,10.8,,345.0,3.9,,1010.1,
2023-05-06,24.3,19.3,31.0,21.3,,0.0,4.1,,1011.8,
2023-05-07,25.1,19.7,33.0,0.9,,348.0,2.9,,1011.1,
2023-05-08,24.8,19.2,31.0,0.4,,303.0,4.0,,1010.1,
2023-05-09,25.1,20.0,33.0,12.3,,8.0,3.3,,1011.9,
2023-05-10,22.6,20.6,27.0,10.0,,11.0,3.2,,1013.9,
2023-05-11,23.0,19.8,29.0,5.3,,3.0,4.4,,1012.8,
2023-05-12,23.7,18.0,30.0,5.6,,333.0,4.0,,1011.8,
2023-05-13,24.2,20.6,33.0,12.8,,304.0,4.1,,1011.4,
2023-05-14,23.7,20.7,29.0,6.7,,355.0,2.5,,1013.3,
2023-05-15,22.9,19.9,29.0,0.0,,21.0,4.7,,1015.3,
2023-05-16,21.6,19.5,25.7,20.4,,45.0,4.9,,1016.1,
2023-05-17,23.6,18.7,29.0,2.8,,345.0,3.3,,1012.9,
2023-05-18,24.9,18.7,32.0,2.6,,281.0,5.6,,1011.5,
2023-05-19,24.3,19.7,31.0,17.3,,68.0,4.5,,1012.3,
2023-05-20,22.2,20.2,25.7,44.3,,152.0,5.2,,1013.1,
2023-05-21,22.3,20.2,26.2,21.5,,135.0,5.2,,1013.3,
2023-05-22,22.2,20.0,25.9,23.6,,79.0,4.4,,1013.4,
2023-05-23,21.6,19.5,28.0,8.5,,13.0,3.9,,1014.3,
2023-05-24,22.9,20.0,28.2,21.3,,43.0,5.1,,1011.7,
2023-05-25,22.4,19.7,27.9,18.2,,64.0,5.1,,1012.0,
