time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,24.0,22.0,28.5,69.9,,182.0,3.4,,1013.6,
2023-01-02,23.9,21.4,27.7,20.1,,179.0,5.3,,1013.6,
2023-01-03,24.2,22.1,29.2,20.3,,31.0,4.6,,1013.3,
2023-01-04,24.0,3.0,29.4,5.9,,286.0,3.1,,1011.9,
2023-01-05,24.0,22.3,27.0,11.0,,201.0,4.4,,1012.4,
2023-01-06,24.7,22.3,29.0,3.5,,213.0,7.3,,1012.5,
2023-01-07,24.5,22.7,27.7,11.7,,209.0,4.9,,1012.5,
2023-01-08,23.8,22.0,27.2,7.2,,213.0,6.0,,1013.0,
2023-01-09,23.2,22.0,25.5,51.9,,206.0,5.6,,1013.6,
2023-01-10,23.8,21.5,27.6,17.7,,184.0,4.7,,1013.4,
2023-01-11,24.4,21.0,28.5,11.8,,210.0,6.2,,1012.6,
2023-01-12,24.3,21.9,28.0,2.9,,207.0,7.3,,1012.5,
2023-01-13,24.5,22.4,27.4,6.2,,215.0,6.4,,1011.6,
2023-01-14,24.2,22.4,27.1,4.2,,201.0,5.8,,1012.0,
2023-01-15,24.0,22.0,27.5,6.1,,218.0,7.9,,1012.1,
2023-01-16,24.7,22.5,27.8,1.7,,215.0,8.5,,1011.3,
2023-01-17,24.2,22.4,27.0,5.8,,218.0,9.2,,1010.8,
2023-01-18,24.3,22.5,27.2,10.0,,211.0,10.1,,1011.3,
2023-01-19,24.3,22.2,29.0,9.1,,136.0,5.8,,1012.1,
2023-01-20,24.6,22.2,29.0,9.9,,183.0,6.0,,1011.7,
2023-01-21,24.0,22.0,27.8,22.4,,204.0,10.3,,1010.7,
2023-01-22,24.2,22.2,27.7,7.3,,193.0,9.2,,1009.7,
2023-01-23,25.2,22.3,29.6,5.7,,184.0,5.8,,1009.7,
2023-01-24,25.2,23.2,27.8,0.8,,191.0,5.6,,1009.9,
2023-01-25,25.3,23.6,28.5,11.1,,216.0,7.9,,1009.6,
2023-01-26,24.6,22.5,27.6,5.7,,207.0,8.2,,1009.9,
2023-01-27,25.2,23.3,28.0,0.8,,212.0,8.7,,1009.6,
2023-01-28,25.6,23.0,30.0,0.2,,197.0,6.5,,1008.8,
2023-01-29,25.2,23.1,28.9,6.1,,210.0,9.2,,1009.1,
2023-01-30,25.2,22.5,29.0,27.0,,245.0,6.7,,1010.1,
2023-01-31,24.5,22.4,27.0,7.0,,191.0,5.8,,1010.5,
2023-02-01,25.0,23.1,28.1,1.7,,238.0,7.1,,1010.3,
2023-02-02,25.0,22.9,27.8,1.1,,216.0,7.2,,1010.1,
2023-02-03,25.1,22.6,29.2,3.4,,212.0,5.9,,1010.9,
2023-02-04,25.2,22.2,29.2,4.6,,273.0,5.7,,1011.8,
2023-02-05,25.8,23.5,29.5,6.8,,215.0,6.1,,1010.6,
