time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,21.2,18.5,25.0,9.9,,27.0,7.5,,1017.1,
2023-01-02,22.4,19.3,28.0,15.8,,59.0,5.9,,1017.2,
2023-01-03,21.4,18.6,28.0,19.8,,337.0,7.3,,1017.2,
2023-01-04,23.0,18.7,28.6,1.2,,15.0,8.5,,1015.8,
2023-01-05,23.0,18.5,30.0,13.9,,11.0,7.8,,1015.2,
2023-01-06,23.2,19.0,30.0,8.6,,336.0,7.8,,1015.7,
2023-01-07,22.8,20.0,28.0,13.2,,102.0,8.1,,1016.9,
2023-01-08,21.3,18.0,27.0,17.4,,357.0,6.4,,1017.1,
2023-01-09,22.1,17.6,28.0,14.8,,352.0,8.4,,1017.3,
2023-01-10,22.2,18.7,28.0,21.4,,330.0,9.4,,1017.0,
2023-01-11,22.3,18.8,27.0,15.3,,208.0,6.7,,1016.9,
2023-01-12,21.1,18.8,26.0,11.6,,328.0,6.0,,1016.8,
2023-01-13,22.7,19.0,28.6,5.6,,323.0,9.1,,1015.0,
2023-01-14,22.1,17.0,28.5,9.6,,11.0,8.8,,1016.3,
2023-01-15,22.6,18.3,29.0,12.3,,0.0,7.4,,1015.8,
2023-01-16,23.4,19.3,29.2,9.2,,356.0,9.5,,1014.8,
2023-01-17,22.9,18.9,28.1,4.6,,310.0,8.6,,1014.1,
2023-01-18,23.0,18.9,29.0,4.3,,349.0,8.8,,1014.9,
2023-01-19,22.6,19.0,28.1,8.4,,193.0,7.4,,1015.7,
2023-01-20,22.6,18.8,29.0,6.5,,357.0,8.7,,1014.8,
2023-01-21,22.4,19.0,28.0,15.3,,277.0,8.1,,1014.3,
2023-01-22,22.9,18.4,28.0,13.0,,351.0,7.7,,1013.8,
2023-01-23,22.4,17.4,29.0,1.2,,19.0,7.4,,1014.1,
2023-01-24,22.5,18.4,28.0,3.4,,43.0,7.2,,1013.7,
2023-01-25,22.3,16.9,30.0,0.7,,354.0,8.6,,1013.2,
2023-01-26,24.1,18.8,31.0,0.7,,342.0,8.4,,1012.9,
2023-01-27,24.7,20.0,32.0,3.2,,336.0,9.2,,1012.8,
2023-01-28,23.9,17.8,31.0,0.7,,0.0,8.9,,1012.3,
2023-01-29,23.8,17.9,32.0,8.8,,0.0,9.8,,1012.5,
2023-01-30,24.7,19.0,31.0,4.9,,352.0,10.6,,1013.4,
2023-01-31,24.1,20.0,30.0,7.0,,43.0,8.9,,1013.8,
2023-02-01,23.8,18.9,31.0,3.7,,3.0,9.2,,1012.4,
2023-02-02,24.5,19.0,31.0,4.1,,4.0,9.3,,1012.6,
2023-02-03,24.1,19.9,31.0,6.8,,4.0,10.9,,1012.2,
2023-02-04,24.3,19.2,31.0,2.0,,11.0,9.8,,1015.1,
2023-02-05,22.8,16.5,31.0,4.6,,13.0,10.2,,1014.3,
2023-02-06,24.3,19.8,31.0,12.8,,351.0,9.8,,1013.2,
2023-02-07,24.8,19.0,32.0,11.6,,349.0,10.4,,1012.7,
2023-02-08,24.9,19.5,32.0,7.3,,14.0,11.7,,1012.6,
2023-02-09,24.1,18.9,31.0,13.7,,7.0,9.4,,1013.0,
2023-02-10,24.3,18.7,32.0,15.0,,346.0,9.5,,1012.2,
2023-02-11,24.9,19.9,32.0,13.9,,8.0,10.2,,1011.9,
2023-02-12,25.0,21.0,30.0,14.2,,318.0,9.9,,1011.5,
2023-02-13,24.9,20.0,31.0,18.7,,349.0,10.6,,1011.9,
2023-02-14,24.1,21.0,29.0,20.0,,18.0,8.5,,1013.3,
2023-02-15,24.9,19.6,31.0,24.4,,0.0,8.4,,1013.7,
2023-02-16,23.7,20.0,28.0,15.6,,1.0,9.3,,1013.6,
2023-02-17,24.7,18.5,32.0,11.8,,338.0,11.0,,1012.5,
2023-02-18,24.2,20.8,29.6,27.0,,326.0,6.9,,1013.4,
2023-02-19,24.4,20.0,31.0,16.4,,0.0,9.7,,1013.1,
2023-02-20,23.2,19.4,27.6,19.0,,42.0,9.8,,1013.7,
2023-02-21,22.4,19.9,26.0,18.2,,62.0,7.2,,1014.8,
2023-02-22,21.4,19.0,26.3,6.4,,301.0,3.8,,1017.3,
2023-02-23,22.6,16.0,30.0,0.5,,2.0,8.2,,1016.3,
2023-02-24,23.3,18.0,31.0,5.1,,26.0,10.2,,1015.4,
2023-02-25,24.6,19.8,31.0,1.5,,358.0,10.6,,1014.5,
2023-02-26,24.7,19.8,32.0,1.4,,24.0,10.3,,1014.0,
