time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,24.0,22.0,29.0,25.3,,79.0,3.1,,1011.6,
2023-01-02,23.6,21.0,26.9,8.0,,81.0,3.4,,1011.7,
2023-01-03,23.8,21.8,26.3,5.5,,16.0,6.1,,1011.1,
2023-01-04,24.0,22.0,29.4,7.9,,28.0,7.4,,1010.9,
2023-01-05,24.4,21.9,28.7,0.0,,13.0,5.8,,1011.6,
2023-01-06,24.1,21.5,27.9,10.2,,80.0,4.1,,1012.1,
2023-01-07,23.2,21.5,25.9,20.2,,141.0,4.2,,1012.9,
2023-01-08,23.3,21.6,27.0,12.8,,358.0,3.5,,1013.2,
2023-01-09,24.2,21.8,28.8,13.5,,354.0,4.4,,1012.2,
2023-01-10,24.7,21.0,30.2,1.2,,11.0,6.4,,1011.5,
2023-01-11,23.8,21.6,26.8,18.1,,2.0,5.0,,1012.0,
2023-01-12,23.2,21.7,26.0,20.6,,26.0,5.3,,1012.3,
2023-01-13,23.6,21.4,27.0,6.6,,358.0,4.7,,1011.2,
2023-01-14,23.9,21.4,29.4,8.7,,28.0,4.9,,1010.9,
2023-01-15,24.0,21.8,28.0,11.9,,45.0,4.9,,1011.6,
2023-01-16,23.3,22.0,25.6,7.3,,232.0,4.4,,1011.7,
2023-01-17,23.9,21.6,27.4,1.7,,98.0,5.1,,1011.1,
2023-01-18,24.2,20.3,29.5,8.7,,19.0,5.5,,1011.1,
2023-01-19,23.9,21.4,28.0,19.1,,107.0,5.5,,1012.0,
2023-01-20,23.5,20.5,29.2,5.9,,203.0,5.0,,1012.4,
2023-01-21,24.4,21.3,30.0,0.5,,348.0,5.6,,1011.3,
2023-01-22,24.0,20.8,29.5,7.9,,33.0,5.1,,1010.6,
2023-01-23,23.2,21.5,26.4,9.6,,38.0,4.6,,1012.1,
2023-01-24,24.1,21.1,28.5,1.6,,356.0,5.2,,1011.6,
2023-01-25,25.0,20.3,30.5,0.6,,2.0,8.2,,1010.2,
2023-01-26,25.3,20.9,31.2,0.0,,355.0,9.1,,1009.4,
2023-01-27,25.7,20.0,33.0,0.0,,6.0,9.9,,1009.4,
2023-01-28,25.8,21.0,32.0,0.0,,11.0,9.3,,1009.7,
2023-01-29,24.8,22.3,28.3,0.6,,22.0,6.4,,1010.5,
2023-01-30,25.4,22.0,33.0,0.0,,2.0,7.2,,1009.5,
2023-01-31,25.5,21.7,31.7,0.0,,359.0,9.4,,1009.8,
2023-02-01,25.1,20.0,32.0,0.0,,357.0,9.4,,1010.2,
2023-02-02,25.3,20.9,31.1,0.0,,9.0,8.9,,1011.2,
2023-02-03,25.9,22.1,31.1,0.0,,41.0,7.2,,1011.4,
2023-02-04,24.6,22.4,29.0,8.3,,109.0,6.1,,1012.9,
2023-02-05,23.7,21.1,28.0,15.7,,45.0,5.7,,1013.0,
2023-02-06,23.9,21.0,28.4,1.4,,352.0,5.7,,1011.6,
2023-02-07,24.2,21.3,30.9,3.2,,17.0,5.2,,1010.7,
2023-02-08,24.0,22.4,26.6,19.3,,131.0,5.7,,1010.9,
2023-02-09,24.6,21.0,29.3,7.1,,23.0,4.2,,1010.3,
2023-02-10,25.1,21.9,31.0,8.2,,53.0,6.0,,1010.4,
2023-02-11,23.9,21.9,30.0,7.4,,110.0,4.9,,1010.1,
2023-02-12,24.8,21.8,30.5,21.2,,170.0,5.7,,1009.2,
2023-02-13,24.1,22.6,26.1,8.6,,125.0,4.7,,1009.7,
2023-02-14,24.8,22.5,28.4,9.2,,50.0,4.0,,1010.1,
2023-02-15,24.9,22.7,30.0,7.3,,51.0,4.5,,1010.4,
2023-02-16,25.2,22.0,32.0,18.4,,317.0,3.6,,1010.0,
2023-02-17,25.3,22.0,31.0,1.9,,17.0,7.6,,1008.3,
2023-02-18,26.1,22.0,32.0,0.0,,19.0,8.7,,1009.4,
2023-02-19,25.7,21.7,32.0,0.0,,12.0,6.2,,1009.9,
2023-02-20,25.0,22.3,30.0,9.6,,81.0,6.6,,1010.7,
2023-02-21,24.7,21.9,30.0,3.7,,93.0,4.7,,1010.8,
2023-02-22,24.4,22.4,28.0,1.8,,86.0,6.5,,1012.6,
2023-02-23,24.8,21.7,29.0,2.8,,72.0,5.1,,1013.3,
2023-02-24,25.6,21.4,32.0,0.9,,53.0,5.6,,1012.5,
2023-02-25,25.5,21.6,32.0,2.3,,72.0,6.9,,1011.4,
2023-02-26,24.9,22.3,30.0,1.0,,74.0,6.0,,1010.9,
2023-02-27,24.9,22.8,30.0,24.5,,100.0,4.3,,1011.8,
2023-02-28,24.8,22.8,30.0,11.9,,131.0,5.2,,1013.1,
2023-03-01,25.5,21.7,32.0,3.4,,204.0,5.4,,1012.2,
