time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,30.7,23.8,34.0,0.0,,37.0,11.6,,1010.6,
2023-01-02,29.8,24.2,33.0,0.0,,47.0,11.0,,1010.8,
2023-01-03,28.9,24.4,32.0,0.0,,45.0,10.6,,1011.1,
2023-01-04,28.1,23.8,32.0,0.0,,37.0,13.2,,1011.3,
2023-01-05,29.3,22.6,33.0,0.0,,39.0,11.1,,1011.4,
2023-01-06,30.9,22.9,34.0,0.7,,43.0,12.1,,1011.0,
2023-01-07,27.1,24.0,30.6,0.0,,61.0,7.2,,1012.0,
2023-01-08,26.9,23.8,31.0,10.7,,342.0,5.2,,1013.0,
2023-01-09,28.0,23.6,32.2,0.1,,34.0,6.2,,1011.8,
2023-01-10,29.4,24.0,33.0,7.1,,57.0,8.2,,1010.9,
2023-01-11,29.7,24.2,33.4,0.3,,62.0,9.6,,1011.0,
2023-01-12,29.8,24.2,33.4,0.0,,59.0,10.1,,1011.1,
2023-01-13,30.3,23.5,33.3,0.1,,81.0,8.5,,1010.5,
2023-01-14,30.5,23.6,34.0,0.0,,46.0,11.6,,1010.5,
2023-01-15,30.9,24.0,34.4,0.0,,54.0,10.7,,1010.6,
2023-01-16,30.6,23.5,34.0,0.0,,67.0,9.7,,1010.2,
2023-01-17,29.6,23.8,32.2,0.0,,29.0,8.8,,1010.3,
2023-01-18,29.6,22.8,34.0,0.0,,18.0,9.3,,1010.6,
2023-01-19,29.9,23.0,33.2,0.0,,45.0,15.0,,1011.3,
2023-01-20,29.7,22.8,34.0,0.0,,39.0,13.4,,1011.9,
2023-01-21,29.4,23.0,33.0,0.0,,37.0,13.2,,1011.0,
2023-01-22,29.1,23.0,31.2,0.2,,43.0,14.0,,1010.7,
2023-01-23,28.7,23.6,32.0,0.0,,44.0,15.4,,1011.6,
2023-01-24,29.8,23.0,33.0,0.0,,45.0,14.2,,1011.2,
2023-01-25,29.8,24.0,34.0,0.0,,38.0,16.5,,1010.7,
2023-01-26,29.4,23.0,33.0,0.0,,50.0,15.8,,1010.1,
2023-01-27,29.4,22.0,33.2,0.0,,36.0,16.0,,1010.1,
2023-01-28,29.3,22.0,33.4,0.0,,39.0,16.5,,1010.2,
2023-01-29,29.6,21.6,34.0,0.0,,46.0,15.6,,1010.1,
2023-01-30,29.3,21.4,33.0,0.0,,39.0,16.9,,1009.7,
2023-01-31,29.3,21.9,33.0,0.0,,46.0,17.2,,1010.2,
2023-02-01,28.6,21.8,33.4,0.0,,43.0,17.1,,1010.6,
2023-02-02,29.5,23.0,33.4,0.0,,49.0,16.7,,1011.3,
2023-02-03,29.9,22.6,34.0,0.0,,45.0,16.7,,1011.2,
2023-02-04,28.7,24.9,31.0,0.0,,40.0,18.8,,1012.3,
2023-02-05,28.1,24.0,31.0,0.0,,30.0,16.1,,1012.4,
2023-02-06,26.9,24.0,30.0,0.0,,29.0,15.0,,1011.2,
2023-02-07,30.7,23.6,34.0,0.0,,41.0,14.4,,1010.2,
2023-02-08,30.3,24.4,34.0,0.0,,47.0,14.8,,1009.5,
2023-02-09,30.9,24.0,34.3,0.0,,43.0,14.6,,1009.7,
2023-02-10,30.5,24.4,34.0,0.0,,42.0,15.5,,1009.6,
2023-02-11,30.7,24.0,34.2,0.0,,37.0,15.6,,1009.0,
2023-02-12,30.8,24.4,35.0,0.0,,46.0,14.1,,1008.5,
2023-02-13,30.3,24.8,35.0,2.3,,51.0,10.2,,1008.4,
2023-02-14,31.9,25.2,35.1,0.2,,61.0,10.3,,1009.1,
2023-02-15,29.7,24.3,35.0,0.1,,49.0,12.6,,1009.8,
2023-02-16,30.0,24.2,33.0,0.0,,47.0,17.4,,1009.5,
2023-02-17,29.7,23.0,33.1,0.0,,45.0,21.2,,1009.0,
2023-02-18,29.9,22.0,34.0,0.0,,45.0,17.5,,1009.7,
2023-02-19,30.5,23.4,35.0,0.0,,48.0,16.2,,1010.0,
2023-02-20,29.4,22.4,34.0,0.0,,36.0,16.8,,1009.9,
2023-02-21,29.6,23.6,34.0,0.0,,52.0,15.2,,1010.4,
2023-02-22,30.1,22.8,34.0,0.0,,49.0,17.9,,1012.0,
2023-02-23,30.3,22.4,34.0,0.0,,36.0,13.9,,1012.7,
2023-02-24,30.7,23.0,35.0,0.0,,42.0,15.1,,1011.8,
2023-02-25,30.4,23.2,35.4,0.0,,47.0,16.2,,1011.1,
2023-02-26,31.3,23.4,36.0,0.0,,54.0,13.7,,1010.2,
2023-02-27,32.3,24.4,36.0,0.0,,53.0,10.0,,1010.3,
2023-02-28,30.2,24.8,35.3,1.6,,158.0,9.4,,1011.4,
2023-03-01,30.8,16.0,35.0,1.3,,190.0,6.6,,1011.7,
2023-03-02,30.7,23.8,34.7,0.5,,39.0,10.5,,1009.4,
2023-03-03,30.9,25.4,35.0,0.0,,67.0,12.8,,1008.6,
2023-03-04,32.4,25.0,36.0,0.0,,37.0,13.3,,1008.5,
2023-03-05,32.6,25.8,36.0,0.0,,62.0,10.2,,1008.9,
2023-03-06,32.8,25.4,36.3,0.0,,46.0,12.4,,1008.8,
2023-03-07,32.1,24.0,36.0,0.0,,46.0,9.1,,1008.7,
2023-03-08,31.2,25.8,35.0,0.0,,191.0,7.4,,1009.0,
2023-03-09,30.3,25.8,33.0,0.0,,268.0,6.4,,1009.2,
2023-03-10,29.7,24.8,34.1,13.5,,29.0,9.2,,1010.1,
2023-03-11,29.9,25.0,35.2,0.6,,56.0,9.2,,1010.0,
2023-03-12,29.3,23.8,33.0,2.0,,255.0,5.0,,1011.9,
2023-03-13,30.6,24.6,35.2,0.0,,187.0,9.4,,1011.8,
2023-03-14,32.2,22.8,36.5,0.0,,61.0,12.9,,1011.4,
2023-03-15,31.6,22.9,36.8,0.0,,84.0,8.2,,1010.5,
2023-03-16,32.9,22.4,37.0,0.0,,75.0,8.6,,1009.1,
2023-03-17,33.9,24.0,38.0,0.0,,54.0,11.4,,1008.6,
2023-03-18,32.3,25.0,37.0,0.0,,48.0,16.1,,1009.5,
2023-03-19,31.8,23.4,36.0,0.0,,42.0,15.5,,1010.0,
2023-03-20,31.9,24.0,36.0,0.0,,42.0,16.4,,1010.3,
2023-03-21,31.4,24.4,35.0,0.0,,42.0,19.7,,1010.1,
2023-03-22,32.1,24.0,36.2,0.0,,42.0,15.9,,1009.9,
2023-03-23,32.5,24.8,37.2,0.0,,37.0,13.9,,1009.1,
2023-03-24,31.9,24.6,37.2,0.0,,34.0,14.4,,1008.8,
2023-03-25,30.1,25.4,33.0,0.3,,62.0,14.5,,1009.7,
2023-03-26,31.3,24.6,35.0,0.0,,69.0,8.7,,1010.6,
2023-03-27,32.2,25.2,36.0,0.7,,62.0,13.6,,1010.1,
2023-03-28,32.7,24.4,36.4,0.0,,23.0,12.2,,1009.6,
2023-03-29,31.6,24.0,35.0,0.0,,37.0,11.7,,1009.0,
2023-03-30,31.4,25.0,35.8,2.0,,81.0,11.1,,1009.7,
2023-03-31,30.2,25.6,35.5,0.0,,27.0,9.9,,1010.5,
2023-04-01,30.8,25.6,35.0,2.4,,51.0,15.7,,1010.9,
2023-04-02,31.5,23.8,35.4,0.0,,39.0,8.9,,1010.4,
2023-04-03,33.0,24.8,37.3,0.0,,40.0,10.9,,1008.5,
2023-04-04,33.6,25.4,37.2,0.0,,40.0,14.7,,1007.3,
2023-04-05,32.4,24.4,37.4,0.0,,40.0,11.1,,1007.3,
2023-04-06,32.9,26.0,36.7,0.1,,40.0,10.2,,1007.0,
2023-04-07,32.1,26.2,36.0,12.5,,73.0,9.1,,1008.3,
2023-04-08,29.2,24.0,33.0,0.7,,263.0,6.7,,1010.4,
2023-04-09,29.5,25.0,33.0,1.2,,204.0,8.2,,1011.4,
2023-04-10,29.9,24.2,33.2,9.0,,199.0,8.6,,1011.3,
2023-04-11,28.7,25.6,32.0,0.9,,240.0,8.0,,1009.4,
2023-04-12,30.9,23.8,36.0,3.7,,260.0,7.4,,1008.5,
2023-04-13,32.5,25.0,36.3,0.0,,300.0,9.2,,1007.2,
2023-04-14,34.1,26.4,38.0,0.0,,56.0,13.9,,1007.4,
2023-04-15,33.1,25.0,36.2,0.3,,102.0,10.7,,1008.6,
2023-04-16,31.2,26.6,34.0,0.7,,94.0,10.6,,1009.6,
2023-04-17,31.9,25.0,36.0,0.0,,221.0,7.6,,1008.8,
2023-04-18,32.8,25.8,37.0,0.0,,52.0,10.1,,1008.0,
2023-04-19,33.5,25.0,37.6,0.0,,34.0,9.8,,1007.9,
2023-04-20,25.7,23.6,28.1,6.5,,203.0,7.9,,1010.0,
2023-04-21,28.1,24.0,32.0,23.6,,288.0,6.7,,1009.4,
2023-04-22,27.8,23.8,32.0,7.9,,254.0,7.5,,1009.1,
