time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,27.1,25.4,29.2,1.6,,52.0,12.2,,1014.0,
2023-01-02,27.2,25.7,29.4,2.5,,64.0,12.7,,1013.8,
2023-01-03,26.7,25.0,29.0,1.6,,58.0,11.6,,1014.7,
2023-01-04,27.3,26.4,29.3,2.7,,67.0,13.7,,1013.8,
2023-01-05,26.6,25.3,29.5,4.4,,52.0,13.5,,1013.0,
2023-01-06,26.1,25.0,27.2,5.5,,60.0,15.6,,1013.8,
2023-01-07,26.0,24.9,27.7,13.3,,73.0,15.1,,1013.6,
2023-01-08,27.0,24.8,29.3,3.2,,63.0,15.2,,1012.9,
2023-01-09,26.6,25.0,27.6,3.0,,96.0,8.6,,1014.1,
2023-01-10,26.9,25.1,29.1,9.9,,77.0,6.5,,1014.2,
2023-01-11,27.0,25.3,29.3,1.3,,286.0,7.3,,1012.7,
2023-01-12,27.2,26.5,28.9,3.2,,285.0,8.0,,1011.6,
2023-01-13,27.1,26.2,29.0,1.5,,242.0,10.2,,1012.2,
2023-01-14,26.0,24.7,26.9,17.6,,235.0,13.0,,1012.1,
2023-01-15,25.9,24.6,27.7,11.0,,330.0,7.3,,1011.3,
2023-01-16,26.2,23.6,28.7,7.9,,283.0,9.2,,1012.8,
2023-01-17,27.1,26.0,28.8,8.2,,236.0,13.7,,1012.0,
2023-01-18,27.5,25.6,29.1,4.4,,199.0,20.0,,1010.6,
2023-01-19,28.0,27.2,29.9,0.5,,237.0,26.0,,1009.4,
2023-01-20,27.4,25.7,29.7,12.0,,292.0,28.5,,1009.1,
2023-01-21,27.1,25.5,28.6,45.5,,319.0,36.8,,1008.5,
2023-01-22,26.0,25.2,27.0,33.0,,322.0,39.0,,1009.2,
2023-01-23,26.9,26.1,27.5,43.4,,322.0,40.0,,1008.9,
2023-01-24,26.9,25.6,28.1,24.1,,325.0,41.4,,1009.0,
2023-01-25,27.0,26.2,27.6,46.2,,326.0,39.7,,1007.6,
2023-01-26,27.8,26.7,28.6,9.4,,334.0,40.2,,1008.1,
2023-01-27,28.0,27.1,29.6,2.9,,342.0,30.9,,1010.2,
2023-01-28,28.0,26.8,30.0,1.9,,339.0,20.2,,1010.6,
2023-01-29,28.0,26.5,29.8,0.1,,320.0,13.9,,1010.8,
2023-01-30,27.9,26.8,29.7,1.4,,314.0,10.7,,1011.7,
2023-01-31,27.7,25.9,29.9,1.3,,222.0,9.9,,1012.2,
2023-02-01,27.6,24.9,30.0,6.8,,209.0,15.9,,1011.6,
2023-02-02,27.1,25.8,29.5,15.8,,338.0,10.4,,1011.3,
2023-02-03,26.7,25.5,28.8,6.7,,37.0,9.4,,1011.9,
2023-02-04,27.3,25.9,29.5,1.8,,298.0,9.5,,1010.5,
2023-02-05,27.2,26.4,29.4,2.6,,263.0,11.6,,1010.0,
2023-02-06,27.0,26.0,28.6,5.3,,318.0,13.6,,1009.9,
2023-02-07,26.4,24.4,29.2,5.6,,5.0,17.7,,1010.7,
2023-02-08,27.5,24.8,29.8,2.9,,27.0,17.1,,1011.3,
2023-02-09,27.4,25.5,29.8,2.3,,36.0,13.8,,1011.5,
2023-02-10,26.5,25.1,28.8,4.0,,51.0,19.0,,1012.1,
2023-02-11,26.2,24.6,28.2,6.7,,43.0,18.9,,1012.4,
2023-02-12,27.7,26.1,30.5,0.2,,34.0,15.9,,1012.6,
2023-02-13,27.8,26.2,29.8,0.7,,46.0,7.9,,1012.8,
2023-02-14,27.3,26.4,29.3,10.5,,99.0,9.6,,1011.4,
