time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,22.3,17.1,30.4,1.1,,128.0,8.9,,1015.7,
2023-01-02,21.9,17.8,29.2,17.2,,100.0,10.9,,1016.1,
2023-01-03,22.3,17.3,29.0,0.0,,91.0,16.5,,1016.2,
2023-01-04,22.6,16.4,28.8,0.0,,93.0,18.2,,1014.9,
2023-01-05,22.2,16.9,28.9,0.0,,98.0,25.4,,1015.6,
2023-01-06,22.1,17.0,28.4,0.0,,91.0,18.3,,1015.6,
2023-01-07,22.4,17.0,29.1,0.9,,82.0,12.2,,1014.7,
2023-01-08,22.3,16.6,29.1,2.1,,82.0,13.1,,1016.1,
2023-01-09,21.8,16.6,28.8,6.3,,95.0,13.1,,1016.7,
2023-01-10,22.4,17.5,27.9,2.3,,81.0,16.1,,1016.2,
2023-01-11,22.4,17.6,28.4,1.5,,88.0,15.8,,1016.7,
2023-01-12,23.0,17.6,28.8,1.5,,96.0,20.5,,1016.5,
2023-01-13,22.7,18.7,28.5,0.0,,91.0,27.1,,1015.6,
2023-01-14,21.8,18.7,27.9,0.0,,94.0,31.3,,1016.1,
2023-01-15,21.6,18.5,26.4,0.0,,97.0,30.1,,1016.5,
2023-01-16,22.4,19.0,28.0,0.0,,96.0,18.9,,1015.9,
2023-01-17,22.4,18.1,29.2,1.4,,109.0,15.1,,1014.5,
2023-01-18,21.9,17.4,29.1,1.7,,99.0,15.5,,1015.7,
2023-01-19,22.2,17.0,29.1,6.1,,93.0,15.4,,1016.3,
2023-01-20,23.1,17.0,30.0,0.0,,86.0,22.2,,1015.4,
2023-01-21,22.4,17.1,29.9,0.0,,94.0,22.5,,1015.1,
2023-01-22,21.7,15.8,28.1,2.1,,99.0,12.7,,1013.9,
2023-01-23,22.8,19.0,29.0,1.2,,95.0,20.5,,1014.8,
2023-01-24,23.8,18.4,29.8,1.0,,100.0,24.8,,1014.2,
2023-01-25,24.4,21.0,29.1,2.8,,112.0,17.2,,1013.6,
2023-01-26,23.3,20.2,30.3,0.1,,93.0,22.6,,1014.1,
2023-01-27,22.9,20.3,28.2,0.0,,89.0,30.5,,1014.1,
2023-01-28,22.4,19.4,28.2,0.0,,88.0,31.7,,1014.1,
2023-01-29,22.6,19.5,28.0,0.0,,98.0,23.8,,1014.3,
2023-01-30,22.8,18.5,28.2,0.0,,102.0,26.5,,1014.7,
2023-01-31,22.5,18.8,28.3,0.0,,94.0,27.6,,1015.1,
2023-02-01,23.2,18.8,29.2,0.0,,84.0,25.7,,1015.6,
2023-02-02,22.9,18.9,29.2,0.0,,84.0,32.2,,1014.3,
2023-02-03,22.1,18.7,28.4,0.0,,106.0,28.7,,1011.9,
2023-02-04,22.1,18.7,27.2,0.0,,95.0,34.4,,1014.4,
2023-02-05,21.7,12.9,27.3,0.0,,97.0,30.7,,1015.0,
2023-02-06,22.4,18.7,27.6,0.0,,95.0,33.4,,1012.8,
2023-02-07,23.6,19.5,28.1,0.0,,96.0,33.8,,1013.7,
2023-02-08,23.6,19.5,29.1,0.0,,93.0,30.2,,1014.2,
2023-02-09,23.6,19.8,29.6,0.0,,95.0,28.9,,1014.1,
2023-02-10,23.4,19.8,29.6,0.0,,99.0,29.3,,1013.6,
2023-02-11,23.2,19.8,29.6,0.0,,102.0,27.1,,1013.5,
2023-02-12,22.8,19.6,28.6,0.0,,98.0,35.6,,1012.1,
2023-02-13,23.3,19.6,28.4,0.0,,95.0,32.4,,1014.3,
