time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,26.4,25.0,29.0,2.2,,89.0,16.8,,1014.0,
2023-01-02,26.2,24.8,29.0,1.9,,97.0,18.5,,1014.4,
2023-01-03,26.2,22.9,29.0,4.6,,89.0,16.9,,1014.6,
2023-01-04,26.2,25.0,28.0,2.0,,94.0,17.3,,1014.5,
2023-01-05,26.6,25.0,29.0,1.4,,98.0,18.0,,1014.3,
2023-01-06,25.8,23.7,28.0,12.9,,102.0,19.6,,1014.1,
2023-01-07,25.9,25.0,27.8,1.2,,106.0,18.2,,1014.3,
2023-01-08,26.6,25.0,29.0,1.4,,99.0,16.8,,1014.5,
2023-01-09,26.2,24.9,28.0,2.1,,107.0,17.5,,1013.9,
2023-01-10,26.3,24.5,29.5,0.2,,111.0,16.3,,1013.5,
2023-01-11,25.9,24.0,29.0,1.3,,101.0,15.0,,1014.4,
2023-01-12,26.6,25.0,28.8,0.8,,104.0,16.6,,1014.2,
2023-01-13,26.2,24.6,29.0,0.8,,117.0,15.6,,1012.9,
2023-01-14,26.4,24.0,30.0,0.0,,117.0,15.6,,1013.0,
2023-01-15,25.9,23.0,29.0,0.0,,100.0,12.0,,1013.7,
2023-01-16,26.0,23.0,28.5,0.7,,102.0,13.5,,1013.2,
2023-01-17,26.5,24.0,30.0,0.1,,113.0,15.8,,1012.7,
2023-01-18,26.3,24.0,29.0,0.5,,108.0,16.5,,1013.8,
2023-01-19,26.3,24.0,29.0,1.8,,109.0,18.9,,1014.7,
2023-01-20,25.9,24.0,28.0,3.0,,95.0,23.4,,1015.3,
2023-01-21,26.2,24.8,28.0,2.2,,100.0,23.1,,1014.3,
2023-01-22,26.3,24.0,29.0,1.1,,107.0,21.8,,1013.8,
2023-01-23,26.5,25.0,28.1,1.6,,110.0,23.0,,1014.5,
2023-01-24,26.7,25.9,29.0,0.6,,103.0,24.2,,1014.6,
2023-01-25,26.8,25.1,29.0,0.0,,103.0,23.9,,1013.9,
2023-01-26,26.0,23.2,30.0,0.7,,95.0,23.3,,1013.9,
2023-01-27,26.6,24.0,29.4,0.0,,91.0,20.4,,1014.2,
2023-01-28,24.5,22.7,28.0,0.0,,109.0,14.5,,1014.4,
2023-01-29,25.4,24.0,27.0,1.8,,93.0,21.1,,1014.2,
2023-01-30,24.9,22.0,28.0,0.5,,111.0,13.3,,1014.3,
2023-01-31,26.3,23.9,29.0,0.5,,86.0,15.2,,1014.4,
2023-02-01,25.5,22.0,29.0,2.7,,99.0,17.2,,1015.0,
2023-02-02,25.7,23.0,28.5,0.0,,108.0,19.4,,1015.4,
2023-02-03,26.3,24.0,29.5,0.0,,106.0,22.0,,1015.1,
2023-02-04,26.3,24.0,29.0,0.5,,109.0,21.2,,1016.1,
2023-02-05,26.8,25.0,29.2,0.9,,105.0,25.3,,1015.3,
2023-02-06,26.9,25.0,30.0,0.8,,106.0,23.5,,1014.4,
2023-02-07,26.5,25.0,29.0,1.6,,89.0,23.0,,1014.1,
2023-02-08,26.7,25.0,30.0,0.8,,88.0,23.0,,1014.0,
2023-02-09,26.9,25.7,29.1,2.6,,82.0,24.2,,1014.0,
2023-02-10,26.3,24.0,29.0,2.1,,99.0,24.6,,1013.8,
2023-02-11,26.5,25.0,29.1,1.5,,102.0,24.3,,1012.9,
2023-02-12,26.3,25.0,28.6,1.8,,107.0,24.2,,1012.2,
2023-02-13,26.2,24.0,29.0,2.7,,105.0,20.5,,1012.0,
2023-02-14,26.4,25.0,28.4,1.6,,88.0,19.4,,1013.0,
2023-02-15,26.3,24.5,29.0,2.5,,86.0,23.9,,1014.2,
2023-02-16,26.4,25.0,29.6,1.2,,93.0,23.3,,1014.0,
2023-02-17,26.0,24.0,29.3,0.6,,95.0,21.5,,1013.6,
2023-02-18,26.0,24.0,29.0,1.4,,84.0,19.1,,1014.6,
2023-02-19,26.0,23.0,29.0,1.4,,99.0,17.7,,1014.6,
2023-02-20,26.5,25.0,29.8,7.6,,87.0,24.1,,1014.4,
2023-02-21,26.2,23.0,29.0,1.2,,98.0,19.4,,1014.6,
2023-02-22,26.6,25.0,29.0,0.9,,88.0,21.6,,1016.6,
2023-02-23,26.4,23.8,30.0,0.4,,99.0,20.1,,1017.2,
2023-02-24,26.7,25.0,30.0,0.4,,80.0,21.1,,1016.8,
2023-02-25,26.0,24.0,29.0,2.5,,88.0,19.5,,1015.8,
2023-02-26,26.2,23.7,29.1,0.3,,104.0,18.1,,1014.4,
2023-02-27,26.3,23.0,29.2,0.0,,103.0,19.5,,1014.0,
2023-02-28,26.4,24.9,29.0,0.0,,101.0,21.3,,1014.2,
2023-03-01,26.8,25.0,29.3,0.7,,101.0,22.6,,1014.2,
2023-03-02,26.7,25.0,30.0,0.0,,100.0,23.9,,1013.0,
2023-03-03,26.5,25.0,30.0,0.6,,101.0,26.9,,1012.0,
2023-03-04,26.9,25.0,29.0,0.0,,104.0,26.7,,1012.3,
2023-03-05,27.1,25.7,30.0,0.0,,102.0,26.0,,1012.7,
2023-03-06,26.7,25.6,29.0,0.7,,90.0,23.9,,1013.2,
2023-03-07,26.7,25.0,29.4,0.0,,99.0,20.0,,1012.4,
2023-03-08,26.4,24.0,29.1,0.2,,94.0,17.1,,1012.2,
2023-03-09,26.8,25.0,29.5,2.3,,75.0,16.0,,1012.9,
2023-03-10,26.6,25.0,29.0,0.0,,69.0,16.8,,1013.9,
2023-03-11,26.8,24.0,30.0,0.0,,84.0,16.0,,1013.3,
2023-03-12,26.8,25.6,29.0,1.1,,92.0,15.8,,1014.0,
2023-03-13,27.3,25.0,30.0,0.0,,100.0,19.8,,1014.5,
2023-03-14,27.1,25.0,29.4,0.0,,105.0,21.2,,1014.5,
2023-03-15,27.2,24.9,31.0,0.0,,113.0,22.8,,1013.6,
2023-03-16,26.8,25.0,29.0,0.0,,95.0,20.9,,1013.0,
