time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,25.1,21.2,29.6,8.0,,19.0,3.8,,1013.2,
2023-01-02,24.9,22.1,29.0,6.0,,354.0,6.3,,1012.7,
2023-01-03,25.0,22.8,28.8,5.4,,0.0,5.9,,1012.9,
2023-01-04,26.3,23.2,31.6,18.0,,236.0,4.1,,1012.2,
2023-01-05,25.7,22.6,29.3,5.6,,206.0,5.7,,1012.6,
2023-01-06,25.3,22.2,29.4,4.0,,114.0,5.0,,1012.6,
2023-01-07,25.5,23.1,29.4,4.7,,13.0,4.1,,1012.8,
2023-01-08,24.2,22.7,27.7,34.4,,183.0,4.4,,1013.5,
2023-01-09,25.0,22.0,29.1,10.5,,162.0,5.0,,1013.5,
2023-01-10,24.4,22.2,28.6,31.5,,35.0,4.4,,1013.4,
2023-01-11,24.3,21.8,29.0,14.7,,75.0,5.7,,1013.2,
2023-01-12,25.6,22.2,30.4,1.8,,101.0,5.9,,1012.4,
2023-01-13,25.0,22.0,29.2,10.6,,39.0,6.6,,1011.5,
2023-01-14,24.1,22.2,28.1,55.2,,333.0,5.4,,1012.4,
2023-01-15,24.4,22.6,28.8,14.2,,200.0,7.1,,1012.4,
2023-01-16,24.8,22.3,28.9,5.8,,53.0,6.1,,1011.7,
2023-01-17,25.3,23.0,29.1,1.4,,83.0,5.8,,1011.3,
2023-01-18,25.5,22.0,29.7,3.3,,102.0,5.6,,1011.1,
2023-01-19,24.6,22.5,28.7,21.7,,45.0,5.3,,1012.3,
2023-01-20,24.4,22.0,28.8,20.1,,223.0,6.6,,1012.1,
2023-01-21,24.4,21.9,29.1,8.4,,199.0,5.1,,1011.1,
2023-01-22,24.4,21.4,28.6,21.5,,141.0,5.7,,1009.9,
2023-01-23,24.7,22.5,28.8,2.0,,35.0,6.0,,1009.9,
2023-01-24,24.5,22.7,27.5,25.2,,131.0,6.8,,1010.6,
2023-01-25,25.1,22.4,30.0,14.3,,174.0,5.9,,1010.2,
2023-01-26,25.5,22.2,30.4,10.7,,145.0,6.8,,1009.9,
2023-01-27,25.2,22.6,29.0,13.8,,23.0,5.1,,1009.8,
2023-01-28,25.3,23.0,29.3,12.0,,170.0,5.9,,1009.2,
2023-01-29,25.6,22.5,29.3,11.3,,192.0,9.8,,1009.8,
2023-01-30,25.1,22.0,29.2,34.4,,161.0,8.4,,1010.4,
2023-01-31,23.9,22.0,28.2,95.0,,147.0,6.8,,1010.9,
2023-02-01,24.7,21.9,30.2,25.4,,191.0,7.4,,1010.8,
2023-02-02,25.1,22.1,29.7,10.5,,203.0,7.7,,1010.5,
2023-02-03,24.7,22.8,29.0,23.5,,180.0,8.5,,1011.2,
2023-02-04,24.4,22.5,28.6,15.9,,133.0,5.5,,1012.0,
2023-02-05,24.8,22.6,28.0,10.8,,148.0,6.9,,1011.0,
2023-02-06,25.1,22.6,29.2,5.5,,132.0,6.1,,1010.1,
2023-02-07,25.0,22.4,29.1,12.4,,110.0,5.5,,1009.7,
2023-02-08,24.8,22.6,28.9,29.9,,104.0,5.1,,1010.0,
2023-02-09,24.9,22.3,29.6,37.6,,147.0,6.0,,1010.0,
2023-02-10,25.4,22.5,30.2,36.7,,157.0,6.1,,1009.3,
2023-02-11,25.2,23.3,29.5,26.6,,168.0,6.3,,1008.7,
2023-02-12,25.4,23.1,29.9,35.7,,181.0,6.8,,1008.4,
2023-02-13,24.8,22.6,29.0,52.5,,186.0,8.1,,1009.3,
2023-02-14,24.9,22.4,29.3,41.9,,181.0,7.5,,1010.2,
2023-02-15,25.0,22.3,29.3,14.3,,166.0,5.5,,1010.6,
2023-02-16,25.5,22.7,30.6,13.8,,174.0,6.6,,1010.1,
2023-02-17,25.4,22.6,29.8,14.4,,184.0,5.5,,1009.5,
2023-02-18,24.7,22.2,29.6,18.7,,93.0,4.9,,1009.9,
