time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,2.0,-1.2,5.4,0.0,,31.0,10.3,,1012.3,
2023-01-02,-0.3,-1.0,1.0,10.0,,52.0,13.0,,1009.4,
2023-01-03,-2.4,-5.3,0.0,5.2,,327.0,19.7,,1008.1,
2023-01-04,-3.1,-7.0,0.0,0.0,,307.0,16.8,,1016.1,
2023-01-05,-2.8,-7.0,3.0,0.0,,315.0,11.8,,1021.8,
2023-01-06,-2.9,-7.0,2.1,0.0,,17.0,10.2,,1018.0,
2023-01-07,-0.1,-3.2,5.9,0.0,,0.0,4.4,,1026.1,
2023-01-08,0.3,-5.6,8.3,0.0,,325.0,3.2,,1022.2,
2023-01-09,1.6,-4.0,9.7,0.0,,316.0,6.4,,1017.1,
2023-01-10,1.1,-2.0,7.0,0.0,,315.0,7.2,,1010.8,
2023-01-11,1.5,-1.0,5.5,0.1,,12.0,16.7,,1012.6,
2023-01-12,0.2,-4.0,6.0,0.0,,308.0,14.6,,1028.7,
2023-01-13,0.4,-7.0,11.2,0.0,,236.0,6.4,,1026.1,
2023-01-14,1.5,-2.0,7.0,0.0,,182.0,7.2,,1011.9,
2023-01-15,-0.6,-4.0,4.0,0.1,,0.0,7.0,,1000.4,
2023-01-16,3.2,-2.0,10.0,0.0,,301.0,18.7,,1002.9,
2023-01-17,-1.4,-6.0,1.2,0.4,,44.0,8.1,,1009.7,
2023-01-18,-3.2,-6.0,0.0,21.2,,29.0,24.0,,1006.0,
2023-01-19,-4.0,-9.5,-0.1,1.1,,313.0,17.9,,1016.3,
2023-01-20,-6.0,-9.9,-1.0,0.5,,319.0,8.3,,1023.6,
2023-01-21,-3.9,-9.0,-1.1,6.7,,330.0,15.7,,1019.4,
2023-01-22,-8.1,-14.0,-1.9,0.0,,301.0,13.2,,1016.1,
2023-01-23,-7.6,-16.0,0.7,0.0,,316.0,5.2,,1022.2,
2023-01-24,-4.0,-9.0,0.0,0.0,,305.0,14.3,,1019.0,
2023-01-25,-4.3,-8.0,0.0,0.0,,317.0,18.9,,1020.5,
2023-01-26,-0.7,-4.0,1.3,0.0,,281.0,18.0,,1020.7,
2023-01-27,2.0,0.0,4.3,0.0,,255.0,17.7,,1013.6,
2023-01-28,-6.5,-14.0,0.6,0.8,,12.0,20.9,,1015.4,
2023-01-29,-16.0,-17.2,-14.3,0.0,,24.0,18.5,,1027.7,
2023-01-30,-15.6,-18.0,-13.0,0.0,,10.0,7.1,,1029.8,
2023-01-31,-14.7,-21.3,-6.0,0.0,,263.0,6.0,,1025.9,
2023-02-01,-9.7,-17.0,0.0,0.0,,269.0,5.9,,1023.1,
2023-02-02,-6.0,-12.0,0.2,0.0,,349.0,10.7,,1029.0,
2023-02-03,-4.7,-13.0,1.1,0.0,,212.0,11.5,,1029.2,
2023-02-04,0.3,-6.0,6.7,0.0,,306.0,13.6,,1017.5,
2023-02-05,1.2,-4.0,7.0,0.0,,210.0,9.8,,1018.8,
2023-02-06,1.4,-4.7,5.0,0.0,,299.0,19.1,,1010.7,
2023-02-07,1.5,-3.0,7.1,0.0,,307.0,11.3,,1024.1,
2023-02-08,1.4,-4.7,10.0,0.0,,287.0,10.5,,1018.4,
2023-02-09,0.8,-3.0,2.8,0.0,,344.0,30.0,,1024.8,
2023-02-10,-1.4,-7.0,6.0,0.0,,267.0,10.4,,1031.0,
2023-02-11,3.5,-5.0,14.4,0.0,,210.0,15.1,,1021.2,
2023-02-12,2.7,-2.0,9.6,0.0,,347.0,15.4,,1015.7,
2023-02-13,5.9,-4.6,17.0,0.8,,204.0,14.5,,1010.1,
2023-02-14,3.9,1.0,6.0,11.0,,302.0,19.1,,994.9,
2023-02-15,-4.8,-9.0,0.7,10.6,,12.0,27.8,,1015.8,
2023-02-16,-8.0,-15.0,-3.0,4.4,,323.0,20.0,,1023.8,
2023-02-17,-6.1,-16.0,4.5,0.0,,243.0,8.4,,1024.2,
2023-02-18,-2.3,-6.7,3.3,0.0,,274.0,5.3,,1013.5,
2023-02-19,1.6,-3.5,7.0,0.0,,329.0,8.4,,1013.5,
2023-02-20,2.7,-3.9,9.7,0.0,,269.0,9.1,,1011.1,
2023-02-21,5.5,-3.0,16.1,0.0,,146.0,14.6,,999.8,
2023-02-22,-9.7,-16.0,2.6,2.0,,1.0,31.3,,1002.9,
2023-02-23,-14.2,-19.0,-9.6,0.0,,0.0,23.5,,1024.5,
2023-02-24,-10.8,-18.4,-3.0,0.1,,117.0,8.0,,1029.5,
2023-02-25,-0.7,-10.0,8.8,0.0,,246.0,5.4,,1020.7,
2023-02-26,5.8,-4.0,18.8,4.7,,60.0,10.2,,1002.8,
2023-02-27,6.9,0.5,14.3,0.0,,338.0,27.1,,1005.1,
2023-02-28,4.5,-3.0,14.1,0.2,,230.0,12.3,,1006.3,
2023-03-01,2.6,-2.7,8.1,0.4,,359.0,10.0,,1012.5,
2023-03-02,0.7,-4.0,8.0,0.0,,31.0,3.9,,1011.1,
2023-03-03,4.5,-3.3,13.0,0.0,,333.0,10.8,,1006.7,
2023-03-04,3.7,-0.2,9.0,0.2,,9.0,11.6,,1016.3,
2023-03-05,5.7,-1.1,16.0,0.0,,50.0,10.0,,1010.2,
2023-03-06,1.8,-1.2,7.3,0.0,,22.0,18.4,,1020.7,
2023-03-07,-1.7,-3.5,-0.5,0.0,,58.0,11.4,,1025.2,
2023-03-08,-1.6,-2.3,-0.8,0.0,,34.0,11.3,,1025.6,
2023-03-09,-0.3,-4.0,5.6,0.4,,10.0,8.1,,1023.2,
2023-03-10,-0.5,-7.4,6.5,0.0,,126.0,16.5,,1017.1,
2023-03-11,4.0,-1.0,12.5,0.2,,7.0,14.1,,1009.4,
2023-03-12,-0.2,-4.5,5.2,0.0,,0.0,17.5,,1021.6,
2023-03-13,-1.3,-6.6,5.4,0.0,,90.0,9.2,,1025.3,
2023-03-14,6.3,-4.4,19.0,0.0,,188.0,21.1,,1018.6,
2023-03-15,11.9,3.0,25.0,0.0,,184.0,17.5,,1006.0,
2023-03-16,2.4,-5.0,13.0,6.7,,355.0,35.0,,1013.6,
2023-03-17,-0.3,-6.3,7.0,0.0,,325.0,25.3,,1023.4,
2023-03-18,-4.2,-10.0,2.0,0.0,,345.0,15.6,,1030.1,
2023-03-19,1.8,-11.6,15.0,0.0,,214.0,22.5,,1023.2,
2023-03-20,5.7,-4.1,15.0,0.0,,106.0,8.2,,1009.2,
2023-03-21,6.9,0.0,14.8,0.0,,34.0,8.5,,1008.0,
2023-03-22,5.5,-1.5,12.4,0.5,,60.0,17.4,,1011.6,
2023-03-23,2.7,-4.0,11.0,0.0,,71.0,9.0,,1017.2,
2023-03-24,2.3,-1.0,6.2,3.0,,341.0,5.2,,1012.1,
2023-03-25,-0.5,-5.3,4.7,1.9,,319.0,22.9,,1009.8,
2023-03-26,-0.2,-1.5,1.0,0.1,,11.0,9.8,,1018.5,
2023-03-27,-2.0,-5.0,1.0,4.8,,42.0,8.3,,1024.3,
