time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,-1.1,-3.7,2.4,0.0,,264.0,13.8,35.0,993.7,
2023-01-02,-4.8,-7.6,-3.0,0.0,,266.0,8.0,33.3,1010.7,
2023-01-03,-6.2,-7.6,-4.9,0.0,,18.0,3.3,14.0,1011.6,
2023-01-04,-10.4,-13.8,-7.4,0.3,,355.0,4.5,14.0,1018.6,
2023-01-05,-8.8,-13.4,-7.3,0.0,,24.0,3.3,13.0,1021.4,
2023-01-06,-10.4,-13.1,-9.1,0.0,,353.0,1.9,11.1,1028.9,
2023-01-07,-11.2,-13.6,-9.6,0.0,,137.0,9.0,30.0,1026.8,
2023-01-08,-9.6,-10.5,-8.2,0.6,,137.0,18.9,46.0,1020.5,
2023-01-09,-6.9,-8.2,-5.5,3.0,,138.0,19.1,47.0,1014.9,
2023-01-10,-8.6,-9.5,-7.2,4.0,,142.0,14.6,34.0,1012.5,
2023-01-11,-0.9,-6.7,1.1,1.8,,176.0,12.2,40.0,1004.5,
2023-01-12,0.9,0.6,1.3,0.5,,174.0,14.6,37.0,997.6,
2023-01-13,0.9,0.0,1.5,2.3,,180.0,9.9,29.6,996.3,
2023-01-14,1.6,0.0,2.2,5.6,,172.0,10.5,28.0,997.5,
2023-01-15,1.0,0.2,1.5,2.1,,160.0,13.5,44.0,991.2,
2023-01-16,1.1,-0.9,1.8,1.6,,179.0,15.8,44.5,984.3,
2023-01-17,-0.2,-1.1,0.4,0.4,,165.0,11.2,36.0,1000.1,
2023-01-18,-0.3,-1.1,0.6,4.3,,137.0,12.2,32.0,999.6,
2023-01-19,-0.6,-2.1,0.4,3.8,,342.0,6.5,24.1,998.9,
2023-01-20,-2.0,-4.5,-1.5,0.0,,210.0,5.9,25.0,1015.0,
2023-01-21,-1.9,-3.0,-1.1,0.0,,241.0,7.8,23.0,1030.5,
2023-01-22,-5.1,-7.6,-3.0,0.0,,182.0,8.5,21.0,1038.1,
2023-01-23,-7.4,-10.4,-3.5,0.0,,183.0,8.6,24.1,1033.0,
2023-01-24,-1.6,-3.8,-0.1,4.4,,231.0,8.0,26.0,1022.9,
2023-01-25,1.7,0.0,3.1,0.1,,231.0,11.5,37.0,1008.1,
