time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,17.8,12.7,25.0,2.2,,84.0,4.4,,1018.7,
2023-01-02,17.9,12.0,27.0,0.8,,125.0,4.7,,1018.1,
2023-01-03,18.3,11.0,29.0,2.5,,103.0,5.2,,1017.1,
2023-01-04,18.3,12.0,28.0,0.2,,39.0,5.1,,1018.1,
2023-01-05,16.8,14.6,20.0,5.5,,17.0,4.5,,1021.6,
2023-01-06,15.0,10.0,19.0,1.3,,37.0,4.7,,1022.2,
2023-01-07,14.8,10.8,18.0,2.9,,335.0,4.9,,1021.9,
2023-01-08,16.7,13.0,21.0,1.8,,8.0,3.5,,1021.1,
2023-01-09,17.6,14.5,24.0,3.0,,30.0,3.8,,1021.0,
2023-01-10,16.7,14.9,21.0,4.7,,350.0,5.5,,1020.7,
2023-01-11,16.4,12.4,20.0,1.3,,41.0,3.8,,1020.3,
2023-01-12,17.8,13.0,25.0,2.0,,84.0,5.1,,1019.6,
2023-01-13,15.2,12.1,20.0,15.2,,34.0,9.4,,1022.0,
2023-01-14,12.3,9.7,13.4,23.9,,53.0,10.8,,1023.9,
2023-01-15,12.2,6.9,22.0,0.0,,95.0,6.1,,1020.7,
2023-01-16,16.4,9.7,26.0,0.0,,141.0,8.0,,1015.9,
2023-01-17,17.7,10.0,28.0,0.9,,132.0,6.3,,1014.0,
2023-01-18,18.5,13.8,28.0,0.4,,190.0,8.5,,1013.4,
2023-01-19,17.9,12.0,28.0,0.5,,75.0,5.9,,1016.4,
2023-01-20,17.6,10.8,25.0,0.7,,66.0,5.9,,1018.6,
2023-01-21,17.1,12.0,25.0,0.3,,95.0,6.0,,1016.4,
2023-01-22,17.4,10.0,28.0,1.1,,200.0,5.7,,1014.5,
2023-01-23,16.5,12.3,24.0,0.1,,79.0,6.2,,1017.6,
2023-01-24,16.3,8.0,27.0,0.0,,132.0,6.1,,1016.4,
2023-01-25,18.3,11.0,29.0,0.2,,280.0,9.7,,1016.1,
2023-01-26,16.5,14.8,20.0,11.6,,357.0,7.0,,1020.4,
2023-01-27,16.0,14.2,19.0,14.7,,20.0,7.7,,1021.0,
2023-01-28,16.6,12.1,24.0,0.2,,53.0,6.4,,1020.1,
2023-01-29,15.2,7.0,22.0,0.0,,93.0,6.7,,1018.7,
2023-01-30,16.6,10.0,25.0,0.3,,91.0,6.9,,1018.2,
2023-01-31,17.3,10.0,24.0,2.0,,15.0,4.9,,1018.5,
2023-02-01,17.6,15.0,23.0,6.5,,28.0,5.5,,1019.6,
2023-02-02,16.8,12.0,23.0,5.9,,40.0,5.2,,1019.7,
2023-02-03,14.8,11.6,17.0,13.5,,35.0,6.2,,1021.9,
2023-02-04,15.7,13.9,18.0,14.3,,10.0,6.6,,1022.4,
2023-02-05,16.2,13.9,22.0,1.5,,26.0,6.9,,1021.5,
2023-02-06,13.9,10.6,17.4,2.3,,50.0,4.6,,1019.8,
2023-02-07,17.1,11.8,25.0,0.1,,85.0,5.6,,1017.7,
2023-02-08,17.7,12.1,25.0,1.3,,77.0,6.3,,1017.1,
2023-02-09,18.2,14.9,25.0,1.7,,17.0,6.7,,1017.8,
2023-02-10,16.8,12.5,23.0,2.4,,80.0,6.7,,1017.9,
2023-02-11,16.0,12.4,20.0,9.1,,344.0,8.4,,1019.5,
2023-02-12,13.4,11.4,16.0,34.1,,0.0,9.6,,1021.6,
2023-02-13,14.9,10.8,20.0,1.7,,68.0,5.2,,1019.3,
2023-02-14,17.5,9.9,28.0,1.0,,143.0,6.2,,1015.6,
2023-02-15,18.0,12.0,27.0,0.8,,91.0,5.6,,1015.6,
2023-02-16,19.5,12.5,30.0,1.2,,115.0,7.1,,1014.3,
2023-02-17,17.8,14.0,22.0,4.2,,1.0,9.2,,1018.7,
2023-02-18,15.8,14.2,19.0,15.6,,46.0,8.8,,1021.6,
2023-02-19,15.1,12.6,17.0,8.4,,43.0,6.7,,1022.0,
2023-02-20,14.5,11.0,19.0,3.5,,66.0,5.0,,1020.9,
2023-02-21,17.1,9.0,26.0,0.2,,128.0,6.7,,1017.0,
2023-02-22,19.0,13.0,28.0,1.5,,166.0,8.9,,1015.7,
2023-02-23,18.8,12.0,27.0,0.0,,103.0,8.5,,1017.7,
2023-02-24,17.4,10.9,26.0,0.0,,84.0,7.3,,1019.9,
2023-02-25,18.5,14.0,24.0,8.1,,16.0,6.5,,1020.7,
2023-02-26,17.6,12.3,24.0,2.9,,79.0,7.1,,1018.5,
2023-02-27,17.5,9.0,29.0,0.2,,163.0,7.6,,1015.5,
2023-02-28,18.3,12.0,27.0,0.7,,122.0,5.3,,1015.4,
2023-03-01,19.5,13.0,29.0,1.3,,105.0,6.8,,1014.8,
2023-03-02,19.8,13.0,30.0,0.1,,135.0,7.5,,1011.3,
2023-03-03,21.4,14.0,31.0,0.0,,157.0,8.7,,1008.9,
2023-03-04,20.0,14.0,28.0,2.4,,54.0,6.2,,1014.5,
2023-03-05,19.3,14.9,27.0,1.2,,70.0,5.5,,1017.0,
2023-03-06,19.1,15.1,26.0,0.0,,75.0,6.8,,1017.8,
2023-03-07,17.2,11.2,25.0,0.0,,88.0,7.2,,1017.4,
2023-03-08,17.7,12.0,26.0,0.0,,68.0,7.0,,1017.1,
2023-03-09,17.4,11.0,24.0,0.0,,102.0,8.1,,1017.1,
2023-03-10,17.7,11.4,26.0,0.0,,97.0,8.9,,1016.7,
2023-03-11,18.2,11.3,27.0,0.1,,92.0,8.5,,1015.3,
2023-03-12,20.2,13.9,30.0,1.6,,201.0,9.7,,1013.7,
2023-03-13,20.1,14.6,27.0,8.6,,161.0,9.3,,1014.9,
2023-03-14,20.7,14.0,30.0,11.3,,76.0,6.0,,1017.1,
2023-03-15,18.0,15.8,23.0,2.5,,357.0,5.3,,1018.5,
2023-03-16,18.9,15.2,26.0,2.9,,27.0,5.3,,1017.7,
2023-03-17,19.8,12.0,30.0,0.1,,154.0,6.1,,1014.3,
2023-03-18,18.4,12.0,27.0,5.7,,18.0,5.5,,1016.4,
2023-03-19,17.3,15.4,22.0,19.5,,341.0,5.5,,1019.5,
2023-03-20,16.8,14.9,19.0,28.8,,357.0,8.0,,1021.0,
2023-03-21,17.8,15.4,23.0,11.2,,20.0,8.0,,1020.5,
2023-03-22,18.8,15.7,24.0,4.9,,36.0,7.9,,1020.0,
2023-03-23,18.6,15.6,26.0,2.1,,71.0,6.4,,1019.3,
2023-03-24,19.6,12.0,28.0,1.4,,144.0,8.3,,1015.8,
2023-03-25,20.7,15.7,29.0,0.3,,174.0,10.0,,1013.7,
2023-03-26,20.4,15.0,29.0,0.3,,131.0,9.0,,1014.4,
2023-03-27,20.1,13.0,29.0,2.0,,139.0,8.8,,1015.0,
2023-03-28,19.7,13.0,28.0,0.0,,84.0,6.2,,1016.1,
2023-03-29,19.2,13.6,26.0,0.8,,79.0,7.2,,1017.5,
2023-03-30,18.3,12.1,27.0,1.6,,76.0,7.0,,1018.3,
2023-03-31,19.3,15.3,26.0,4.7,,38.0,6.1,,1017.8,
2023-04-01,17.9,12.0,25.0,0.0,,78.0,6.4,,1017.9,
2023-04-02,17.6,9.0,26.0,0.0,,100.0,5.5,,1017.0,
2023-04-03,18.2,9.0,27.0,0.0,,93.0,6.3,,1014.4,
2023-04-04,19.9,13.0,30.0,0.1,,139.0,9.8,,1012.8,
2023-04-05,20.7,13.0,29.0,0.2,,130.0,10.1,,1013.3,
2023-04-06,20.3,14.0,29.0,0.7,,93.0,9.1,,1014.9,
2023-04-07,18.9,13.0,27.0,0.0,,122.0,7.4,,1016.1,
2023-04-08,18.2,11.1,28.0,0.0,,113.0,7.7,,1016.8,
2023-04-09,18.3,13.0,25.0,0.6,,79.0,9.7,,1017.7,
2023-04-10,18.2,12.8,24.0,0.2,,69.0,8.3,,1018.4,
2023-04-11,17.9,11.0,24.0,0.0,,67.0,5.7,,1017.5,
2023-04-12,18.3,14.0,24.0,2.2,,18.0,5.5,,1016.3,
2023-04-13,19.1,13.7,27.0,0.5,,114.0,5.6,,1014.4,
2023-04-14,20.1,12.0,30.0,0.1,,94.0,6.7,,1013.5,
2023-04-15,21.6,13.0,30.0,1.8,,97.0,8.4,,1014.4,
2023-04-16,20.5,15.0,28.0,4.1,,40.0,6.3,,1016.2,
2023-04-17,18.8,15.0,26.0,9.4,,353.0,6.7,,1017.6,
2023-04-18,19.6,14.5,27.0,1.1,,37.0,6.2,,1015.6,
2023-04-19,19.9,12.0,28.0,0.4,,114.0,8.5,,1014.8,
2023-04-20,20.6,14.0,29.0,0.5,,131.0,8.2,,1015.6,
2023-04-21,21.4,14.0,30.0,0.9,,165.0,9.7,,1014.2,
2023-04-22,21.3,13.0,29.0,0.6,,91.0,8.1,,1013.3,
2023-04-23,21.2,13.0,30.0,0.2,,84.0,8.2,,1012.7,
2023-04-24,20.7,16.0,30.0,4.9,,203.0,11.2,,1013.2,
2023-04-25,20.9,15.6,29.0,4.0,,91.0,5.3,,1014.1,
2023-04-26,21.3,15.7,32.0,0.4,,203.0,6.4,,1012.8,
2023-04-27,21.6,15.0,32.0,1.5,,188.0,8.3,,1011.9,
2023-04-28,22.1,16.0,31.0,0.4,,114.0,7.5,,1012.8,
