time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,14.1,6.4,20.1,0.0,,61.0,6.5,,1019.0,
2023-01-02,13.7,4.6,19.9,0.0,,66.0,6.6,,1019.3,
2023-01-03,13.9,7.4,20.0,0.0,,58.0,6.4,,1019.2,
2023-01-04,11.7,8.0,17.2,0.1,,64.0,9.6,,1020.0,
2023-01-05,12.3,7.5,18.5,0.0,,72.0,8.8,,1020.8,
2023-01-06,13.1,8.0,20.6,0.0,,73.0,6.8,,1021.5,
2023-01-07,13.4,8.2,21.6,0.0,,65.0,6.1,,1020.3,
2023-01-08,13.9,2.4,20.4,0.0,,75.0,6.7,,1018.7,
2023-01-09,15.5,5.4,21.6,0.0,,69.0,5.8,,1019.3,
2023-01-10,16.7,4.4,21.8,0.0,,61.0,5.9,,1018.4,
2023-01-11,16.8,5.6,23.2,0.0,,139.0,7.3,,1015.3,
2023-01-12,16.4,7.4,22.8,0.0,,243.0,6.6,,1013.5,
2023-01-13,16.8,8.2,23.0,0.0,,250.0,7.9,,1014.0,
2023-01-14,14.5,7.4,19.9,0.0,,326.0,6.8,,1015.6,
2023-01-15,13.4,3.8,19.8,0.0,,24.0,7.8,,1015.0,
2023-01-16,13.8,6.4,20.0,0.0,,46.0,8.1,,1014.8,
2023-01-17,13.7,8.2,18.9,0.0,,61.0,9.5,,1015.6,
2023-01-18,13.5,4.6,22.0,0.0,,60.0,9.9,,1017.4,
2023-01-19,15.4,8.4,21.5,0.0,,85.0,8.4,,1016.9,
2023-01-20,18.6,13.8,24.2,0.0,,181.0,12.3,,1014.8,
2023-01-21,18.8,13.8,24.1,0.0,,194.0,8.8,,1014.7,
2023-01-22,19.0,14.6,24.2,0.0,,185.0,10.1,,1013.9,
2023-01-23,19.2,15.2,24.1,0.0,,156.0,10.0,,1013.7,
2023-01-24,19.2,15.2,24.8,0.0,,176.0,11.2,,1013.4,
2023-01-25,18.3,13.9,24.5,0.1,,223.0,9.8,,1014.2,
2023-01-26,17.3,14.1,23.2,0.0,,62.0,9.4,,1015.9,
2023-01-27,16.4,13.5,21.2,0.0,,49.0,10.9,,1016.9,
2023-01-28,17.5,11.0,23.6,0.0,,74.0,9.5,,1014.7,
2023-01-29,19.3,12.0,25.5,0.0,,160.0,10.4,,1012.5,
2023-01-30,19.6,14.9,25.4,0.0,,161.0,12.0,,1015.2,
2023-01-31,16.6,12.0,21.5,0.6,,52.0,10.5,,1017.0,
2023-02-01,14.4,9.8,21.2,0.0,,50.0,11.1,,1017.7,
2023-02-02,14.1,2.8,21.4,0.0,,58.0,9.1,,1017.2,
2023-02-03,15.8,2.4,23.0,0.0,,63.0,9.3,,1016.8,
2023-02-04,16.8,4.0,22.8,0.0,,32.0,8.2,,1015.1,
2023-02-05,18.7,5.0,23.8,0.0,,22.0,6.6,,1013.9,
2023-02-06,19.1,7.0,25.0,0.0,,244.0,7.8,,1013.1,
2023-02-07,18.4,13.4,24.1,0.0,,282.0,7.8,,1012.8,
2023-02-08,16.9,7.4,22.9,0.0,,350.0,7.4,,1014.8,
2023-02-09,19.7,5.4,25.8,0.0,,36.0,6.8,,1014.3,
2023-02-10,20.9,9.2,27.4,0.0,,252.0,8.1,,1014.3,
2023-02-11,19.8,10.8,25.9,0.0,,264.0,8.5,,1015.0,
2023-02-12,18.4,14.7,23.6,0.0,,0.0,10.0,,1017.5,
2023-02-13,16.2,11.8,22.1,0.0,,327.0,8.0,,1017.8,
2023-02-14,17.3,11.7,24.8,0.0,,333.0,6.4,,1017.1,
2023-02-15,19.2,13.2,25.6,0.0,,322.0,7.5,,1015.0,
2023-02-16,20.2,15.1,26.4,0.0,,323.0,8.6,,1015.1,
2023-02-17,19.2,14.1,25.0,0.0,,18.0,9.5,,1015.7,
2023-02-18,19.2,12.2,26.0,0.0,,28.0,8.4,,1015.5,
2023-02-19,20.7,10.0,27.6,0.0,,18.0,8.0,,1015.2,
2023-02-20,23.1,18.0,29.2,0.0,,299.0,6.7,,1014.1,
2023-02-21,22.5,9.0,29.5,0.0,,248.0,8.9,,1013.8,
2023-02-22,21.4,13.8,27.9,0.0,,259.0,8.9,,1013.5,
2023-02-23,21.9,12.6,28.2,0.0,,268.0,8.5,,1013.5,
2023-02-24,21.9,9.8,28.8,0.0,,291.0,6.8,,1015.0,
2023-02-25,23.0,9.0,28.9,0.0,,7.0,7.5,,1016.6,
2023-02-26,23.2,9.6,29.6,0.0,,355.0,8.6,,1017.2,
2023-02-27,22.4,9.4,29.5,0.0,,163.0,9.6,,1016.9,
2023-02-28,23.4,17.0,29.9,0.0,,138.0,9.5,,1016.5,
2023-03-01,23.0,18.5,28.9,0.0,,180.0,9.3,,1017.5,
2023-03-02,23.1,15.0,29.5,0.0,,130.0,8.0,,1018.0,
2023-03-03,23.7,18.9,29.9,0.0,,71.0,10.3,,1018.9,
2023-03-04,23.2,15.4,30.0,0.0,,98.0,10.2,,1018.8,
2023-03-05,22.4,17.0,29.5,0.5,,130.0,10.3,,1018.7,
2023-03-06,22.2,13.0,28.2,0.0,,343.0,9.0,,1017.0,
2023-03-07,18.3,14.6,23.1,0.8,,201.0,9.4,,1017.8,
2023-03-08,19.8,10.4,25.9,0.0,,309.0,6.7,,1016.9,
2023-03-09,20.3,14.8,26.5,0.0,,41.0,10.3,,1016.5,
2023-03-10,20.0,12.0,26.1,0.0,,16.0,9.5,,1016.1,
2023-03-11,20.6,13.0,27.4,0.0,,26.0,9.0,,1015.9,
2023-03-12,22.2,13.0,29.8,0.0,,27.0,9.5,,1015.1,
2023-03-13,23.1,16.0,29.9,0.0,,36.0,9.4,,1013.8,
2023-03-14,22.1,14.4,28.4,0.4,,146.0,8.6,,1012.0,
2023-03-15,22.3,13.8,28.8,0.0,,217.0,8.4,,1010.9,
2023-03-16,20.2,15.4,25.9,1.7,,220.0,9.0,,1012.7,
2023-03-17,19.4,14.0,26.5,2.2,,195.0,8.3,,1012.5,
2023-03-18,18.9,14.4,24.0,0.4,,189.0,7.1,,1011.5,
2023-03-19,17.2,13.9,22.5,14.7,,224.0,7.7,,1009.9,
2023-03-20,18.0,12.2,24.4,0.0,,241.0,7.5,,1008.9,
2023-03-21,19.4,15.6,24.4,0.3,,251.0,8.1,,1009.7,
2023-03-22,20.4,17.0,24.8,0.0,,298.0,6.8,,1010.5,
2023-03-23,20.6,14.4,26.4,0.1,,246.0,7.5,,1010.3,
2023-03-24,21.6,16.6,27.1,0.0,,239.0,8.1,,1010.6,
2023-03-25,22.7,18.0,28.1,0.0,,271.0,7.5,,1011.8,
2023-03-26,22.7,17.4,28.2,0.0,,243.0,8.8,,1010.5,
2023-03-27,21.6,15.1,28.5,0.0,,262.0,8.6,,1010.1,
2023-03-28,23.3,16.9,29.6,0.0,,6.0,8.2,,1010.1,
2023-03-29,24.4,16.4,30.3,0.0,,265.0,8.8,,1010.3,
2023-03-30,24.4,16.8,30.7,0.0,,237.0,10.0,,1008.6,
2023-03-31,20.3,17.4,23.9,0.0,,255.0,9.2,,1010.0,
2023-04-01,20.9,15.9,26.2,0.0,,275.0,9.3,,1010.2,
