idx_city,elevation
COLOMBIA_ANTIOQUIA_CARACOLI,616.0
COLOMBIA_ANTIOQUIA_CAUCASIA,59.0
COLOMBIA_ANTIOQUIA_EL BAGRE,518.0
COLOMBIA_ANTIOQUIA_MUTATA,133.0
COLOMBIA_ANTIOQUIA_NECHI,31.0
COLOMBIA_ANTIOQUIA_NECOCLI,4.0
COLOMBIA_ANTIOQUIA_PUERTO BERRIO,114.0
COLOMBIA_ANTIOQUIA_PUERTO NARE (LA MAGDALENA ),131.0
COLOMBIA_ANTIOQUIA_REMEDIOS,719.0
COLOMBIA_ANTIOQUIA_SAN PEDRO DE URABA,136.0
COLOMBIA_ATLANTICO_MANATI,11.0
COLOMBIA_ATLANTICO_SANTA LUCIA,11.0
COLOMBIA_BOLIVAR_EL CARMEN DE BOLIVAR,158.0
COLOMBIA_BOLIVAR_EL GUAMO,70.0
COLOMBIA_BOLIVAR_MAGANGUE,16.0
COLOMBIA_BOLIVAR_MARIA LA BAJA,13.0
COLOMBIA_BOLIVAR_NOROSÌ,47.0
COLOMBIA_BOLIVAR_REGIDOR,36.0
COLOMBIA_BOLIVAR_RIO VIEJO,36.0
COLOMBIA_BOLIVAR_SAN JUAN NEPOMUCENO,168.0
COLOMBIA_BOLIVAR_SANTA ROSA DEL SUR,632.0
COLOMBIA_BOLIVAR_SOPLAVIENTO,6.0
COLOMBIA_BOYACA_OTANCHE,1028.0
COLOMBIA_CALDAS_LA DORADA,176.0
COLOMBIA_CALDAS_SALAMINA,1805.0
COLOMBIA_CAQUETA_CURILLO,230.0
COLOMBIA_CAQUETA_SAN VICENTE DEL CAGUAN,265.0
COLOMBIA_CAQUETA_SOLANO,151.0
COLOMBIA_CASANARE_PAZ DE ARIPORO,273.0
COLOMBIA_CASANARE_TRINIDAD,167.0
COLOMBIA_CASANARE_VILLANUEVA,288.0
COLOMBIA_CASANARE_YOPAL,336.0
COLOMBIA_CAUCA_ARGELIA,1316.0
COLOMBIA_CAUCA_BUENOS AIRES,1206.0
COLOMBIA_CAUCA_CALOTO,1099.0
COLOMBIA_CAUCA_LOPEZ (MICAY),36.0
COLOMBIA_CAUCA_PADILLA,1002.0
COLOMBIA_CAUCA_PATIA (EL BORDO),996.0
COLOMBIA_CAUCA_SANTANDER DE QUILICHAO,1064.0
COLOMBIA_CESAR_AGUACHICA,179.0
COLOMBIA_CESAR_AGUSTIN CODAZZI,134.0
COLOMBIA_CESAR_ASTREA,86.0
COLOMBIA_CESAR_BOSCONIA,74.0
COLOMBIA_CESAR_CURUMANI,56.0
COLOMBIA_CESAR_LA JAGUA DE IBIRICO,143.0
COLOMBIA_CESAR_PUEBLO BELLO,1088.0
COLOMBIA_CHOCO_ACANDI,8.0
COLOMBIA_CHOCO_BAJO BAUDO (PIZARRO),19.0
COLOMBIA_CHOCO_CONDOTO,218.0
COLOMBIA_CHOCO_RIOSUCIO,2.0
COLOMBIA_CHOCO_UNION PANAMERICANA,92.0
COLOMBIA_CORDOBA_AYAPEL,28.0
COLOMBIA_CORDOBA_LORICA,13.0
COLOMBIA_CORDOBA_LOS CORDOBAS,10.0
COLOMBIA_CORDOBA_MONTELIBANO,49.0
COLOMBIA_CORDOBA_MOÑITOS,0.0
COLOMBIA_CORDOBA_PLANETA RICA,89.0
COLOMBIA_CORDOBA_PUEBLO NUEVO,122.0
COLOMBIA_CORDOBA_PUERTO LIBERTADOR,181.0
COLOMBIA_CORDOBA_SAHAGUN,85.0
