city,state,country,Latitude,Longitude,idx_city,status,nearest_city
caracoli,antioquia,colombia,6.4092756,-74.7566979,COLOMBIA_ANTIOQUIA_CARACOLI,empty,COLOMBIA_ANTIOQUIA_GUATAPE
caucasia,antioquia,colombia,7.9877579,-75.1983745,COLOMBIA_ANTIOQUIA_CAUCASIA,empty,COLOMBIA_CORDOBA_SAN CARLOS
el bagre,antioquia,colombia,7.6977101,-74.6222028245339,COLOMBIA_ANTIOQUIA_EL BAGRE,empty,COLOMBIA_ANTIOQUIA_YONDO (CASABE)
mutata,antioquia,colombia,7.2440678,-76.436542,COLOMBIA_ANTIOQUIA_MUTATA,empty,COLOMBIA_ANTIOQUIA_CHIGORODO
nechi,antioquia,colombia,8.0938077,-74.7751988,COLOMBIA_ANTIOQUIA_NECHI,empty,COLOMBIA_SUCRE_EL ROBLE
necocli,antioquia,colombia,8.4242821,-76.784019,COLOMBIA_ANTIOQUIA_NECOCLI,empty,COLOMBIA_ANTIOQUIA_TURBO
puerto berrio,antioquia,colombia,6.4899205,-74.4020634,COLOMBIA_ANTIOQUIA_PUERTO BERRIO,empty,COLOMBIA_ANTIOQUIA_YONDO (CASABE)
puerto nare la magdalena,antioquia,colombia,6.1876653,-74.5828711,COLOMBIA_ANTIOQUIA_PUERTO NARE (LA MAGDALENA ),empty,COLOMBIA_ANTIOQUIA_GUATAPE
remedios,antioquia,colombia,7.0285327,-74.695191,COLOMBIA_ANTIOQUIA_REMEDIOS,empty,COLOMBIA_ANTIOQUIA_YONDO (CASABE)
san pedro de uraba,antioquia,colombia,8.2778883,-76.3830793,COLOMBIA_ANTIOQUIA_SAN PEDRO DE URABA,empty,COLOMBIA_ANTIOQUIA_TURBO
manati,atlantico,colombia,10.4470319,-74.9594166,COLOMBIA_ATLANTICO_MANATI,empty,COLOMBIA_ATLANTICO_SABANALARGA
santa lucia,atlantico,colombia,10.3244398,-74.9610815,COLOMBIA_ATLANTICO_SANTA LUCIA,empty,COLOMBIA_ATLANTICO_SABANALARGA
el carmen de bolivar,bolivar,colombia,9.7169432,-75.1221847,COLOMBIA_BOLIVAR_EL CARMEN DE BOLIVAR,empty,COLOMBIA_SUCRE_OVEJAS
el guamo,bolivar,colombia,10.0312607,-74.9754413,COLOMBIA_BOLIVAR_EL GUAMO,empty,COLOMBIA_BOLIVAR_ARJONA
magangue,bolivar,colombia,9.2412097,-74.7567413,COLOMBIA_BOLIVAR_MAGANGUE,empty,COLOMBIA_SUCRE_BUENAVISTA
maria la baja,bolivar,colombia,9.9840479,-75.3019515,COLOMBIA_BOLIVAR_MARIA LA BAJA,empty,COLOMBIA_BOLIVAR_ARJONA
norosi,bolivar,colombia,8.5419674,-74.0251545,COLOMBIA_BOLIVAR_NOROSÌ,empty,COLOMBIA_SUCRE_GALERAS (NUEVA GRANADA)
regidor,bolivar,colombia,8.6650933,-73.8224537,COLOMBIA_BOLIVAR_REGIDOR,empty,COLOMBIA_NORTE SANTANDER_EL ZULIA
rio viejo,bolivar,colombia,8.5869742,-73.8388939,COLOMBIA_BOLIVAR_RIO VIEJO,empty,COLOMBIA_NORTE SANTANDER_EL ZULIA
san juan nepomuceno,bolivar,colombia,9.9512143,-75.0794539,COLOMBIA_BOLIVAR_SAN JUAN NEPOMUCENO,empty,COLOMBIA_BOLIVAR_ARJONA
santa rosa del sur,bolivar,colombia,7.9635222,-74.0506379,COLOMBIA_BOLIVAR_SANTA ROSA DEL SUR,empty,COLOMBIA_SANTANDER_BARRANCABERMEJA
soplaviento,bolivar,colombia,10.3894704,-75.1369206,COLOMBIA_BOLIVAR_SOPLAVIENTO,empty,COLOMBIA_BOLIVAR_VILLANUEVA
otanche,boyaca,colombia,5.6599976,-74.1816643,COLOMBIA_BOYACA_OTANCHE,empty,COLOMBIA_CUNDINAMARCA_SUPATA
la dorada,caldas,colombia,5.4457655,-74.6618458,COLOMBIA_CALDAS_LA DORADA,empty,COLOMBIA_TOLIMA_HONDA
salamina,caldas,colombia,5.4078495,-75.4880496,COLOMBIA_CALDAS_SALAMINA,empty,COLOMBIA_CALDAS_NEIRA
curillo,caqueta,colombia,1.0326931,-75.9193814,COLOMBIA_CAQUETA_CURILLO,empty,COLOMBIA_CAQUETA_MILAN
