city,state,country,Latitude,Longitude,idx_city
exterior_aruba,exterior,aruba,12.5013629,-69.9618475,ARUBA_EXTERIOR_EXTERIOR_ARUBA
exterior_brasil,exterior,brasil,-10.3333333,-53.2,BRASIL_EXTERIOR_EXTERIOR_BRASIL
leticia,amazonas,colombia,-4.2129211,-69.9425963,COLOMBIA_AMAZONAS_LETICIA
apartado,antioquia,colombia,7.8849011,-76.6227461,COLOMBIA_ANTIOQUIA_APARTADO
caracoli,antioquia,colombia,6.4092756,-74.7566979,COLOMBIA_ANTIOQUIA_CARACOLI
carepa,antioquia,colombia,7.79845155,-76.74603894250129,COLOMBIA_ANTIOQUIA_CAREPA
caucasia,antioquia,colombia,7.9877579,-75.1983745,COLOMBIA_ANTIOQUIA_CAUCASIA
chigorodo,antioquia,colombia,7.6129384,-76.63842602303447,COLOMBIA_ANTIOQUIA_CHIGORODO
copacabana,antioquia,colombia,6.3461047,-75.5080262,COLOMBIA_ANTIOQUIA_COPACABANA
el bagre,antioquia,colombia,7.6977101,-74.6222028245339,COLOMBIA_ANTIOQUIA_EL BAGRE
itagui,antioquia,colombia,6.1724352,-75.6093254,COLOMBIA_ANTIOQUIA_ITAGUI
medellin,antioquia,colombia,6.269732449999999,-75.60255965090315,COLOMBIA_ANTIOQUIA_MEDELLIN
mutata,antioquia,colombia,7.2440678,-76.436542,COLOMBIA_ANTIOQUIA_MUTATA
nechi,antioquia,colombia,8.0938077,-74.7751988,COLOMBIA_ANTIOQUIA_NECHI
necocli,antioquia,colombia,8.4242821,-76.784019,COLOMBIA_ANTIOQUIA_NECOCLI
puerto berrio,antioquia,colombia,6.4899205,-74.4020634,COLOMBIA_ANTIOQUIA_PUERTO BERRIO
puerto nare la magdalena,antioquia,colombia,6.1876653,-74.5828711,COLOMBIA_ANTIOQUIA_PUERTO NARE (LA MAGDALENA )
remedios,antioquia,colombia,7.0285327,-74.695191,COLOMBIA_ANTIOQUIA_REMEDIOS
san pedro de uraba,antioquia,colombia,8.2778883,-76.3830793,COLOMBIA_ANTIOQUIA_SAN PEDRO DE URABA
turbo,antioquia,colombia,8.0950848,-76.728545,COLOMBIA_ANTIOQUIA_TURBO
arauca,arauca,colombia,7.0851994,-70.7577762,COLOMBIA_ARAUCA_ARAUCA
fortul,arauca,colombia,6.7928481,-71.7743907,COLOMBIA_ARAUCA_FORTUL
saravena,arauca,colombia,6.9068188,-71.83613345742756,COLOMBIA_ARAUCA_SARAVENA
baranoa,atlantico,colombia,10.7935815,-74.9152164,COLOMBIA_ATLANTICO_BARANOA
barranquilla,atlantico,colombia,11.0101922,-74.8231794084391,COLOMBIA_ATLANTICO_BARRANQUILLA
galapa,atlantico,colombia,10.8968665,-74.8859608,COLOMBIA_ATLANTICO_GALAPA
