Date,Sample_size,Mean_distance_p5,Mean_distance_avg,Mean_distance_p95,Mean_distance_p5_7day_movavg,Mean_distance_avg_7day_movavg,Mean_distance_p95_7day_movavg,Mean_distance_p5_14day_movavg,Mean_distance_avg_14day_movavg,Mean_distance_p95_14day_movavg,Mean_distance_p5_21day_movavg,Mean_distance_avg_21day_movavg,Mean_distance_p95_21day_movavg,Mean_distance_p5_28day_movavg,Mean_distance_avg_28day_movavg,Mean_distance_p95_28day_movavg,At_home_p5,At_home_avg,At_home_p95,At_home_p5_7day_movavg,At_home_avg_7day_movavg,At_home_p95_7day_movavg,At_home_p5_14day_movavg,At_home_avg_14day_movavg,At_home_p95_14day_movavg,At_home_p5_21day_movavg,At_home_avg_21day_movavg,At_home_p95_21day_movavg,At_home_p5_28day_movavg,At_home_avg_28day_movavg,At_home_p95_28day_movavg
2020-03-11,20436,30.04,32.24,35.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.05,16.6,17.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-12,17170,27.47,29.43,31.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.54,18.26,18.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-13,18270,31.65,33.95,36.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.23,16.95,17.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-14,18393,27.39,29.09,30.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.1,22.87,23.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-15,20318,24.79,26.46,28.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.7,30.65,31.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-16,20644,27.42,28.93,30.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.64,23.25,23.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-17,22115,22.93,24.18,25.62,28.5,29.18,29.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.83,29.5,30.26,22.31,22.58,22.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-18,22656,22.71,24.51,26.31,27.42,28.08,28.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.89,31.61,32.31,24.45,24.73,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-19,22753,17.8,19.04,20.41,25.98,26.59,27.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.62,38.4,39.18,27.32,27.6,27.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-20,21725,16.72,18.11,19.63,23.76,24.33,24.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.31,40.29,41.28,30.64,30.94,31.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-21,23123,11.86,14.22,17.21,21.6,22.21,22.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,49.78,50.49,34.49,34.78,35.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-22,19800,8.95,10.22,11.52,19.3,19.89,20.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.91,60.73,61.64,38.79,39.08,39.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-23,20261,12.7,13.91,15.06,17.17,17.74,18.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.56,48.54,49.57,42.38,42.69,43.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-24,22607,13.62,14.69,15.84,15.83,16.39,17,22.35,22.78,23.27,NaN,NaN,NaN,NaN,NaN,NaN,48.75,49.72,50.8,45.26,45.58,45.92,33.87,34.08,34.29,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-25,23997,12.18,13.12,14.11,14.25,14.76,15.32,21,21.42,21.87,NaN,NaN,NaN,NaN,NaN,NaN,48.6,49.33,50.06,47.79,48.11,48.45,36.21,36.42,36.63,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-26,22723,12.24,13.5,14.71,13.45,13.97,14.52,19.88,20.28,20.71,NaN,NaN,NaN,NaN,NaN,NaN,46.2,46.9,47.74,49.01,49.33,49.67,38.25,38.47,38.68,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-27,22053,11.34,12.84,14.12,12.69,13.21,13.76,18.39,18.77,19.18,NaN,NaN,NaN,NaN,NaN,NaN,49.28,50.39,51.5,50.44,50.77,51.12,40.63,40.85,41.08,NaN,NaN,NaN,NaN,NaN,NaN
