Date,Sample_size,Mean_distance_p5,Mean_distance_avg,Mean_distance_p95,Mean_distance_p5_7day_movavg,Mean_distance_avg_7day_movavg,Mean_distance_p95_7day_movavg,Mean_distance_p5_14day_movavg,Mean_distance_avg_14day_movavg,Mean_distance_p95_14day_movavg,Mean_distance_p5_21day_movavg,Mean_distance_avg_21day_movavg,Mean_distance_p95_21day_movavg,Mean_distance_p5_28day_movavg,Mean_distance_avg_28day_movavg,Mean_distance_p95_28day_movavg,At_home_p5,At_home_avg,At_home_p95,At_home_p5_7day_movavg,At_home_avg_7day_movavg,At_home_p95_7day_movavg,At_home_p5_14day_movavg,At_home_avg_14day_movavg,At_home_p95_14day_movavg,At_home_p5_21day_movavg,At_home_avg_21day_movavg,At_home_p95_21day_movavg,At_home_p5_28day_movavg,At_home_avg_28day_movavg,At_home_p95_28day_movavg
2020-03-11,5551,8.31,12.65,18.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.62,15.63,18.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-12,4766,8.52,12.2,16.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.08,14.49,17.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-13,4739,11.22,19.47,30.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.74,13.73,16.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-14,4732,7.93,10.29,13.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.66,16.86,19.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-15,5120,6.14,8.14,10.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.63,23.72,26.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-16,5825,7,8.66,10.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.32,20.05,22.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-17,5904,6.8,13.06,20.08,10.53,12.07,13.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.54,21.85,24.58,17.04,18.05,19.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-18,5866,5.84,8.13,11.32,9.99,11.42,13.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.37,28.04,30.73,18.83,19.82,20.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-19,5388,6,11.8,20.49,9.82,11.36,13.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.26,31.98,34.78,21.31,22.32,23.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-20,5496,3.92,5.35,6.9,8.17,9.35,10.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.91,38.31,41,24.85,25.83,26.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-21,5284,3.67,4.9,6.66,7.46,8.58,10.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.05,50.72,53.36,29.66,30.67,31.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-22,4914,1.97,2.53,3.17,6.74,7.78,9.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.97,55.17,57.57,34.21,35.16,36.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-23,4588,3.24,4.31,5.5,6.15,7.15,8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.29,54.83,57.2,39.18,40.13,41.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-24,5548,4.86,7.49,10.82,5.55,6.36,7.46,8.38,9.21,10.27,NaN,NaN,NaN,NaN,NaN,NaN,42.66,45.38,48.21,42.52,43.49,44.49,30.07,30.77,31.48,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-25,5437,3.05,4.48,6.9,5.07,5.84,6.89,7.85,8.63,9.62,NaN,NaN,NaN,NaN,NaN,NaN,51.36,53.69,55.93,46.21,47.15,48.13,32.8,33.49,34.19,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-26,5902,1.34,2.92,4.71,4.03,4.57,5.25,7.23,7.97,8.92,NaN,NaN,NaN,NaN,NaN,NaN,47.8,50.31,53.03,48.84,49.77,50.74,35.36,36.05,36.75,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-27,6113,3.61,4.64,6.21,3.95,4.47,5.15,6.31,6.91,7.68,NaN,NaN,NaN,NaN,NaN,NaN,47.4,50.26,52.94,50.52,51.48,52.45,37.97,38.66,39.35,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-28,6611,2.62,3.52,4.68,3.77,4.27,4.92,5.85,6.42,7.16,NaN,NaN,NaN,NaN,NaN,NaN,52.77,54.49,56.39,51.11,52.02,52.94,40.67,41.34,42.03,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-29,6287,2.23,2.87,3.91,3.82,4.32,4.99,5.5,6.05,6.76,NaN,NaN,NaN,NaN,NaN,NaN,53.65,55.49,56.98,51.17,52.07,52.94,42.96,43.61,44.28,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-30,6502,2.99,3.65,4.4,3.75,4.23,4.88,5.16,5.69,6.38,NaN,NaN,NaN,NaN,NaN,NaN,44.29,47.09,49.51,50.05,50.96,51.84,44.89,45.54,46.21,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-31,6183,2.45,2.89,3.44,3.21,3.57,4.07,4.55,4.96,5.53,6.81,7.33,8,NaN,NaN,NaN,46.06,49.18,51.53,50.57,51.5,52.36,46.83,47.5,48.15,37.12,37.68,38.23,NaN,NaN,NaN
2020-04-01,5925,2.9,3.59,4.34,3.12,3.44,3.85,4.26,4.64,5.16,6.42,6.9,7.52,NaN,NaN,NaN,49.01,51.71,54.11,50.27,51.22,52.08,48.52,49.19,49.83,38.84,39.4,39.95,NaN,NaN,NaN
2020-04-02,7150,2.24,2.7,3.3,3.15,3.41,3.75,3.71,3.99,4.35,6,6.45,7.03,NaN,NaN,NaN,47.36,49.51,51.53,50.18,51.11,51.93,49.78,50.44,51.07,40.51,41.07,41.61,NaN,NaN,NaN
2020-04-03,7128,2.98,3.54,4.08,3.02,3.25,3.54,3.59,3.86,4.2,5.32,5.69,6.17,NaN,NaN,NaN,46.8,49.15,51.41,50.05,50.95,51.75,50.55,51.21,51.84,42.21,42.75,43.29,NaN,NaN,NaN
2020-04-04,5666,1.52,2.25,3.17,2.84,3.07,3.35,3.41,3.67,4,4.95,5.31,5.76,NaN,NaN,NaN,50.34,52.68,54.79,49.75,50.69,51.5,50.7,51.35,51.97,43.91,44.46,44.99,NaN,NaN,NaN
