Date,Sample_size,Mean_distance_p5,Mean_distance_avg,Mean_distance_p95,Mean_distance_p5_7day_movavg,Mean_distance_avg_7day_movavg,Mean_distance_p95_7day_movavg,Mean_distance_p5_14day_movavg,Mean_distance_avg_14day_movavg,Mean_distance_p95_14day_movavg,Mean_distance_p5_21day_movavg,Mean_distance_avg_21day_movavg,Mean_distance_p95_21day_movavg,Mean_distance_p5_28day_movavg,Mean_distance_avg_28day_movavg,Mean_distance_p95_28day_movavg,At_home_p5,At_home_avg,At_home_p95,At_home_p5_7day_movavg,At_home_avg_7day_movavg,At_home_p95_7day_movavg,At_home_p5_14day_movavg,At_home_avg_14day_movavg,At_home_p95_14day_movavg,At_home_p5_21day_movavg,At_home_avg_21day_movavg,At_home_p95_21day_movavg,At_home_p5_28day_movavg,At_home_avg_28day_movavg,At_home_p95_28day_movavg
2020-03-11,233,11.29,18.28,26.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.59,21.9,30.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-12,212,9.1,13.51,18.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,25.65,34.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-13,201,9.71,14.3,19.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.88,31.01,41.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-14,227,5.97,8.85,12.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,30.02,38.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-15,249,4.97,13.27,25.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.03,46.73,55.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-16,254,5.45,8.28,11.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.17,43.14,50.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-17,250,7.09,14.83,27.09,11.01,13.04,15.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.06,47.23,56.36,31.92,35.1,38.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-18,242,5.33,8.47,12.07,9.81,11.64,14.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.71,46.85,55.22,35.44,38.66,41.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-19,263,5.05,7.99,12.02,9.1,10.86,13.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.15,51.52,58.71,39.1,42.36,45.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-20,304,5.35,8.02,11.56,8.31,9.96,12.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.23,56.6,64.41,42.79,46.01,49.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-21,340,4.29,6.14,8.12,7.98,9.57,11.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.13,53.1,61.82,45.92,49.31,52.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-22,330,3.15,6.48,11.25,7.28,8.6,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.55,62.52,69.56,48.33,51.56,54.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-23,284,2.77,4.68,7.05,6.81,8.09,9.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.13,66.48,74.32,51.64,54.9,57.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-24,312,4.02,6.01,8.2,5.86,6.83,8.04,8.87,9.94,11.32,NaN,NaN,NaN,NaN,NaN,NaN,50.48,59.03,67.74,53.36,56.59,59.59,43.58,45.84,48.06,NaN,NaN,NaN,NaN,NaN,NaN
