Date,Sample_size,Mean_distance_p5,Mean_distance_avg,Mean_distance_p95,Mean_distance_p5_7day_movavg,Mean_distance_avg_7day_movavg,Mean_distance_p95_7day_movavg,Mean_distance_p5_14day_movavg,Mean_distance_avg_14day_movavg,Mean_distance_p95_14day_movavg,Mean_distance_p5_21day_movavg,Mean_distance_avg_21day_movavg,Mean_distance_p95_21day_movavg,Mean_distance_p5_28day_movavg,Mean_distance_avg_28day_movavg,Mean_distance_p95_28day_movavg,At_home_p5,At_home_avg,At_home_p95,At_home_p5_7day_movavg,At_home_avg_7day_movavg,At_home_p95_7day_movavg,At_home_p5_14day_movavg,At_home_avg_14day_movavg,At_home_p95_14day_movavg,At_home_p5_21day_movavg,At_home_avg_21day_movavg,At_home_p95_21day_movavg,At_home_p5_28day_movavg,At_home_avg_28day_movavg,At_home_p95_28day_movavg
2020-03-11,8643,14.92,16.18,17.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.14,31.5,32.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-12,7755,12.11,13.74,15.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.51,35.97,37.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-13,7713,10.58,12.05,13.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.93,39.58,41.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-14,8241,6.07,6.77,7.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.06,47.71,49.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-15,8976,4.09,4.89,5.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.32,55.77,57.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-16,8202,9.81,11.11,12.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.97,45.58,47.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-17,9522,9.24,10.25,11.41,10.27,10.71,11.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.32,47.89,49.37,42.85,43.43,44.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-18,8755,8.69,9.88,11.13,9.37,9.81,10.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.31,51.87,53.35,45.75,46.34,46.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-19,8381,7.7,8.97,10.71,8.71,9.13,9.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.7,54.32,55.92,48.36,48.96,49.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-20,9028,7.23,8.31,9.37,8.2,8.6,9.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.5,55.17,56.57,50.59,51.19,51.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
