Date,Sample_size,Mean_distance_p5,Mean_distance_avg,Mean_distance_p95,Mean_distance_p5_7day_movavg,Mean_distance_avg_7day_movavg,Mean_distance_p95_7day_movavg,Mean_distance_p5_14day_movavg,Mean_distance_avg_14day_movavg,Mean_distance_p95_14day_movavg,Mean_distance_p5_21day_movavg,Mean_distance_avg_21day_movavg,Mean_distance_p95_21day_movavg,Mean_distance_p5_28day_movavg,Mean_distance_avg_28day_movavg,Mean_distance_p95_28day_movavg,At_home_p5,At_home_avg,At_home_p95,At_home_p5_7day_movavg,At_home_avg_7day_movavg,At_home_p95_7day_movavg,At_home_p5_14day_movavg,At_home_avg_14day_movavg,At_home_p95_14day_movavg,At_home_p5_21day_movavg,At_home_avg_21day_movavg,At_home_p95_21day_movavg,At_home_p5_28day_movavg,At_home_avg_28day_movavg,At_home_p95_28day_movavg
2020-03-11,19039,23.63,27.18,31.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.96,20.1,21.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-12,17709,23.92,27.97,33.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.83,19.98,21.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-13,17832,27.56,31.12,35.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.26,19.6,21.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-14,17503,27.28,32.31,38.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.63,23.92,25.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-15,18316,20.26,22.92,26.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.57,27.85,29.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-16,17590,22.42,26.59,30.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.3,33.56,35.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-17,18256,20.92,23.49,26.42,25.99,27.37,29.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.88,24.92,26.15,23.82,24.28,24.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-18,18696,20.17,23.52,27.28,25.48,26.85,28.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.71,29.05,30.29,25.08,25.55,26.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-19,18038,17.45,19.76,22.42,24.4,25.67,27.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.5,31.89,33.39,26.77,27.26,27.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-20,18772,19.85,23.01,26.37,23.26,24.52,25.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.93,31.19,32.39,28.43,28.91,29.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
