Date,Sample_size,Mean_distance_p5,Mean_distance_avg,Mean_distance_p95,Mean_distance_p5_7day_movavg,Mean_distance_avg_7day_movavg,Mean_distance_p95_7day_movavg,Mean_distance_p5_14day_movavg,Mean_distance_avg_14day_movavg,Mean_distance_p95_14day_movavg,Mean_distance_p5_21day_movavg,Mean_distance_avg_21day_movavg,Mean_distance_p95_21day_movavg,Mean_distance_p5_28day_movavg,Mean_distance_avg_28day_movavg,Mean_distance_p95_28day_movavg,At_home_p5,At_home_avg,At_home_p95,At_home_p5_7day_movavg,At_home_avg_7day_movavg,At_home_p95_7day_movavg,At_home_p5_14day_movavg,At_home_avg_14day_movavg,At_home_p95_14day_movavg,At_home_p5_21day_movavg,At_home_avg_21day_movavg,At_home_p95_21day_movavg,At_home_p5_28day_movavg,At_home_avg_28day_movavg,At_home_p95_28day_movavg
2020-03-11,406,21.33,27.37,35.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.85,13.66,17.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-12,395,20.94,26.24,31.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.76,18.51,23.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-13,508,20.53,25.6,31.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.33,17.22,20.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-14,440,15.46,21.33,28.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.21,23.52,28.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-15,484,9.37,15.08,22.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.54,26.7,31.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-16,447,18.99,22.62,26.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.21,19.04,23.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-17,439,16.95,20.08,23.42,20.74,22.62,24.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.29,30.83,36.06,19.83,21.35,23.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-18,429,14.2,18.48,23.43,19.56,21.35,23.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.27,29.66,34.09,22.08,23.64,25.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-19,411,12.29,19.45,28.68,18.49,20.38,22.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.12,32.12,36.84,24.01,25.58,27.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-20,418,12.4,17,22.57,17.29,19.15,21.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.37,33.79,40.12,26.24,27.95,29.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
