Date,Sample_size,Mean_distance_p5,Mean_distance_avg,Mean_distance_p95,Mean_distance_p5_7day_movavg,Mean_distance_avg_7day_movavg,Mean_distance_p95_7day_movavg,Mean_distance_p5_14day_movavg,Mean_distance_avg_14day_movavg,Mean_distance_p95_14day_movavg,Mean_distance_p5_21day_movavg,Mean_distance_avg_21day_movavg,Mean_distance_p95_21day_movavg,Mean_distance_p5_28day_movavg,Mean_distance_avg_28day_movavg,Mean_distance_p95_28day_movavg,At_home_p5,At_home_avg,At_home_p95,At_home_p5_7day_movavg,At_home_avg_7day_movavg,At_home_p95_7day_movavg,At_home_p5_14day_movavg,At_home_avg_14day_movavg,At_home_p95_14day_movavg,At_home_p5_21day_movavg,At_home_avg_21day_movavg,At_home_p95_21day_movavg,At_home_p5_28day_movavg,At_home_avg_28day_movavg,At_home_p95_28day_movavg
2020-03-11,1063,14.55,21.64,30.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.88,14.42,17.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-12,1009,14.99,23.37,38.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,16.92,20.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-13,960,18.35,26.33,33.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.36,19.64,22.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-14,1000,12.99,20.05,30.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.87,21.31,24.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-15,1049,15.34,22.53,31.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.02,29.15,32.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-16,1061,15.64,22.14,28.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.92,24.86,28.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-17,1037,13.45,16.37,19.83,19.23,21.78,25.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.53,31.75,35.28,21.48,22.58,23.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-18,1046,10.72,16.49,23.1,18.57,21.04,24.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.7,32.04,35.7,23.95,25.09,26.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-19,1093,8.58,14.28,22.24,17.41,19.74,22.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.56,31.85,35.16,26.06,27.23,28.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-20,1034,10.09,15.16,20.39,15.98,18.15,20.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.01,42,45.42,29.22,30.42,31.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
