Date,Sample_size,Mean_distance_p5,Mean_distance_avg,Mean_distance_p95,Mean_distance_p5_7day_movavg,Mean_distance_avg_7day_movavg,Mean_distance_p95_7day_movavg,Mean_distance_p5_14day_movavg,Mean_distance_avg_14day_movavg,Mean_distance_p95_14day_movavg,Mean_distance_p5_21day_movavg,Mean_distance_avg_21day_movavg,Mean_distance_p95_21day_movavg,Mean_distance_p5_28day_movavg,Mean_distance_avg_28day_movavg,Mean_distance_p95_28day_movavg,At_home_p5,At_home_avg,At_home_p95,At_home_p5_7day_movavg,At_home_avg_7day_movavg,At_home_p95_7day_movavg,At_home_p5_14day_movavg,At_home_avg_14day_movavg,At_home_p95_14day_movavg,At_home_p5_21day_movavg,At_home_avg_21day_movavg,At_home_p95_21day_movavg,At_home_p5_28day_movavg,At_home_avg_28day_movavg,At_home_p95_28day_movavg
2020-03-11,6651,45.16,51.63,60.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.85,24.76,26.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-12,6227,40.83,47.93,55.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.81,25.55,27.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-13,6466,37.94,42.73,48.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.82,25.82,27.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-14,6341,30.47,35.18,40.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.44,35.5,37.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-15,6640,28.17,33.8,40.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.54,40.53,42.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-16,6067,37.06,48.86,67.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.27,35.33,37.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-17,6278,36.72,42.63,50.79,40.74,43.25,46.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.4,37.42,39.3,31.38,32.13,32.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-18,7850,28.75,33.13,38.52,38.21,40.61,43.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.91,38.71,40.58,33.38,34.12,34.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-19,7560,31.06,36.97,43.69,36.71,39.04,42.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.09,42.01,43.94,35.73,36.47,37.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-20,8135,30.62,36.53,43.53,35.77,38.16,41.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.75,41.51,43.31,37.98,38.71,39.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-21,8028,25.79,33.71,42.2,35.38,37.95,41.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.83,48.75,50.56,39.88,40.61,41.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
