"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"A5125500445","2020-01-01","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  40.7","19","  32.9","19","9999.9"," 0","015.2","19"," 10.0","19","  0.5","19","  5.1","999.9","  56.3","*","  30.2","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-02","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  50.7","19","  45.5","19","9999.9"," 0","009.7","19","  8.4","19","  1.2","19","  8.9"," 14.0","  57.9","*","  46.4","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-03","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  64.2","15","  63.5","15","9999.9"," 0","005.3","15","  8.6","15","  5.2","15"," 18.1"," 26.0","  71.6","*","  58.1","*","99.99"," ","999.9","110000"
"A5125500445","2020-01-04","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  55.3","24","  47.7","24","9999.9"," 0","013.3","24","  8.3","24","  5.8","24"," 17.1"," 24.1","  58.1","*","  50.0","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-05","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  41.1","14","  33.2","14","9999.9"," 0","023.3","14","  9.1","14","  1.7","14","  5.1","999.9","  52.7","*","  31.8","*","99.99"," ","999.9","001000"
"A5125500445","2020-01-06","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  49.0","24","  41.8","24","9999.9"," 0","019.1","24","  9.3","24","  1.6","24","  8.9","999.9","  68.4","*","  38.5","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-07","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  54.5","24","  40.7","24","9999.9"," 0","017.6","24","  9.6","24","  6.2","24"," 15.0"," 19.0","  60.1","*","  47.3","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-08","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  43.2","24","  30.5","24","9999.9"," 0","025.6","24","  9.9","24","  0.6","24","  5.1","999.9","  64.4","*","  28.9","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-09","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  45.5","24","  35.7","24","9999.9"," 0","024.7","24","  9.9","24","  3.0","24"," 11.1"," 18.1","  67.1","*","  30.9","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-10","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  63.8","24","  52.9","24","9999.9"," 0","020.1","24","  9.2","24","  5.9","24"," 14.0"," 20.0","  74.5","*","  59.2","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-11","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  68.3","24","  64.4","24","9999.9"," 0","010.6","24","  8.2","24","  9.5","24"," 17.1"," 26.0","  73.4","*","  64.6","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-12","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  55.0","24","  49.9","24","9999.9"," 0","018.6","24","  8.1","24","  2.0","24","  8.0","999.9","  64.2","*","  48.2","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-13","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  58.6","24","  55.0","24","9999.9"," 0","021.1","24","  8.3","24","  1.0","24","  6.0","999.9","  67.1","*","  52.0","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-14","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  65.0","16","  64.8","16","9999.9"," 0","019.2","16","  7.4","16","  2.6","16"," 15.0"," 22.0","  68.9","*","  62.4","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-15","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  65.3","16","  64.2","16","9999.9"," 0","018.0","16","  7.8","16","  3.5","16"," 15.9"," 24.1","  72.0","*","  59.5","*","99.99"," ","999.9","110000"
"A5125500445","2020-01-16","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  63.9","18","  57.5","18","9999.9"," 0","022.5","18","  6.9","16","  3.4","18"," 12.0"," 15.9","  66.4","*","  59.9","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-17","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  57.5","23","  34.7","23","9999.9"," 0","026.0","23","  9.0","23","  1.4","23","  9.9","999.9","  69.6","*","  48.2","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-18","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  60.6","24","  43.7","24","9999.9"," 0","020.9","24","  8.6","24","  1.7","24"," 12.0"," 18.1","  65.7","*","  56.3","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-19","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  51.1","24","  35.8","24","9999.9"," 0","020.5","24","  7.8","24","  6.5","24"," 15.9"," 22.0","  63.0","*","  40.1","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-20","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  36.9","24","  18.9","24","9999.9"," 0","026.4","24","  9.4","24","  4.0","24"," 12.0"," 15.9","  44.6","*","  28.4","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-21","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  32.3","24","  19.6","24","9999.9"," 0","029.1","24","  9.6","24","  2.4","24"," 11.1"," 15.9","  40.8","*","  26.4","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-22","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  34.1","24","  20.7","24","9999.9"," 0","025.0","24","  8.7","24","  0.0","24","999.9","999.9","  49.3","*","  23.9","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-23","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  42.4","24","  34.1","24","9999.9"," 0","016.6","24"," 10.0","24","  0.5","24","  8.9","999.9","  48.6","*","  37.8","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-24","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  52.2","21","  43.9","21","9999.9"," 0","011.6","21","  8.5","21","  1.9","21"," 13.0"," 18.1","  61.7","*","  45.7","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-25","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  42.3","24","  33.8","24","9999.9"," 0","016.7","24","  8.6","24","  0.8","24","  8.9"," 15.0","  54.9","*","  30.2","*"," 0.00","I","999.9","000000"
"A5125500445","2020-01-26","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  43.6","24","  38.2","24","9999.9"," 0","016.2","24","  8.3","24","  0.0","24","999.9","999.9","  54.1","*","  34.0","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-27","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  50.2","22","  47.0","22","9999.9"," 0","012.0","22","  6.9","22","  0.0","22","999.9","999.9","  58.1","*","  47.3","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-28","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  49.2","18","  39.8","18","9999.9"," 0","012.8","18","  6.6","18","  0.0","18","999.9","999.9","  64.9","*","  34.2","*","99.99"," ","999.9","011000"
"A5125500445","2020-01-29","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  49.4","24","  41.6","24","9999.9"," 0","010.8","24","  9.8","24","  0.0","24","  6.0","999.9","  55.2","*","  46.0","*","99.99"," ","999.9","010000"
"A5125500445","2020-01-30","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  48.3","12","  43.0","12","9999.9"," 0","014.2","12","  6.1","12","  0.0","12","  2.9","999.9","  61.0","*","  37.0","*","99.99"," ","999.9","111000"
"A5125500445","2020-01-31","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  48.5","24","  44.3","24","9999.9"," 0","014.6","24"," 10.0","24","  0.0","24","999.9","999.9","  56.1","*","  43.0","*"," 0.00","I","999.9","000000"
"A5125500445","2020-02-01","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  50.5","24","  44.6","24","9999.9"," 0","014.9","24","  9.5","24","  1.1","24","  9.9"," 20.0","  54.3","*","  46.6","*","99.99"," ","999.9","010000"
"A5125500445","2020-02-02","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  47.0","24","  36.3","24","9999.9"," 0","016.1","24","  8.4","24","  1.6","24","  9.9"," 14.0","  70.9","*","  32.0","*"," 0.00","I","999.9","000000"
"A5125500445","2020-02-03","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  56.6","24","  44.7","24","9999.9"," 0","013.5","24","  9.5","24","  3.7","24"," 11.1"," 15.0","  74.3","*","  41.4","*"," 0.00","I","999.9","000000"
"A5125500445","2020-02-04","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  63.9","24","  54.9","24","9999.9"," 0","011.9","24","  9.6","24","  5.4","24","  9.9"," 15.0","  71.2","*","  58.6","*","99.99"," ","999.9","010000"
"A5125500445","2020-02-05","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  66.9","24","  65.1","24","9999.9"," 0","006.9","24","  7.1","24","  5.5","24","  8.9","999.9","  69.8","*","  64.9","*","99.99"," ","999.9","010000"
"A5125500445","2020-02-06","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  58.5","24","  56.5","24","9999.9"," 0","996.9","24","  7.0","24","  7.2","24"," 17.1"," 27.0","  70.3","*","  46.0","*","99.99"," ","999.9","010000"
"A5125500445","2020-02-07","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  42.2","24","  34.5","24","9999.9"," 0","006.1","24","  7.0","24","  6.6","24"," 15.9"," 25.1","  50.9","*","  34.0","*","99.99"," ","999.9","010000"
"A5125500445","2020-02-08","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  46.4","24","  36.4","24","9999.9"," 0","018.0","24","  7.9","24","  0.6","24","  8.0"," 15.9","  60.1","*","  36.9","*","99.99"," ","999.9","010000"
"A5125500445","2020-02-09","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  48.0","24","  40.6","24","9999.9"," 0","022.8","24","  7.8","24","  1.4","24"," 12.0"," 17.1","  68.2","*","  36.5","*"," 0.00","I","999.9","000000"
"A5125500445","2020-02-10","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  61.8","24","  51.4","24","9999.9"," 0","016.5","24","  8.9","24","  1.2","24","  8.9"," 14.0","  72.3","*","  55.6","*","99.99"," ","999.9","010000"
"A5125500445","2020-02-11","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  66.8","10","  65.5","10","9999.9"," 0","012.4","10","  5.4","10","  0.3","10","  7.0","999.9","  68.9","*","  60.8","*","99.99"," ","999.9","010000"
"A5125500445","2020-02-19","32.46383","-87.95405","34.1","DEMOPOLIS MUNICIPAL AIRPORT, AL US","  50.4"," 9","  48.3"," 9","9999.9"," 0","021.8"," 9","  8.8"," 9","  0.6"," 9","  6.0","999.9","  50.9","*","  50.0","*","99.99"," ","999.9","010000"
