"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"94860099999","2021-01-01","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  67.2","24","  54.5","24","1014.3","24","954.2","24","999.9"," 0"," 12.9","24"," 19.0","999.9","  75.9","*","  54.5"," ","99.99"," ","999.9","011000"
"94860099999","2021-01-02","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  64.8","24","  57.6","22","1007.9","24","948.2","24","999.9"," 0","  8.9","24"," 16.9","999.9","  78.8","*","  58.5","*"," 0.16","G","999.9","010000"
"94860099999","2021-01-03","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  61.0","24","  57.4","24","1006.0","24","946.4","24","999.9"," 0"," 10.7","24"," 15.0","999.9","  72.9","*","  55.2","*"," 0.20","G","999.9","011000"
"94860099999","2021-01-04","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  55.9","24","9999.9"," 0","1008.9","24","949.1","24","  0.4"," 6"," 17.2","24"," 21.0","999.9","  57.4","*","  53.8","*"," 0.47","G","999.9","110000"
"94860099999","2021-01-05","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  54.2","24","9999.9"," 0","1013.2","24","953.2","24","  0.6"," 7"," 16.5","24"," 22.9","999.9","  57.7","*","  49.3","*"," 0.20","G","999.9","011000"
"94860099999","2021-01-06","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  54.3","24","  52.5","24","1019.3","24","958.8","24","999.9"," 0"," 15.3","24"," 22.0","999.9","  60.8","*","  49.1"," "," 0.00","G","999.9","010000"
"94860099999","2021-01-07","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  61.0","24","  52.3","24","1021.8","24","961.2","24","999.9"," 0"," 11.5","24"," 15.9","999.9","  72.9","*","  49.6"," "," 0.00","I","999.9","000000"
"94860099999","2021-01-08","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  64.6","21","  53.3","21","1021.3","21","960.8","21","999.9"," 0"," 10.8","21"," 21.0","999.9","  78.3"," ","  49.6"," "," 0.00","B","999.9","000000"
"94860099999","2021-01-09","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  68.9","24","  53.6","24","1019.2","24","958.8","24","999.9"," 0","  8.3","24"," 15.9","999.9","  85.1","*","  53.4"," "," 0.00","I","999.9","000000"
"94860099999","2021-01-10","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  78.9","24","  48.8","24","1015.3","24","955.1","24","999.9"," 0","  9.9","24"," 15.0","999.9","  88.2","*","  56.1"," "," 0.00","I","999.9","000000"
"94860099999","2021-01-11","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  75.8","24","  47.4","23","1010.8","24","950.9","24","999.9"," 0"," 15.7","24"," 21.0","999.9","  89.2","*","  56.5","*","99.99"," ","999.9","010000"
"94860099999","2021-01-12","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  59.0","24","  51.4","24","1013.5","24","953.5","24","999.9"," 0"," 13.8","24"," 20.0","999.9","  73.8","*","  48.9","*"," 0.01","G","999.9","000000"
"94860099999","2021-01-13","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  68.4","24","  45.2","24","1010.6","24","950.7","24","999.9"," 0"," 12.7","24"," 19.0","999.9","  86.0","*","  48.6"," "," 0.00","G","999.9","000000"
"94860099999","2021-01-14","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  57.9","24","  46.4","24","1010.1","24","950.2","24","999.9"," 0","  9.4","24"," 12.0","999.9","  68.2","*","  46.4","*"," 0.00","I","999.9","000000"
"94860099999","2021-01-15","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  50.4","24","  43.7","24","1009.3","24","949.5","24","999.9"," 0"," 12.9","24"," 22.0","999.9","  61.2","*","  45.3","*"," 0.16","G","999.9","011000"
"94860099999","2021-01-16","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  52.9","24","  45.7","24","1014.2","24","954.1","24","999.9"," 0"," 13.0","24"," 17.1","999.9","  61.2","*","  45.1"," "," 0.00","G","999.9","010000"
"94860099999","2021-01-17","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  56.0","24","  47.5","23","1016.2","24","956.0","24","999.9"," 0"," 10.5","24"," 14.0","999.9","  68.4","*","  45.1"," "," 0.01","G","999.9","011000"
"94860099999","2021-01-18","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  57.3","24","  48.5","24","1016.8","24","956.6","24","999.9"," 0"," 14.7","24"," 22.0","999.9","  72.0","*","  47.5"," "," 0.00","G","999.9","000000"
"94860099999","2021-01-19","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  52.9","24","  42.5","24","1021.0","24","960.4","24","999.9"," 0"," 17.8","24"," 20.0","999.9","  62.1","*","  45.5","*"," 0.00","I","999.9","000000"
"94860099999","2021-01-20","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  62.1","24","  47.7","23","1017.2","24","956.9","24","999.9"," 0","  9.6","24"," 14.0","999.9","  77.0","*","  45.1"," "," 0.00","G","999.9","000000"
"94860099999","2021-01-21","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  73.8","20","  44.1","20","1009.4","20","949.6","20","999.9"," 0","  8.7","20"," 15.0","999.9","  88.2"," ","  51.8"," "," 0.00","G","999.9","000000"
"94860099999","2021-01-22","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  64.6","23","  50.8","22","1010.3","23","950.4","23","999.9"," 0"," 11.0","23"," 15.0","999.9","  81.9","*","  53.1","*","99.99"," ","999.9","010000"
"94860099999","2021-01-23","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  75.3","24","  52.1","24","1010.7","24","950.8","24","999.9"," 0","  7.4","24"," 13.0","999.9","  88.3","*","  53.1"," "," 0.00","I","999.9","000000"
"94860099999","2021-01-24","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  85.8","23","  42.4","23","1006.5","23","946.8","23","999.9"," 0"," 11.9","23"," 20.0","999.9","  95.2","*","  59.9"," "," 0.00","A","999.9","000000"
"94860099999","2021-01-25","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  73.5","24","  54.8","23"," 999.7","24","940.4","24","999.9"," 0"," 15.7","24"," 22.9","999.9","  94.5","*","  59.9","*"," 0.98","G","999.9","010000"
"94860099999","2021-01-26","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  53.5","24","  50.0","24","1008.0","24","948.3","24","999.9"," 0"," 20.1","24"," 27.0","999.9","  59.4","*","  48.0","*"," 0.08","G","999.9","010000"
"94860099999","2021-01-27","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  61.2","24","  50.9","24","1013.8","24","953.7","24","999.9"," 0"," 12.3","24"," 24.1","999.9","  70.7","*","  47.5"," "," 0.00","G","999.9","000000"
"94860099999","2021-01-28","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  62.9","24","  59.4","23","1013.5","24","953.4","24","999.9"," 0"," 12.5","24"," 20.0","999.9","  66.2","*","  54.9"," "," 0.20","G","999.9","010000"
"94860099999","2021-01-29","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  60.5","24","9999.9"," 0","1008.8","24","948.9","24","  0.2"," 6"," 13.3","24"," 21.0","999.9","  63.9","*","  55.4","*"," 1.77","G","999.9","011000"
"94860099999","2021-01-30","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  58.2","24","  52.6","24","1013.8","24","953.7","24","999.9"," 0"," 15.8","24"," 21.0","999.9","  69.8","*","  52.7","*"," 0.00","G","999.9","010000"
"94860099999","2021-01-31","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  59.1","24","  51.7","24","1013.7","24","953.6","24","999.9"," 0"," 11.5","24"," 17.1","999.9","  69.3","*","  51.3","*"," 0.00","I","999.9","000000"
"94860099999","2021-02-01","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  56.8","24","  52.6","24","1012.1","24","952.1","24","999.9"," 0"," 13.3","24"," 20.0","999.9","  69.3","*","  49.5","*","99.99"," ","999.9","010000"
"94860099999","2021-02-02","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  54.0","24","  46.5","24","1014.7","24","954.5","24","999.9"," 0"," 17.3","24"," 21.0","999.9","  59.9","*","  48.6","*"," 0.01","G","999.9","010000"
"94860099999","2021-02-03","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  62.7","24","  50.7","24","1007.9","24","948.2","24","999.9"," 0","  9.5","24"," 16.9","999.9","  70.7","*","  48.4"," "," 0.00","G","999.9","000000"
"94860099999","2021-02-04","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  71.0","24","  53.9","24","1002.2","24","942.8","24","999.9"," 0"," 17.5","24"," 26.0","999.9","  77.9","*","  54.5"," "," 0.39","G","999.9","011000"
"94860099999","2021-02-05","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  64.7","24","  55.2","24"," 996.7","24","937.6","24","999.9"," 0"," 17.3","24"," 29.9","999.9","  74.3","*","  53.6","*"," 0.16","G","999.9","010000"
"94860099999","2021-02-06","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  60.2","24","  51.2","24","1003.7","24","944.1","24","999.9"," 0"," 10.7","24"," 19.0","999.9","  69.3","*","  52.7","*"," 0.04","G","999.9","010000"
"94860099999","2021-02-07","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  53.3","24","  46.9","24","1012.5","24","952.5","24","999.9"," 0"," 18.4","24"," 23.9","999.9","  59.4","*","  48.4","*"," 0.00","G","999.9","010000"
"94860099999","2021-02-08","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  54.3","24","  48.8","23","1015.3","24","955.1","24","999.9"," 0"," 19.0","24"," 23.9","999.9","  62.6","*","  48.2"," ","99.99"," ","999.9","011000"
"94860099999","2021-02-09","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  63.3","22","  53.1","22","1013.7","22","953.6","22","999.9"," 0","  9.1","22"," 22.0","999.9","  75.0"," ","  49.5"," "," 0.00","G","999.9","000000"
"94860099999","2021-02-10","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  76.9","13","  56.9","13","1011.5","13","951.5","13","999.9"," 0"," 11.7","13"," 20.0","999.9","  83.1","*","  54.0"," "," 0.00","B","999.9","000000"
"94860099999","2021-02-13","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  51.0","14","  48.6","14","1015.9","14","955.6","14","999.9"," 0"," 14.2","14"," 17.1","999.9","  65.8"," ","  47.5","*"," 0.00","G","999.9","000000"
"94860099999","2021-02-14","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  56.3","24","  50.5","24","1018.2","24","957.8","24","999.9"," 0"," 15.5","24"," 21.0","999.9","  65.8"," ","  47.3"," "," 0.01","G","999.9","010000"
"94860099999","2021-02-15","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  66.5","24","  54.6","24","1019.6","24","959.1","24","999.9"," 0","  9.3","24"," 19.0","999.9","  77.2"," ","  51.3"," "," 0.00","G","999.9","000000"
"94860099999","2021-02-16","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  70.8","24","  55.2","24","1020.4","24","959.8","24","999.9"," 0"," 10.3","24"," 21.0","999.9","  82.2"," ","  60.3"," "," 0.00","G","999.9","000000"
"94860099999","2021-02-17","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  70.6","24","  54.3","24","1021.0","24","960.5","24","999.9"," 0"," 12.7","24"," 24.1","999.9","  82.8"," ","  61.0","*"," 0.00","G","999.9","000000"
"94860099999","2021-02-18","-37.3833333","144.9666666","528.0","KILMORE GAP, AS","  70.1","24","  52.1","24","1018.9","24","958.5","24","999.9"," 0"," 14.9","24"," 25.1","999.9","  80.2"," ","  60.6"," "," 0.00","G","999.9","000000"
