,SEMANA,ANO,Casos,DATE
0,23,2014,13,2014-06-02
1,24,2014,10,2014-06-09
2,25,2014,8,2014-06-16
3,26,2014,6,2014-06-23
4,27,2014,8,2014-06-30
5,28,2014,11,2014-07-07
6,29,2014,14,2014-07-14
7,30,2014,12,2014-07-21
8,31,2014,14,2014-07-28
9,32,2014,20,2014-08-04
10,33,2014,24,2014-08-11
11,34,2014,43,2014-08-18
12,35,2014,86,2014-08-25
13,36,2014,211,2014-09-01
14,37,2014,718,2014-09-08
15,38,2014,1506,2014-09-15
16,39,2014,1674,2014-09-22
17,40,2014,1351,2014-09-29
18,41,2014,1168,2014-10-06
19,42,2014,1225,2014-10-13
20,43,2014,1119,2014-10-20
21,44,2014,898,2014-10-27
22,45,2014,1037,2014-11-03
23,46,2014,1069,2014-11-10
24,47,2014,1109,2014-11-17
25,48,2014,1028,2014-11-24
26,49,2014,1300,2014-12-01
27,50,2014,1158,2014-12-08
28,51,2014,1087,2014-12-15
29,52,2014,1034,2014-12-22
30,1,2015,2164,2014-12-29
31,53,2014,1328,2014-12-29
32,2,2015,1473,2015-01-05
33,3,2015,1186,2015-01-12
34,4,2015,1122,2015-01-19
35,5,2015,1317,2015-01-26
36,6,2015,1305,2015-02-02
37,7,2015,1533,2015-02-09
38,8,2015,1571,2015-02-16
39,9,2015,1587,2015-02-23
40,10,2015,1644,2015-03-02
41,11,2015,1483,2015-03-09
42,12,2015,1574,2015-03-16
43,13,2015,1457,2015-03-23
44,14,2015,1725,2015-03-30
45,15,2015,1615,2015-04-06
46,16,2015,1483,2015-04-13
47,17,2015,1597,2015-04-20
48,18,2015,1708,2015-04-27
49,19,2015,1645,2015-05-04
50,20,2015,1663,2015-05-11
51,21,2015,1549,2015-05-18
52,22,2015,1362,2015-05-25
53,23,2015,1117,2015-06-01
54,24,2015,999,2015-06-08
55,25,2015,722,2015-06-15
56,26,2015,764,2015-06-22
57,27,2015,688,2015-06-29
58,28,2015,524,2015-07-06
59,29,2015,444,2015-07-13
60,30,2015,333,2015-07-20
61,31,2015,295,2015-07-27
62,32,2015,284,2015-08-03
63,33,2015,233,2015-08-10
64,34,2015,205,2015-08-17
65,35,2015,182,2015-08-24
66,36,2015,182,2015-08-31
67,37,2015,180,2015-09-07
68,38,2015,146,2015-09-14
69,39,2015,131,2015-09-21
70,40,2015,152,2015-09-28
71,41,2015,189,2015-10-05
72,42,2015,142,2015-10-12
73,43,2015,137,2015-10-19
74,44,2015,134,2015-10-26
75,45,2015,146,2015-11-02
76,46,2015,141,2015-11-09
77,47,2015,176,2015-11-16
78,48,2015,196,2015-11-23
79,49,2015,190,2015-11-30
80,50,2015,223,2015-12-07
81,51,2015,178,2015-12-14
82,52,2015,268,2015-12-21
83,1,2016,667,2016-01-04
84,2,2016,654,2016-01-11
85,3,2016,538,2016-01-18
86,4,2016,427,2016-01-25
87,5,2016,444,2016-02-01
88,6,2016,472,2016-02-08
89,7,2016,404,2016-02-15
90,8,2016,415,2016-02-22
91,9,2016,442,2016-02-29
92,10,2016,361,2016-03-07
93,11,2016,294,2016-03-14
94,12,2016,302,2016-03-21
95,13,2016,501,2016-03-28
96,14,2016,424,2016-04-04
97,15,2016,412,2016-04-11
98,16,2016,409,2016-04-18
99,17,2016,419,2016-04-25
100,18,2016,432,2016-05-02
101,19,2016,376,2016-05-09
102,20,2016,426,2016-05-16
103,21,2016,337,2016-05-23
104,22,2016,332,2016-05-30
105,23,2016,261,2016-06-06
106,24,2016,268,2016-06-13
107,25,2016,211,2016-06-20
108,26,2016,177,2016-06-27
109,27,2016,185,2016-07-04
110,28,2016,145,2016-07-11
111,29,2016,130,2016-07-18
112,30,2016,91,2016-07-25
113,31,2016,128,2016-08-01
114,32,2016,84,2016-08-08
115,33,2016,101,2016-08-15
116,34,2016,79,2016-08-22
117,35,2016,67,2016-08-29
118,36,2016,51,2016-09-05
119,37,2016,49,2016-09-12
120,38,2016,44,2016-09-19
121,39,2016,45,2016-09-26
122,40,2016,50,2016-10-03
123,41,2016,54,2016-10-10
124,42,2016,56,2016-10-17
125,43,2016,49,2016-10-24
126,44,2016,32,2016-10-31
127,45,2016,33,2016-11-07
128,46,2016,51,2016-11-14
129,47,2016,36,2016-11-21
130,48,2016,16,2016-11-28
131,1,2017,46,2017-01-02
132,2,2017,49,2017-01-09
133,3,2017,37,2017-01-16
134,4,2017,32,2017-01-23
135,5,2017,34,2017-01-30
136,6,2017,29,2017-02-06
137,7,2017,32,2017-02-13
138,8,2017,19,2017-02-20
139,9,2017,22,2017-02-27
140,10,2017,23,2017-03-06
141,11,2017,22,2017-03-13
142,12,2017,23,2017-03-20
143,13,2017,21,2017-03-27
144,14,2017,18,2017-04-03
145,15,2017,15,2017-04-10
146,16,2017,28,2017-04-17
147,17,2017,18,2017-04-24
148,18,2017,22,2017-05-01
149,19,2017,22,2017-05-08
150,20,2017,21,2017-05-15
151,21,2017,10,2017-05-22
152,22,2017,18,2017-05-29
153,23,2017,13,2017-06-05
154,24,2017,16,2017-06-12
155,25,2017,15,2017-06-19
156,26,2017,17,2017-06-26
157,27,2017,21,2017-07-03
158,28,2017,17,2017-07-10
159,29,2017,13,2017-07-17
160,30,2017,14,2017-07-24
161,31,2017,14,2017-07-31
162,32,2017,22,2017-08-07
163,33,2017,17,2017-08-14
164,34,2017,13,2017-08-21
165,35,2017,12,2017-08-28
166,36,2017,15,2017-09-04
167,37,2017,14,2017-09-11
168,38,2017,15,2017-09-18
169,39,2017,25,2017-09-25
170,40,2017,9,2017-10-02
171,41,2017,15,2017-10-09
172,42,2017,14,2017-10-16
173,43,2017,11,2017-10-23
174,44,2017,11,2017-10-30
175,45,2017,8,2017-11-06
176,46,2017,13,2017-11-13
177,47,2017,14,2017-11-20
