SEMANA,ANO,idx,count,DATE
23,2014,CLINICA SAN FRANCISCO SA_VALLE_TULUA,1,2014-06-02
23,2014,IPS UNIVERSITARIA HOSPITAL GENERAL DE BARRANQUILLA_ATLANTICO_BARRANQUILLA,2,2014-06-02
23,2014,IPS UNIVERSITARIA SEDE CAMINO SALUD METROPOLITANA_ATLANTICO_BARRANQUILLA,1,2014-06-02
23,2014,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR_ATLANTICO_BARRANQUILLA,8,2014-06-02
23,2014,IPS UNIVERSITARIA SEDE PASO LAS FLORES_ATLANTICO_BARRANQUILLA,1,2014-06-02
24,2014,HOSPITAL UNIVERSITARIO FUNDACION SANTA FE - USAQU_EXTERIOR_EXTERIOR_REPÚBLICA DOMINICANA,1,2014-06-09
24,2014,IPS UNIVERSITARIA HOSPITAL GENERAL DE BARRANQUILLA_ATLANTICO_BARRANQUILLA,1,2014-06-09
24,2014,IPS UNIVERSITARIA SEDE CAMINO BOSQUE DE MARIA_ATLANTICO_BARRANQUILLA,1,2014-06-09
24,2014,IPS UNIVERSITARIA SEDE CAMINO METROPOLITANO_ATLANTICO_BARRANQUILLA,1,2014-06-09
24,2014,IPS UNIVERSITARIA SEDE CAMINO SALUD METROPOLITANA_ATLANTICO_BARRANQUILLA,1,2014-06-09
24,2014,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR_ATLANTICO_BARRANQUILLA,3,2014-06-09
24,2014,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE_ATLANTICO_BARRANQUILLA,1,2014-06-09
24,2014,IPS UNIVERSITARIA SEDE HOSPITAL NAZARETH_ATLANTICO_BARRANQUILLA,1,2014-06-09
25,2014,IPS UNIVERSITARIA SEDE PASO LAS FLORES_ATLANTICO_BARRANQUILLA,1,2014-06-16
25,2014,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE_ATLANTICO_BARRANQUILLA,3,2014-06-16
25,2014,IPS UNIVERSITARIA SEDE HOSPITAL NAZARETH_ATLANTICO_BARRANQUILLA,1,2014-06-16
25,2014,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR_ATLANTICO_BARRANQUILLA,1,2014-06-16
25,2014,IPS UNIVERSITARIA HOSPITAL GENERAL DE BARRANQUILLA_ATLANTICO_BARRANQUILLA,1,2014-06-16
25,2014,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR_ATLANTICO_SOLEDAD,1,2014-06-16
26,2014,IPS UNIVERSITARIA SEDE CAMINO BOSQUE DE MARIA_BOLIVAR_SAN JUAN NEPOMUCENO,1,2014-06-23
26,2014,IPS UNIVERSITARIA SEDE CAMINO SALUD METROPOLITANA_ATLANTICO_BARRANQUILLA,1,2014-06-23
26,2014,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR_ATLANTICO_BARRANQUILLA,1,2014-06-23
26,2014,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE_ATLANTICO_BARRANQUILLA,2,2014-06-23
26,2014,SECRETARIA DE SALUD DE SAN JUAN NEPOMUCENO_BOLIVAR_SAN JUAN NEPOMUCENO,1,2014-06-23
27,2014,SERVICIO MEDICO UNIVALLE CAMBULOS_EXTERIOR_* EXTERIOR. PAÍS DESCONOCIDO,1,2014-06-30
27,2014,IPS UNIVERSITARIA SEDE PASO LAS FLORES_ATLANTICO_BARRANQUILLA,2,2014-06-30
27,2014,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE_ATLANTICO_BARRANQUILLA,1,2014-06-30
27,2014,IPS UNIVERSITARIA HOSPITAL GENERAL DE BARRANQUILLA_ATLANTICO_BARRANQUILLA,1,2014-06-30
27,2014,IPS UNIVERSITARIA SEDE CAMINO METROPOLITANO_ATLANTICO_BARRANQUILLA,1,2014-06-30
