state,country,lat,long,date,cases,new_cases
,Brazil,-14.235,-51.9253,2020-01-22,0,0
,Brazil,-14.235,-51.9253,2020-01-23,0,0
,Brazil,-14.235,-51.9253,2020-01-24,0,0
,Brazil,-14.235,-51.9253,2020-01-25,0,0
,Brazil,-14.235,-51.9253,2020-01-26,0,0
,Brazil,-14.235,-51.9253,2020-01-27,0,0
,Brazil,-14.235,-51.9253,2020-01-28,0,0
,Brazil,-14.235,-51.9253,2020-01-29,0,0
,Brazil,-14.235,-51.9253,2020-01-30,0,0
,Brazil,-14.235,-51.9253,2020-01-31,0,0
,Brazil,-14.235,-51.9253,2020-02-01,0,0
,Brazil,-14.235,-51.9253,2020-02-02,0,0
,Brazil,-14.235,-51.9253,2020-02-03,0,0
,Brazil,-14.235,-51.9253,2020-02-04,0,0
,Brazil,-14.235,-51.9253,2020-02-05,0,0
,Brazil,-14.235,-51.9253,2020-02-06,0,0
,Brazil,-14.235,-51.9253,2020-02-07,0,0
,Brazil,-14.235,-51.9253,2020-02-08,0,0
,Brazil,-14.235,-51.9253,2020-02-09,0,0
,Brazil,-14.235,-51.9253,2020-02-10,0,0
,Brazil,-14.235,-51.9253,2020-02-11,0,0
,Brazil,-14.235,-51.9253,2020-02-12,0,0
,Brazil,-14.235,-51.9253,2020-02-13,0,0
,Brazil,-14.235,-51.9253,2020-02-14,0,0
,Brazil,-14.235,-51.9253,2020-02-15,0,0
,Brazil,-14.235,-51.9253,2020-02-16,0,0
,Brazil,-14.235,-51.9253,2020-02-17,0,0
,Brazil,-14.235,-51.9253,2020-02-18,0,0
,Brazil,-14.235,-51.9253,2020-02-19,0,0
,Brazil,-14.235,-51.9253,2020-02-20,0,0
,Brazil,-14.235,-51.9253,2020-02-21,0,0
,Brazil,-14.235,-51.9253,2020-02-22,0,0
,Brazil,-14.235,-51.9253,2020-02-23,0,0
,Brazil,-14.235,-51.9253,2020-02-24,0,0
,Brazil,-14.235,-51.9253,2020-02-25,0,0
,Brazil,-14.235,-51.9253,2020-02-26,1,1
,Brazil,-14.235,-51.9253,2020-02-27,1,0
,Brazil,-14.235,-51.9253,2020-02-28,1,0
,Brazil,-14.235,-51.9253,2020-02-29,2,1
,Brazil,-14.235,-51.9253,2020-03-01,2,0
,Brazil,-14.235,-51.9253,2020-03-02,2,0
,Brazil,-14.235,-51.9253,2020-03-03,2,0
,Brazil,-14.235,-51.9253,2020-03-04,4,2
,Brazil,-14.235,-51.9253,2020-03-05,4,0
,Brazil,-14.235,-51.9253,2020-03-06,13,9
,Brazil,-14.235,-51.9253,2020-03-07,13,0
,Brazil,-14.235,-51.9253,2020-03-08,20,7
,Brazil,-14.235,-51.9253,2020-03-09,25,5
,Brazil,-14.235,-51.9253,2020-03-10,31,6
,Brazil,-14.235,-51.9253,2020-03-11,38,7
,Brazil,-14.235,-51.9253,2020-03-12,52,14
,Brazil,-14.235,-51.9253,2020-03-13,151,99
,Brazil,-14.235,-51.9253,2020-03-14,151,0
,Brazil,-14.235,-51.9253,2020-03-15,162,11
,Brazil,-14.235,-51.9253,2020-03-16,200,38
,Brazil,-14.235,-51.9253,2020-03-17,321,121
,Brazil,-14.235,-51.9253,2020-03-18,372,51
,Brazil,-14.235,-51.9253,2020-03-19,621,249
,Brazil,-14.235,-51.9253,2020-03-20,793,172
,Brazil,-14.235,-51.9253,2020-03-21,1021,228
,Brazil,-14.235,-51.9253,2020-03-22,1546,525
,Brazil,-14.235,-51.9253,2020-03-23,1924,378
,Brazil,-14.235,-51.9253,2020-03-24,2247,323
,Brazil,-14.235,-51.9253,2020-03-25,2554,307
,Brazil,-14.235,-51.9253,2020-03-26,2985,431
,Brazil,-14.235,-51.9253,2020-03-27,3417,432
,Brazil,-14.235,-51.9253,2020-03-28,3904,487
,Brazil,-14.235,-51.9253,2020-03-29,4256,352
,Brazil,-14.235,-51.9253,2020-03-30,4579,323
,Brazil,-14.235,-51.9253,2020-03-31,5717,1138
,Brazil,-14.235,-51.9253,2020-04-01,6836,1119
,Brazil,-14.235,-51.9253,2020-04-02,8044,1208
,Brazil,-14.235,-51.9253,2020-04-03,9056,1012
,Brazil,-14.235,-51.9253,2020-04-04,10360,1304
,Brazil,-14.235,-51.9253,2020-04-05,11130,770
,Brazil,-14.235,-51.9253,2020-04-06,12161,1031
,Brazil,-14.235,-51.9253,2020-04-07,14034,1873
,Brazil,-14.235,-51.9253,2020-04-08,16170,2136
,Brazil,-14.235,-51.9253,2020-04-09,18092,1922
,Brazil,-14.235,-51.9253,2020-04-10,19638,1546
,Brazil,-14.235,-51.9253,2020-04-11,20727,1089
,Brazil,-14.235,-51.9253,2020-04-12,22192,1465
,Brazil,-14.235,-51.9253,2020-04-13,23430,1238
,Brazil,-14.235,-51.9253,2020-04-14,25262,1832
,Brazil,-14.235,-51.9253,2020-04-15,28320,3058
,Brazil,-14.235,-51.9253,2020-04-16,30425,2105
,Brazil,-14.235,-51.9253,2020-04-17,33682,3257
,Brazil,-14.235,-51.9253,2020-04-18,36658,2976
,Brazil,-14.235,-51.9253,2020-04-19,38654,1996
,Brazil,-14.235,-51.9253,2020-04-20,40743,2089
,Brazil,-14.235,-51.9253,2020-04-21,43079,2336
,Brazil,-14.235,-51.9253,2020-04-22,45757,2678
,Brazil,-14.235,-51.9253,2020-04-23,50036,4279
,Brazil,-14.235,-51.9253,2020-04-24,54043,4007
,Brazil,-14.235,-51.9253,2020-04-25,59324,5281
,Brazil,-14.235,-51.9253,2020-04-26,63100,3776
,Brazil,-14.235,-51.9253,2020-04-27,67446,4346
,Brazil,-14.235,-51.9253,2020-04-28,73235,5789
,Brazil,-14.235,-51.9253,2020-04-29,79685,6450
,Brazil,-14.235,-51.9253,2020-04-30,87187,7502
,Brazil,-14.235,-51.9253,2020-05-01,92202,5015
,Brazil,-14.235,-51.9253,2020-05-02,97100,4898
,Brazil,-14.235,-51.9253,2020-05-03,101826,4726
,Brazil,-14.235,-51.9253,2020-05-04,108620,6794
,Brazil,-14.235,-51.9253,2020-05-05,115455,6835
,Brazil,-14.235,-51.9253,2020-05-06,126611,11156
,Brazil,-14.235,-51.9253,2020-05-07,135773,9162
,Brazil,-14.235,-51.9253,2020-05-08,146894,11121
,Brazil,-14.235,-51.9253,2020-05-09,156061,9167
,Brazil,-14.235,-51.9253,2020-05-10,162699,6638
,Brazil,-14.235,-51.9253,2020-05-11,169594,6895
,Brazil,-14.235,-51.9253,2020-05-12,178214,8620
,Brazil,-14.235,-51.9253,2020-05-13,190137,11923
,Brazil,-14.235,-51.9253,2020-05-14,203165,13028
,Brazil,-14.235,-51.9253,2020-05-15,220291,17126
,Brazil,-14.235,-51.9253,2020-05-16,233511,13220
,Brazil,-14.235,-51.9253,2020-05-17,241080,7569
,Brazil,-14.235,-51.9253,2020-05-18,255368,14288
,Brazil,-14.235,-51.9253,2020-05-19,271885,16517
,Brazil,-14.235,-51.9253,2020-05-20,294624,22739
,Brazil,-14.235,-51.9253,2020-05-21,312761,18137
,Brazil,-14.235,-51.9253,2020-05-22,334568,21807
,Brazil,-14.235,-51.9253,2020-05-23,351565,16997
,Brazil,-14.235,-51.9253,2020-05-24,366033,14468
,Brazil,-14.235,-51.9253,2020-05-25,378840,12807
,Brazil,-14.235,-51.9253,2020-05-26,395167,16327
,Brazil,-14.235,-51.9253,2020-05-27,415366,20199
,Brazil,-14.235,-51.9253,2020-05-28,443703,28337
,Brazil,-14.235,-51.9253,2020-05-29,470593,26890
,Brazil,-14.235,-51.9253,2020-05-30,502914,32321
,Brazil,-14.235,-51.9253,2020-05-31,516137,13223
,Brazil,-14.235,-51.9253,2020-06-01,531286,15149
,Brazil,-14.235,-51.9253,2020-06-02,562963,31677
,Brazil,-14.235,-51.9253,2020-06-03,589048,26085
,Brazil,-14.235,-51.9253,2020-06-04,621002,31954
,Brazil,-14.235,-51.9253,2020-06-05,653103,32101
,Brazil,-14.235,-51.9253,2020-06-06,676893,23790
,Brazil,-14.235,-51.9253,2020-06-07,694881,17988
,Brazil,-14.235,-51.9253,2020-06-08,712219,17338
,Brazil,-14.235,-51.9253,2020-06-09,743917,31698
,Brazil,-14.235,-51.9253,2020-06-10,777707,33790
,Brazil,-14.235,-51.9253,2020-06-11,806399,28692
,Brazil,-14.235,-51.9253,2020-06-12,830681,24282
,Brazil,-14.235,-51.9253,2020-06-13,851911,21230
,Brazil,-14.235,-51.9253,2020-06-14,868705,16794
,Brazil,-14.235,-51.9253,2020-06-15,893322,24617
,Brazil,-14.235,-51.9253,2020-06-16,930305,36983
,Brazil,-14.235,-51.9253,2020-06-17,961230,30925
,Brazil,-14.235,-51.9253,2020-06-18,986750,25520
,Brazil,-14.235,-51.9253,2020-06-19,1042809,56059
,Brazil,-14.235,-51.9253,2020-06-20,1106332,63523
,Brazil,-14.235,-51.9253,2020-06-21,1086536,-19796
,Brazil,-14.235,-51.9253,2020-06-22,1114728,28192
,Brazil,-14.235,-51.9253,2020-06-23,1154255,39527
,Brazil,-14.235,-51.9253,2020-06-24,1195288,41033
,Brazil,-14.235,-51.9253,2020-06-25,1236752,41464
,Brazil,-14.235,-51.9253,2020-06-26,1281636,44884
,Brazil,-14.235,-51.9253,2020-06-27,1318556,36920
,Brazil,-14.235,-51.9253,2020-06-28,1351439,32883
,Brazil,-14.235,-51.9253,2020-06-29,1372989,21550
,Brazil,-14.235,-51.9253,2020-06-30,1412669,39680
,Brazil,-14.235,-51.9253,2020-07-01,1459494,46825
,Brazil,-14.235,-51.9253,2020-07-02,1503895,44401
,Brazil,-14.235,-51.9253,2020-07-03,1546935,43040
,Brazil,-14.235,-51.9253,2020-07-04,1580502,33567
,Brazil,-14.235,-51.9253,2020-07-05,1605695,25193
,Brazil,-14.235,-51.9253,2020-07-06,1630149,24454
,Brazil,-14.235,-51.9253,2020-07-07,1676848,46699
,Brazil,-14.235,-51.9253,2020-07-08,1722098,45250
,Brazil,-14.235,-51.9253,2020-07-09,1765060,42962
,Brazil,-14.235,-51.9253,2020-07-10,1809371,44311
,Brazil,-14.235,-51.9253,2020-07-11,1844318,34947
,Brazil,-14.235,-51.9253,2020-07-12,1867976,23658
,Brazil,-14.235,-51.9253,2020-07-13,1890869,22893
,Brazil,-14.235,-51.9253,2020-07-14,1933791,42922
,Brazil,-14.235,-51.9253,2020-07-15,1973933,40142
,Brazil,-14.235,-51.9253,2020-07-16,2017616,43683
,Brazil,-14.235,-51.9253,2020-07-17,2052234,34618
,Brazil,-14.235,-51.9253,2020-07-18,2077987,25753
,Brazil,-14.235,-51.9253,2020-07-19,2101399,23412
,Brazil,-14.235,-51.9253,2020-07-20,2124152,22753
,Brazil,-14.235,-51.9253,2020-07-21,2171079,46927
,Brazil,-14.235,-51.9253,2020-07-22,2237229,66150
,Brazil,-14.235,-51.9253,2020-07-23,2294555,57326
,Brazil,-14.235,-51.9253,2020-07-24,2351458,56903
,Brazil,-14.235,-51.9253,2020-07-25,2398993,47535
,Brazil,-14.235,-51.9253,2020-07-26,2421666,22673
,Brazil,-14.235,-51.9253,2020-07-27,2449677,28011
,Brazil,-14.235,-51.9253,2020-07-28,2503681,54004
,Brazil,-14.235,-51.9253,2020-07-29,2559132,55451
,Brazil,-14.235,-51.9253,2020-07-30,2617187,58055
,Brazil,-14.235,-51.9253,2020-07-31,2670451,53264
,Brazil,-14.235,-51.9253,2020-08-01,2711992,41541
,Brazil,-14.235,-51.9253,2020-08-02,2736058,24066
,Brazil,-14.235,-51.9253,2020-08-03,2756164,20106
,Brazil,-14.235,-51.9253,2020-08-04,2812447,56283
,Brazil,-14.235,-51.9253,2020-08-05,2868616,56169
,Brazil,-14.235,-51.9253,2020-08-06,2922605,53989
,Brazil,-14.235,-51.9253,2020-08-07,2972008,49403
,Brazil,-14.235,-51.9253,2020-08-08,3018397,46389
,Brazil,-14.235,-51.9253,2020-08-09,3041127,22730
,Brazil,-14.235,-51.9253,2020-08-10,3067633,26506
,Brazil,-14.235,-51.9253,2020-08-11,3118153,50520
,Brazil,-14.235,-51.9253,2020-08-12,3173107,54954
,Brazil,-14.235,-51.9253,2020-08-13,3233820,60713
,Brazil,-14.235,-51.9253,2020-08-14,3283227,49407
,Brazil,-14.235,-51.9253,2020-08-15,3320108,36881
,Brazil,-14.235,-51.9253,2020-08-16,3343114,23006
,Brazil,-14.235,-51.9253,2020-08-17,3367511,24397
,Brazil,-14.235,-51.9253,2020-08-18,3416775,49264
,Brazil,-14.235,-51.9253,2020-08-19,3465378,48603
,Brazil,-14.235,-51.9253,2020-08-20,3508352,42974
,Brazil,-14.235,-51.9253,2020-08-21,3540678,32326
,Brazil,-14.235,-51.9253,2020-08-22,3586586,45908
,Brazil,-14.235,-51.9253,2020-08-23,3608459,21873
,Brazil,-14.235,-51.9253,2020-08-24,3631972,23513
,Brazil,-14.235,-51.9253,2020-08-25,3678279,46307
,Brazil,-14.235,-51.9253,2020-08-26,3726431,48152
,Brazil,-14.235,-51.9253,2020-08-27,3768691,42260
,Brazil,-14.235,-51.9253,2020-08-28,3812779,44088
