country,date,new_cases,cases
Brazil,2020-01-01,0,0
Brazil,2020-02-01,2,2
Brazil,2020-03-01,5715,5717
Brazil,2020-04-01,81470,87187
Brazil,2020-05-01,428950,516137
Brazil,2020-06-01,896532,1412669
Brazil,2020-07-01,1257782,2670451
Brazil,2020-08-01,1244378,3914829
Brazil,2020-09-01,902536,4817365
Brazil,2020-10-01,720398,5537763
Brazil,2020-11-01,804202,6341965
Brazil,2020-12-01,1339067,7681032
Brazil,2021-01-01,1527489,9208521
Brazil,2021-02-01,1349570,10558091
Brazil,2021-03-01,2205301,12763392
Brazil,2021-04-01,1911712,14675104
Brazil,2021-05-01,1882784,16557888
Brazil,2021-06-01,2012408,18570296
Brazil,2021-07-01,1351850,19922146
Brazil,2021-08-01,863050,20785196
Brazil,2021-09-01,647166,21432362
Brazil,2021-10-01,382263,21814625
Brazil,2021-11-01,285518,22100143
Brazil,2021-12-01,191696,22291839
Brazil,2022-01-01,3171691,25463530
Brazil,2022-02-01,3333041,28796571
Brazil,2022-03-01,1155099,29951670
Brazil,2022-04-01,496566,30448236
Brazil,2022-05-01,570802,31019038
Brazil,2022-06-01,1338980,32358018
Brazil,2022-07-01,1475882,33833900
Brazil,2022-08-01,595953,34429853
Brazil,2022-09-01,242671,34672524
Brazil,2022-10-01,156225,34828749
Brazil,2022-11-01,398850,35227599
Brazil,2022-12-01,1103682,36331281
Brazil,2023-01-01,493299,36824580
Brazil,2023-02-01,228356,37052936
Brazil,2023-03-01,23117,37076053
Chile,2020-01-01,0,0
Chile,2020-02-01,2,2
Chile,2020-03-01,2842,2844
Chile,2020-04-01,14858,17702
Chile,2020-05-01,105848,123550
Chile,2020-06-01,155843,279393
Chile,2020-07-01,76274,355667
Chile,2020-08-01,56059,411726
Chile,2020-09-01,51265,462991
Chile,2020-10-01,47265,510256
Chile,2020-11-01,41487,551743
Chile,2020-12-01,57230,608973
Chile,2021-01-01,118136,727109
Chile,2021-02-01,97516,824625
Chile,2021-03-01,170913,995538
Chile,2021-04-01,202707,1198245
Chile,2021-05-01,186101,1384346
Chile,2021-06-01,171556,1555902
Chile,2021-07-01,59869,1615771
Chile,2021-08-01,22904,1638675
Chile,2021-09-01,15589,1654264
