country,date,new_cases,cases
Brazil,2020-01-20,0,0
Brazil,2020-01-27,0,0
Brazil,2020-02-03,0,0
Brazil,2020-02-10,0,0
Brazil,2020-02-17,0,0
Brazil,2020-02-24,2,2
Brazil,2020-03-02,18,20
Brazil,2020-03-09,142,162
Brazil,2020-03-16,1384,1546
Brazil,2020-03-23,2710,4256
Brazil,2020-03-30,6874,11130
Brazil,2020-04-06,11062,22192
Brazil,2020-04-13,16462,38654
Brazil,2020-04-20,24446,63100
Brazil,2020-04-27,38726,101826
Brazil,2020-05-04,60873,162699
Brazil,2020-05-11,78381,241080
Brazil,2020-05-18,124953,366033
Brazil,2020-05-25,150104,516137
Brazil,2020-06-01,178744,694881
Brazil,2020-06-08,173824,868705
Brazil,2020-06-15,217831,1086536
Brazil,2020-06-22,264903,1351439
Brazil,2020-06-29,254256,1605695
Brazil,2020-07-06,262281,1867976
Brazil,2020-07-13,233423,2101399
Brazil,2020-07-20,320267,2421666
Brazil,2020-07-27,314392,2736058
Brazil,2020-08-03,305069,3041127
Brazil,2020-08-10,301987,3343114
Brazil,2020-08-17,265345,3608459
Brazil,2020-08-24,256145,3864604
Brazil,2020-08-31,275884,4140488
Brazil,2020-09-07,192503,4332991
Brazil,2020-09-14,213596,4546587
Brazil,2020-09-21,188158,4734745
Brazil,2020-09-28,182944,4917689
Brazil,2020-10-05,179015,5096704
Brazil,2020-10-12,141688,5238392
Brazil,2020-10-19,158204,5396596
Brazil,2020-10-26,151355,5547951
Brazil,2020-11-02,118438,5666389
Brazil,2020-11-09,198906,5865295
Brazil,2020-11-16,208766,6074061
Brazil,2020-11-23,244209,6318270
Brazil,2020-11-30,288677,6606947
Brazil,2020-12-07,299864,6906811
Brazil,2020-12-14,335814,7242625
Brazil,2020-12-21,244530,7487155
Brazil,2020-12-28,249359,7736514
Brazil,2021-01-04,373604,8110118
Brazil,2021-01-11,382285,8492403
Brazil,2021-01-18,357931,8850334
Brazil,2021-01-25,358187,9208521
Brazil,2021-02-01,320451,9528972
Brazil,2021-02-08,319036,9848008
Brazil,2021-02-15,325809,10173817
Brazil,2021-02-22,384274,10558091
Brazil,2021-03-01,470094,11028185
Brazil,2021-03-08,462679,11490864
Brazil,2021-03-15,515395,12006259
Brazil,2021-03-22,539352,12545611
Brazil,2021-03-29,446602,12992213
Brazil,2021-04-05,498894,13491107
Brazil,2021-04-12,459890,13950997
Brazil,2021-04-19,397964,14348961
Brazil,2021-04-26,413723,14762684
Brazil,2021-05-03,428511,15191195
Brazil,2021-05-10,445514,15636709
Brazil,2021-05-17,457075,16093784
Brazil,2021-05-24,427497,16521281
Brazil,2021-05-31,433046,16954327
Brazil,2021-06-07,468609,17422936
Brazil,2021-06-14,510818,17933754
Brazil,2021-06-21,491384,18425138
Brazil,2021-06-28,349055,18774193
Brazil,2021-07-05,319652,19093845
Brazil,2021-07-12,286986,19380831
Brazil,2021-07-19,312446,19693277
Brazil,2021-07-26,249222,19942499
Brazil,2021-08-02,227490,20169989
Brazil,2021-08-09,198369,20368358
Brazil,2021-08-16,206860,20575218
Brazil,2021-08-23,170331,20745549
Brazil,2021-08-30,149008,20894557
Brazil,2021-09-06,108859,21003416
Brazil,2021-09-13,240332,21243748
Brazil,2021-09-20,123549,21367297
Brazil,2021-09-27,104666,21471963
Brazil,2021-10-04,108576,21580539
Brazil,2021-10-11,68196,21648735
Brazil,2021-10-18,85085,21733820
Brazil,2021-10-25,80805,21814625
Brazil,2021-11-01,69933,21884558
Brazil,2021-11-08,77468,21962026
Brazil,2021-11-15,59501,22021527
Brazil,2021-11-22,63842,22085369
Brazil,2021-11-29,61709,22147078
Brazil,2021-12-06,46402,22193480
Brazil,2021-12-13,24090,22217570
Brazil,2021-12-20,25696,22243266
Brazil,2021-12-27,54161,22297427
Brazil,2022-01-03,231756,22529183
Brazil,2022-01-10,485945,23015128
Brazil,2022-01-17,1039277,24054405
Brazil,2022-01-24,1306242,25360647
Brazil,2022-01-31,1185752,26546399
Brazil,2022-02-07,946505,27492904
Brazil,2022-02-14,725276,28218180
Brazil,2022-02-21,558614,28776794
Brazil,2022-02-28,279731,29056525
Brazil,2022-03-07,318308,29374833
Brazil,2022-03-14,262981,29637814
Brazil,2022-03-21,211926,29849740
Brazil,2022-03-28,153045,30002785
Brazil,2022-04-04,151194,30153979
Brazil,2022-04-11,98639,30252618
Brazil,2022-04-18,96845,30349463
Brazil,2022-04-25,105036,30454499
Brazil,2022-05-02,110037,30564536
Brazil,2022-05-09,123854,30688390
Brazil,2022-05-16,102830,30791220
Brazil,2022-05-23,162359,30953579
Brazil,2022-05-30,183900,31137479
Brazil,2022-06-06,319386,31456865
Brazil,2022-06-13,154904,31611769
Brazil,2022-06-20,411397,32023166
Brazil,2022-06-27,467256,32490422
Brazil,2022-07-04,406042,32896464
Brazil,2022-07-11,404654,33301118
Brazil,2022-07-18,290238,33591356
Brazil,2022-07-25,242544,33833900
Brazil,2022-08-01,184471,34018371
Brazil,2022-08-08,129760,34148131
Brazil,2022-08-15,116106,34264237
Brazil,2022-08-22,104672,34368909
Brazil,2022-08-29,87236,34456145
Brazil,2022-09-05,60594,34516739
Brazil,2022-09-12,52094,34568833
Brazil,2022-09-19,55594,34624427
Brazil,2022-09-26,48097,34672524
Brazil,2022-10-03,34709,34707233
Brazil,2022-10-10,39229,34746462
Brazil,2022-10-17,34000,34780462
Brazil,2022-10-24,34796,34815258
Brazil,2022-10-31,33805,34849063
Brazil,2022-11-07,59135,34908198
Brazil,2022-11-14,91297,34999495
Brazil,2022-11-21,150008,35149503
Brazil,2022-11-28,188043,35337546
Brazil,2022-12-05,194170,35531716
Brazil,2022-12-12,337810,35869526
Brazil,2022-12-19,223319,36092845
Brazil,2022-12-26,238436,36331281
Brazil,2023-01-02,145933,36477214
Brazil,2023-01-09,150885,36628099
Brazil,2023-01-16,89954,36718053
Brazil,2023-01-23,76208,36794261
Brazil,2023-01-30,73140,36867401
Brazil,2023-02-06,65429,36932830
Brazil,2023-02-13,54852,36987682
Brazil,2023-02-20,32849,37020531
Brazil,2023-02-27,60678,37081209
Brazil,2023-03-06,-5156,37076053
Chile,2020-01-20,0,0
Chile,2020-01-27,0,0
Chile,2020-02-03,0,0
Chile,2020-02-10,0,0
Chile,2020-02-17,2,2
Chile,2020-02-24,7,9
Chile,2020-03-02,11,20
Chile,2020-03-09,81,101
Chile,2020-03-16,586,687
Chile,2020-03-23,1558,2245
Chile,2020-03-30,2420,4665
Chile,2020-04-06,2987,7652
Chile,2020-04-13,3304,10956
Chile,2020-04-20,4054,15010
Chile,2020-04-27,7431,22441
Chile,2020-05-04,11414,33855
Chile,2020-05-11,18514,52369
Chile,2020-05-18,31627,83996
Chile,2020-05-25,39554,123550
Chile,2020-06-01,43206,166756
Chile,2020-06-08,41816,208572
Chile,2020-06-15,33783,242355
Chile,2020-06-22,29627,271982
Chile,2020-06-29,23550,295532
Chile,2020-07-06,19509,315041
Chile,2020-07-13,15889,330930
Chile,2020-07-20,14860,345790
Chile,2020-07-27,13941,359731
Chile,2020-08-03,13325,373056
Chile,2020-08-10,12890,385946
Chile,2020-08-17,11719,397665
Chile,2020-08-24,12309,409974
Chile,2020-08-31,12536,422510
Chile,2020-09-07,12238,434748
Chile,2020-09-14,11526,446274
Chile,2020-09-21,11627,457901
Chile,2020-09-28,12278,470179
Chile,2020-10-05,11192,481371
Chile,2020-10-12,10389,491760
Chile,2020-10-19,10303,502063
Chile,2020-10-26,9801,511864
