SEMANA,ANO,country,state,city,count,idx_city,Latitude,Longitude,date,week
1,2007,colombia,arauca,arauca,2,COLOMBIA_ARAUCA_ARAUCA,7.0851994,-70.7577762,2007-01-07,07-01-2007
1,2007,colombia,arauca,saravena,1,COLOMBIA_ARAUCA_SARAVENA,6.9068188,-71.83613345742756,2007-01-07,07-01-2007
1,2007,colombia,atlantico,baranoa,7,COLOMBIA_ATLANTICO_BARANOA,10.7935815,-74.9152164,2007-01-07,07-01-2007
1,2007,colombia,atlantico,barranquilla,23,COLOMBIA_ATLANTICO_BARRANQUILLA,11.0101922,-74.8231794084391,2007-01-07,07-01-2007
1,2007,colombia,atlantico,galapa,2,COLOMBIA_ATLANTICO_GALAPA,10.8968665,-74.8859608,2007-01-07,07-01-2007
1,2007,colombia,atlantico,juan de acosta,1,COLOMBIA_ATLANTICO_JUAN DE ACOSTA,10.8291974,-75.0347039,2007-01-07,07-01-2007
1,2007,colombia,atlantico,luruaco,1,COLOMBIA_ATLANTICO_LURUACO,10.6104147,-75.1427518,2007-01-07,07-01-2007
1,2007,colombia,atlantico,malambo,4,COLOMBIA_ATLANTICO_MALAMBO,10.8653387,-74.7746194,2007-01-07,07-01-2007
1,2007,colombia,atlantico,puerto colombia,4,COLOMBIA_ATLANTICO_PUERTO COLOMBIA,10.9891292,-74.955414,2007-01-07,07-01-2007
1,2007,colombia,atlantico,sabanagrande,2,COLOMBIA_ATLANTICO_SABANAGRANDE,10.80408175,-74.77445095710297,2007-01-07,07-01-2007
1,2007,colombia,atlantico,sabanalarga,2,COLOMBIA_ATLANTICO_SABANALARGA,10.6307159,-74.9209378,2007-01-07,07-01-2007
1,2007,colombia,atlantico,santo tomas,2,COLOMBIA_ATLANTICO_SANTO TOMAS,10.760241,-74.7561781,2007-01-07,07-01-2007
1,2007,colombia,atlantico,soledad,22,COLOMBIA_ATLANTICO_SOLEDAD,10.9149593,-74.7821054,2007-01-07,07-01-2007
1,2007,colombia,atlantico,suan,3,COLOMBIA_ATLANTICO_SUAN,10.30473315,-74.91403463227351,2007-01-07,07-01-2007
1,2007,colombia,atlantico,tubara,2,COLOMBIA_ATLANTICO_TUBARA,10.8740849,-74.9779428,2007-01-07,07-01-2007
1,2007,colombia,bolivar,cartagena,25,COLOMBIA_BOLIVAR_CARTAGENA,10.4265566,-75.5441671,2007-01-07,07-01-2007
1,2007,colombia,bolivar,el carmen de bolivar,1,COLOMBIA_BOLIVAR_EL CARMEN DE BOLIVAR,9.7169432,-75.1221847,2007-01-07,07-01-2007
1,2007,colombia,bolivar,magangue,1,COLOMBIA_BOLIVAR_MAGANGUE,9.2412097,-74.7567413,2007-01-07,07-01-2007
1,2007,colombia,boyaca,moniquira,1,COLOMBIA_BOYACA_MONIQUIRA,5.8763096,-73.5732077,2007-01-07,07-01-2007
1,2007,colombia,caldas,caldas municipio desconocido,1,COLOMBIA_CALDAS_* CALDAS. MUNICIPIO DESCONOCIDO,,,2007-01-07,07-01-2007
1,2007,colombia,caldas,chinchina,3,COLOMBIA_CALDAS_CHINCHINA,4.9830232,-75.6054129,2007-01-07,07-01-2007
1,2007,colombia,caldas,la dorada,1,COLOMBIA_CALDAS_LA DORADA,5.4457655,-74.6618458,2007-01-07,07-01-2007
1,2007,colombia,caldas,victoria,1,COLOMBIA_CALDAS_VICTORIA,5.3167944,-74.9120079,2007-01-07,07-01-2007
1,2007,colombia,casanare,yopal,4,COLOMBIA_CASANARE_YOPAL,5.3356662,-72.3936931,2007-01-07,07-01-2007
