SEMANA,ANO,Casos,DATE
1,2007,315,2007-01-01
2,2007,236,2007-01-08
3,2007,252,2007-01-15
4,2007,305,2007-01-22
5,2007,360,2007-01-29
6,2007,363,2007-02-05
7,2007,360,2007-02-12
8,2007,266,2007-02-19
9,2007,319,2007-02-26
10,2007,270,2007-03-05
11,2007,280,2007-03-12
12,2007,270,2007-03-19
13,2007,270,2007-03-26
14,2007,251,2007-04-02
15,2007,318,2007-04-09
16,2007,286,2007-04-16
17,2007,280,2007-04-23
18,2007,294,2007-04-30
19,2007,313,2007-05-07
20,2007,401,2007-05-14
21,2007,370,2007-05-21
22,2007,326,2007-05-28
23,2007,390,2007-06-04
24,2007,328,2007-06-11
25,2007,399,2007-06-18
26,2007,411,2007-06-25
27,2007,420,2007-07-02
28,2007,465,2007-07-09
29,2007,467,2007-07-16
30,2007,431,2007-07-23
31,2007,410,2007-07-30
32,2007,301,2007-08-06
33,2007,351,2007-08-13
34,2007,309,2007-08-20
35,2007,335,2007-08-27
36,2007,294,2007-09-03
37,2007,336,2007-09-10
38,2007,373,2007-09-17
39,2007,392,2007-09-24
40,2007,356,2007-10-01
41,2007,305,2007-10-08
42,2007,290,2007-10-15
43,2007,352,2007-10-22
44,2007,277,2007-10-29
45,2007,304,2007-11-05
46,2007,313,2007-11-12
47,2007,353,2007-11-19
48,2007,309,2007-11-26
49,2007,291,2007-12-03
50,2007,250,2007-12-10
51,2007,181,2007-12-17
52,2007,243,2007-12-24
1,2008,357,2007-12-31
2,2008,419,2008-01-07
3,2008,417,2008-01-14
4,2008,393,2008-01-21
5,2008,394,2008-01-28
6,2008,375,2008-02-04
7,2008,397,2008-02-11
8,2008,375,2008-02-18
9,2008,346,2008-02-25
10,2008,342,2008-03-03
11,2008,299,2008-03-10
12,2008,302,2008-03-17
13,2008,313,2008-03-24
14,2008,362,2008-03-31
15,2008,329,2008-04-07
16,2008,325,2008-04-14
17,2008,302,2008-04-21
18,2008,289,2008-04-28
19,2008,339,2008-05-05
20,2008,314,2008-05-12
21,2008,327,2008-05-19
22,2008,275,2008-05-26
23,2008,337,2008-06-02
24,2008,309,2008-06-09
25,2008,317,2008-06-16
26,2008,300,2008-06-23
27,2008,317,2008-06-30
28,2008,335,2008-07-07
29,2008,304,2008-07-14
30,2008,314,2008-07-21
31,2008,290,2008-07-28
32,2008,252,2008-08-04
33,2008,251,2008-08-11
34,2008,260,2008-08-18
35,2008,255,2008-08-25
36,2008,269,2008-09-01
37,2008,273,2008-09-08
38,2008,274,2008-09-15
39,2008,302,2008-09-22
40,2008,293,2008-09-29
41,2008,344,2008-10-06
42,2008,320,2008-10-13
43,2008,368,2008-10-20
44,2008,356,2008-10-27
45,2008,299,2008-11-03
46,2008,345,2008-11-10
47,2008,310,2008-11-17
48,2008,241,2008-11-24
49,2008,347,2008-12-01
50,2008,291,2008-12-08
51,2008,310,2008-12-15
52,2008,193,2008-12-22
53,2008,190,2008-12-29
1,2009,471,2008-12-29
2,2009,477,2009-01-05
3,2009,444,2009-01-12
4,2009,378,2009-01-19
5,2009,444,2009-01-26
6,2009,383,2009-02-02
7,2009,356,2009-02-09
8,2009,333,2009-02-16
9,2009,391,2009-02-23
10,2009,299,2009-03-02
11,2009,315,2009-03-09
12,2009,313,2009-03-16
13,2009,320,2009-03-23
14,2009,300,2009-03-30
15,2009,365,2009-04-06
16,2009,410,2009-04-13
17,2009,318,2009-04-20
18,2009,329,2009-04-27
19,2009,377,2009-05-04
20,2009,457,2009-05-11
21,2009,414,2009-05-18
22,2009,454,2009-05-25
23,2009,478,2009-06-01
24,2009,445,2009-06-08
25,2009,408,2009-06-15
26,2009,467,2009-06-22
27,2009,505,2009-06-29
28,2009,506,2009-07-06
29,2009,538,2009-07-13
30,2009,539,2009-07-20
31,2009,548,2009-07-27
32,2009,533,2009-08-03
33,2009,537,2009-08-10
34,2009,525,2009-08-17
35,2009,541,2009-08-24
36,2009,520,2009-08-31
37,2009,541,2009-09-07
38,2009,594,2009-09-14
39,2009,588,2009-09-21
40,2009,534,2009-09-28
41,2009,596,2009-10-05
42,2009,598,2009-10-12
43,2009,491,2009-10-19
44,2009,574,2009-10-26
45,2009,534,2009-11-02
46,2009,599,2009-11-09
47,2009,655,2009-11-16
48,2009,675,2009-11-23
49,2009,782,2009-11-30
50,2009,779,2009-12-07
51,2009,741,2009-12-14
52,2009,704,2009-12-21
1,2010,953,2010-01-04
2,2010,943,2010-01-11
3,2010,1103,2010-01-18
4,2010,1231,2010-01-25
5,2010,1471,2010-02-01
6,2010,1633,2010-02-08
7,2010,1787,2010-02-15
8,2010,1678,2010-02-22
9,2010,1774,2010-03-01
10,2010,1719,2010-03-08
11,2010,1757,2010-03-15
12,2010,1315,2010-03-22
13,2010,1405,2010-03-29
14,2010,1499,2010-04-05
15,2010,1345,2010-04-12
16,2010,1325,2010-04-19
17,2010,1237,2010-04-26
18,2010,1261,2010-05-03
19,2010,1325,2010-05-10
20,2010,1250,2010-05-17
21,2010,1143,2010-05-24
22,2010,1191,2010-05-31
23,2010,1059,2010-06-07
24,2010,990,2010-06-14
25,2010,1014,2010-06-21
26,2010,961,2010-06-28
27,2010,965,2010-07-05
