SEMANA,ANO,Casos,DATE
29,2017,139,2017-07-17
30,2017,136,2017-07-24
31,2017,137,2017-07-31
32,2017,159,2017-08-07
33,2017,135,2017-08-14
34,2017,113,2017-08-21
35,2017,130,2017-08-28
36,2017,130,2017-09-04
37,2017,118,2017-09-11
38,2017,172,2017-09-18
39,2017,150,2017-09-25
40,2017,120,2017-10-02
41,2017,111,2017-10-09
42,2017,115,2017-10-16
43,2017,118,2017-10-23
44,2017,137,2017-10-30
45,2017,113,2017-11-06
46,2017,135,2017-11-13
47,2017,109,2017-11-20
48,2017,137,2017-11-27
49,2017,124,2017-12-04
50,2017,164,2017-12-11
51,2017,161,2017-12-18
52,2017,129,2017-12-25
1,2018,206,2018-01-01
2,2018,260,2018-01-08
3,2018,270,2018-01-15
4,2018,207,2018-01-22
5,2018,224,2018-01-29
6,2018,185,2018-02-05
7,2018,200,2018-02-12
8,2018,180,2018-02-19
9,2018,181,2018-02-26
10,2018,189,2018-03-05
11,2018,195,2018-03-12
12,2018,182,2018-03-19
13,2018,166,2018-03-26
14,2018,191,2018-04-02
15,2018,194,2018-04-09
16,2018,222,2018-04-16
17,2018,217,2018-04-23
18,2018,243,2018-04-30
19,2018,242,2018-05-07
20,2018,316,2018-05-14
21,2018,264,2018-05-21
22,2018,373,2018-05-28
23,2018,352,2018-06-04
24,2018,358,2018-06-11
25,2018,354,2018-06-18
26,2018,309,2018-06-25
27,2018,386,2018-07-02
28,2018,416,2018-07-09
29,2018,471,2018-07-16
30,2018,397,2018-07-23
31,2018,463,2018-07-30
32,2018,495,2018-08-06
33,2018,426,2018-08-13
34,2018,496,2018-08-20
35,2018,524,2018-08-27
36,2018,454,2018-09-03
37,2018,499,2018-09-10
38,2018,509,2018-09-17
39,2018,530,2018-09-24
40,2018,601,2018-10-01
41,2018,608,2018-10-08
42,2018,745,2018-10-15
43,2018,742,2018-10-22
44,2018,728,2018-10-29
45,2018,789,2018-11-05
46,2018,781,2018-11-12
47,2018,886,2018-11-19
48,2018,901,2018-11-26
49,2018,974,2018-12-03
50,2018,1045,2018-12-10
51,2018,952,2018-12-17
52,2018,999,2018-12-24
1,2019,1117,2018-12-31
2,2019,1195,2019-01-07
3,2019,1158,2019-01-14
4,2019,1164,2019-01-21
5,2019,1163,2019-01-28
6,2019,1151,2019-02-04
7,2019,1087,2019-02-11
8,2019,1164,2019-02-18
9,2019,1177,2019-02-25
10,2019,1190,2019-03-04
11,2019,1158,2019-03-11
12,2019,1100,2019-03-18
13,2019,1176,2019-03-25
14,2019,1257,2019-04-01
15,2019,1064,2019-04-08
16,2019,1199,2019-04-15
17,2019,1457,2019-04-22
18,2019,1552,2019-04-29
19,2019,1523,2019-05-06
20,2019,1614,2019-05-13
21,2019,1710,2019-05-20
22,2019,1684,2019-05-27
23,2019,1748,2019-06-03
24,2019,1869,2019-06-10
25,2019,1785,2019-06-17
26,2019,1755,2019-06-24
27,2019,2213,2019-07-01
28,2019,1909,2019-07-08
29,2019,1814,2019-07-15
30,2019,1653,2019-07-22
31,2019,1542,2019-07-29
32,2019,1564,2019-08-05
33,2019,1361,2019-08-12
34,2019,1374,2019-08-19
35,2019,1375,2019-08-26
36,2019,1458,2019-09-02
37,2019,1336,2019-09-09
38,2019,1339,2019-09-16
39,2019,1127,2019-09-23
40,2019,1267,2019-09-30
41,2019,1315,2019-10-07
42,2019,1357,2019-10-14
43,2019,1373,2019-10-21
44,2019,1420,2019-10-28
45,2019,1531,2019-11-04
46,2019,1407,2019-11-11
47,2019,1431,2019-11-18
48,2019,1358,2019-11-25
49,2019,1536,2019-12-02
50,2019,1635,2019-12-09
51,2019,1613,2019-12-16
52,2019,1534,2019-12-23
1,2020,1918,2019-12-30
2,2020,2216,2020-01-06
3,2020,2353,2020-01-13
4,2020,2161,2020-01-20
5,2020,2208,2020-01-27
6,2020,2236,2020-02-03
7,2020,2047,2020-02-10
8,2020,1950,2020-02-17
9,2020,1865,2020-02-24
10,2020,1823,2020-03-02
11,2020,1584,2020-03-09
12,2020,993,2020-03-16
13,2020,949,2020-03-23
14,2020,1006,2020-03-30
15,2020,931,2020-04-06
16,2020,883,2020-04-13
17,2020,879,2020-04-20
18,2020,801,2020-04-27
19,2020,809,2020-05-04
20,2020,826,2020-05-11
21,2020,788,2020-05-18
