week,google_physician,google_hospital,google_pharmacy,google_symptom,country
2019-12-23,17,9,11,20,BRA
2019-12-30,26,11,11,21,BRA
2020-01-06,25,11,11,21,BRA
2020-01-13,23,12,11,22,BRA
2020-01-20,24,13,11,31,BRA
2020-01-27,24,13,11,24,BRA
2020-02-03,23,11,11,23,BRA
2020-02-10,23,11,11,23,BRA
2020-02-17,19,11,11,35,BRA
2020-02-24,23,11,11,31,BRA
2020-03-02,23,13,12,51,BRA
2020-03-09,26,18,23,100,BRA
2020-03-16,23,18,21,63,BRA
2020-03-23,19,15,15,36,BRA
2020-03-30,19,13,13,32,BRA
2020-04-06,20,13,14,32,BRA
2020-04-13,20,12,13,35,BRA
2020-04-20,19,13,14,37,BRA
2020-04-27,18,12,15,35,BRA
2020-05-04,20,12,14,35,BRA
2020-05-11,20,13,14,35,BRA
2020-05-18,19,11,13,34,BRA
2020-05-25,20,12,14,33,BRA
2020-06-01,19,11,13,32,BRA
2020-06-08,20,11,13,34,BRA
2020-06-15,20,12,13,37,BRA
2020-06-22,20,10,14,33,BRA
2020-06-29,20,10,14,35,BRA
2020-07-06,21,11,14,33,BRA
2020-07-13,21,11,13,31,BRA
2020-07-20,22,11,12,31,BRA
2020-07-27,20,10,13,28,BRA
2020-08-03,22,10,12,29,BRA
2020-08-10,21,11,11,25,BRA
2020-08-17,20,11,12,26,BRA
2020-08-24,21,10,11,26,BRA
2020-08-31,22,10,12,26,BRA
2020-09-07,25,11,12,26,BRA
2020-09-14,22,11,12,26,BRA
2020-09-21,22,11,12,26,BRA
2020-09-28,21,11,11,25,BRA
2020-10-05,22,10,11,25,BRA
2020-10-12,29,11,11,25,BRA
2020-10-19,23,11,11,25,BRA
2020-10-26,20,10,11,26,BRA
2020-11-02,24,11,11,28,BRA
2020-11-09,22,10,11,28,BRA
2020-11-16,21,11,12,31,BRA
2020-11-23,22,11,13,33,BRA
2020-11-30,22,10,12,35,BRA
2020-12-07,21,11,12,33,BRA
2020-12-14,16,9,13,35,BRA
2020-12-21,16,9,14,35,BRA
2020-12-28,26,12,14,34,BRA
2021-01-04,23,12,14,33,BRA
2021-01-11,24,12,13,30,BRA
2021-01-18,23,11,12,29,BRA
2021-01-25,21,11,13,28,BRA
2021-02-01,21,10,12,28,BRA
2021-02-08,19,10,12,31,BRA
2021-02-15,21,11,12,32,BRA
2021-02-22,22,12,14,36,BRA
2021-03-01,21,13,14,36,BRA
2021-03-08,23,13,14,37,BRA
2021-03-15,21,14,14,36,BRA
2021-03-22,19,11,13,33,BRA
2021-03-29,18,11,13,31,BRA
2021-04-05,16,12,12,31,BRA
2021-04-12,15,11,12,29,BRA
2021-04-19,15,11,12,28,BRA
2021-04-26,14,11,11,29,BRA
2021-05-03,15,11,12,28,BRA
2021-05-10,16,11,12,30,BRA
2021-05-17,19,12,13,34,BRA
2021-05-24,20,11,13,32,BRA
2021-05-31,18,11,12,31,BRA
2021-06-07,14,11,12,28,BRA
2021-06-14,13,10,11,27,BRA
2021-06-21,12,10,11,24,BRA
2021-06-28,12,10,12,25,BRA
2021-07-05,13,11,12,26,BRA
2021-07-12,13,11,11,25,BRA
2021-07-19,12,10,11,24,BRA
2021-07-26,12,10,11,24,BRA
2021-08-02,13,10,11,25,BRA
