Date,Mean_distance_avg_14day_movavg,country
2020-03-24,22.78,CHL
2020-03-25,21.42,CHL
2020-03-26,20.28,CHL
2020-03-27,18.77,CHL
2020-03-28,17.41,CHL
2020-03-29,16.08,CHL
2020-03-30,14.91,CHL
2020-03-31,14.14,CHL
2020-04-01,13.22,CHL
2020-04-02,12.66,CHL
2020-04-03,12.28,CHL
2020-04-04,12.01,CHL
2020-04-05,11.77,CHL
2020-04-06,11.61,CHL
2020-04-07,11.37,CHL
2020-04-08,11.36,CHL
2020-04-09,11.3,CHL
2020-04-10,10.8,CHL
2020-04-11,10.5,CHL
2020-04-12,10.35,CHL
2020-04-13,10.31,CHL
2020-04-14,10.23,CHL
2020-04-15,10.32,CHL
2020-04-16,10.4,CHL
2020-04-17,10.28,CHL
2020-04-18,10.15,CHL
2020-04-19,10.2,CHL
2020-04-20,10.29,CHL
2020-04-21,10.48,CHL
2020-04-22,10.55,CHL
2020-04-23,10.62,CHL
2020-04-24,11.17,CHL
2020-04-25,11.47,CHL
2020-04-26,11.57,CHL
2020-04-27,11.63,CHL
2020-04-28,11.73,CHL
2020-04-29,11.86,CHL
2020-04-30,12.1,CHL
2020-05-01,11.85,CHL
2020-05-02,11.9,CHL
2020-05-03,11.9,CHL
2020-05-04,12.08,CHL
2020-05-05,12.14,CHL
2020-05-06,12.2,CHL
2020-05-07,12.22,CHL
2020-05-08,12.36,CHL
2020-05-09,12.37,CHL
2020-05-10,12.36,CHL
2020-05-11,12.37,CHL
2020-05-12,12.37,CHL
2020-05-13,12.25,CHL
2020-05-14,12.07,CHL
2020-05-15,12.55,CHL
2020-05-16,12.49,CHL
2020-05-17,12.46,CHL
2020-05-18,12.18,CHL
2020-05-19,11.95,CHL
2020-05-20,11.79,CHL
2020-05-21,11.32,CHL
2020-05-22,11.02,CHL
2020-05-23,10.88,CHL
2020-05-24,10.84,CHL
2020-05-25,10.82,CHL
2020-05-26,10.76,CHL
2020-05-27,10.84,CHL
2020-05-28,10.77,CHL
2020-05-29,10.61,CHL
2020-05-30,10.69,CHL
2020-05-31,10.72,CHL
2020-06-01,10.75,CHL
2020-06-02,10.85,CHL
2020-06-03,10.92,CHL
2020-06-04,11.35,CHL
2020-06-05,11.59,CHL
2020-06-06,11.88,CHL
2020-06-07,11.9,CHL
2020-06-08,11.99,CHL
2020-06-09,12.06,CHL
2020-06-10,11.96,CHL
2020-06-11,12.04,CHL
2020-06-12,12.09,CHL
2020-06-13,12.14,CHL
2020-06-14,12.17,CHL
2020-06-15,12.31,CHL
2020-06-16,12.45,CHL
2020-06-17,12.46,CHL
2020-06-18,12.57,CHL
2020-06-19,12.59,CHL
2020-06-20,12.41,CHL
2020-06-21,12.56,CHL
2020-06-22,12.54,CHL
2020-06-23,12.45,CHL
2020-06-24,12.42,CHL
2020-06-25,12.35,CHL
2020-06-26,12.29,CHL
2020-06-27,12.49,CHL
2020-06-28,13.06,CHL
2020-06-29,12.29,CHL
2020-06-30,12.19,CHL
2020-07-01,12.03,CHL
2020-07-02,11.78,CHL
2020-07-03,11.58,CHL
2020-07-04,11.83,CHL
2020-07-05,11.8,CHL
2020-07-06,11.71,CHL
2020-07-07,11.9,CHL
2020-07-08,12.0,CHL
2020-07-09,12.0,CHL
2020-07-10,12.04,CHL
2020-07-11,11.85,CHL
2020-07-12,11.56,CHL
2020-07-13,11.96,CHL
2020-07-14,11.88,CHL
2020-07-15,12.07,CHL
2020-07-16,11.77,CHL
2020-07-17,11.76,CHL
2020-07-18,11.57,CHL
2020-07-19,11.58,CHL
2020-07-20,11.66,CHL
2020-07-21,11.71,CHL
2020-07-22,11.76,CHL
2020-07-23,11.84,CHL
2020-07-24,11.88,CHL
2020-07-25,11.95,CHL
2020-07-26,12.0,CHL
2020-07-27,12.04,CHL
2020-07-28,12.1,CHL
2020-07-29,12.08,CHL
2020-07-30,12.43,CHL
2020-07-31,12.5,CHL
2020-08-01,12.6,CHL
2020-08-02,12.66,CHL
2020-08-03,12.7,CHL
2020-08-04,12.82,CHL
2020-08-05,12.86,CHL
2020-08-06,12.98,CHL
2020-08-07,13.12,CHL
2020-08-08,13.17,CHL
2020-08-09,13.28,CHL
2020-08-10,13.56,CHL
2020-08-11,13.72,CHL
2020-08-12,13.82,CHL
2020-08-13,14.02,CHL
2020-08-14,14.32,CHL
2020-08-15,14.43,CHL
2020-08-16,14.41,CHL
2020-08-17,14.54,CHL
2020-08-18,14.68,CHL
2020-08-19,14.84,CHL
2020-08-20,14.89,CHL
2020-08-21,15.0,CHL
2020-08-22,15.06,CHL
2020-08-23,15.02,CHL
2020-08-24,14.95,CHL
2020-08-25,15.02,CHL
2020-08-26,15.14,CHL
2020-08-27,15.22,CHL
2020-08-28,15.23,CHL
2020-08-29,15.6,CHL
2020-08-30,15.84,CHL
2020-08-31,15.96,CHL
2020-09-01,16.15,CHL
2020-09-02,16.39,CHL
2020-09-03,16.57,CHL
2020-09-04,16.76,CHL
2020-09-05,16.81,CHL
2020-09-06,16.94,CHL
2020-09-07,17.09,CHL
2020-09-08,17.17,CHL
2020-09-09,17.11,CHL
2020-09-10,17.19,CHL
2020-09-11,17.21,CHL
2020-09-12,16.99,CHL
2020-09-13,16.9,CHL
2020-09-14,17.02,CHL
2020-09-15,16.95,CHL
2020-09-16,17.04,CHL
2020-09-17,17.0,CHL
2020-09-18,16.14,CHL
2020-09-19,15.77,CHL
2020-09-20,15.68,CHL
2020-09-21,15.78,CHL
2020-09-22,15.84,CHL
2020-09-23,15.96,CHL
2020-09-24,15.92,CHL
2020-09-25,15.91,CHL
2020-09-26,16.01,CHL
2020-09-27,16.06,CHL
2020-09-28,15.99,CHL
2020-09-29,15.89,CHL
2020-09-30,15.58,CHL
2020-10-01,15.55,CHL
2020-10-02,16.28,CHL
2020-10-03,16.62,CHL
2020-10-04,16.72,CHL
2020-10-05,16.59,CHL
2020-10-06,16.61,CHL
2020-10-07,16.65,CHL
2020-10-08,16.7,CHL
2020-10-09,16.77,CHL
2020-10-10,16.58,CHL
2020-10-11,16.39,CHL
2020-10-12,15.79,CHL
2020-10-13,16.06,CHL
2020-10-14,16.16,CHL
2020-10-15,16.36,CHL
2020-10-16,16.7,CHL
2020-10-17,16.79,CHL
2020-10-18,16.78,CHL
2020-10-19,16.83,CHL
2020-10-20,16.84,CHL
2020-10-21,16.94,CHL
2020-10-22,17.09,CHL
2020-10-23,17.2,CHL
2020-10-24,17.44,CHL
2020-10-25,18.02,CHL
2020-10-26,18.72,CHL
2020-10-27,18.57,CHL
2020-10-28,18.78,CHL
2020-10-29,18.85,CHL
2020-10-30,18.91,CHL
2020-10-31,19.02,CHL
2020-11-01,19.24,CHL
2020-11-02,19.42,CHL
2020-11-03,19.48,CHL
2020-11-04,19.37,CHL
2020-11-05,19.36,CHL
2020-11-06,19.51,CHL
2020-11-07,19.58,CHL
2020-11-08,19.55,CHL
2020-11-09,19.65,CHL
2020-11-10,19.68,CHL
2020-11-11,19.66,CHL
2020-11-12,19.66,CHL
2020-11-13,19.76,CHL
2020-11-14,20.06,CHL
2020-11-15,20.33,CHL
2020-11-16,20.46,CHL
2020-11-17,20.49,CHL
2020-11-18,20.72,CHL
2020-11-19,20.89,CHL
2020-11-20,21.08,CHL
2020-11-21,21.22,CHL
2020-11-22,21.32,CHL
2020-11-23,21.34,CHL
2020-11-24,21.47,CHL
2020-11-25,21.66,CHL
2020-11-26,21.74,CHL
2020-11-27,21.75,CHL
2020-11-28,21.77,CHL
2020-11-29,21.8,CHL
2020-11-30,21.59,CHL
2020-12-01,21.63,CHL
2020-12-02,21.68,CHL
2020-12-03,21.68,CHL
2020-12-04,21.69,CHL
2020-12-05,21.9,CHL
2020-12-06,21.87,CHL
2020-12-07,22.01,CHL
2020-12-08,21.98,CHL
2020-12-09,22.41,CHL
2020-12-10,22.51,CHL
2020-12-11,22.35,CHL
2020-12-12,22.2,CHL
2020-12-13,21.91,CHL
2020-12-14,22.15,CHL
2020-12-15,22.55,CHL
2020-12-16,22.81,CHL
2020-12-17,23.0,CHL
2020-12-18,23.04,CHL
2020-12-19,22.7,CHL
2020-12-20,22.44,CHL
2020-12-21,22.57,CHL
2020-12-22,22.96,CHL
2020-12-23,22.71,CHL
2020-12-24,22.59,CHL
2020-12-25,21.91,CHL
2020-12-26,21.7,CHL
2020-12-27,21.68,CHL
2020-12-28,21.78,CHL
2020-12-29,21.74,CHL
2020-12-30,21.73,CHL
2020-12-31,21.24,CHL
2021-01-01,20.27,CHL
2021-01-02,20.19,CHL
2021-01-03,20.28,CHL
2021-01-04,20.38,CHL
2021-01-05,20.29,CHL
2021-01-06,20.22,CHL
2021-01-07,20.53,CHL
2021-01-08,21.24,CHL
2021-01-09,21.43,CHL
2021-01-10,21.61,CHL
2021-01-11,21.76,CHL
2021-01-12,21.76,CHL
2021-01-13,21.9,CHL
2021-01-14,22.32,CHL
2021-01-15,23.27,CHL
2021-01-16,23.53,CHL
2021-01-17,23.67,CHL
2021-01-18,23.67,CHL
2021-01-19,23.64,CHL
2021-01-20,23.8,CHL
2021-01-21,23.89,CHL
2021-01-22,24.09,CHL
2021-01-23,24.37,CHL
2021-01-24,24.45,CHL
2021-01-25,24.39,CHL
2021-01-26,24.51,CHL
2021-01-27,24.28,CHL
2021-01-28,24.26,CHL
2021-01-29,24.22,CHL
2021-01-30,24.08,CHL
2021-01-31,23.92,CHL
2021-02-01,24.02,CHL
2021-02-02,23.89,CHL
2021-02-03,23.64,CHL
2021-02-04,23.37,CHL
2021-02-05,23.45,CHL
2021-02-06,23.23,CHL
2021-02-07,23.09,CHL
2021-02-08,23.01,CHL
2021-02-09,22.85,CHL
2021-02-10,22.84,CHL
2021-02-11,22.95,CHL
2021-02-12,23.21,CHL
2021-02-13,23.51,CHL
2021-02-14,23.74,CHL
2021-02-15,23.81,CHL
2021-02-16,24.06,CHL
2021-02-17,24.37,CHL
2021-02-18,24.74,CHL
2021-02-19,25.07,CHL
2021-02-20,25.33,CHL
2021-02-21,25.63,CHL
2021-02-22,25.81,CHL
2021-02-23,25.82,CHL
2021-02-24,26.09,CHL
2021-02-25,26.27,CHL
2021-02-26,26.25,CHL
2021-02-27,26.2,CHL
2021-02-28,26.24,CHL
2021-03-01,26.05,CHL
2021-03-02,25.88,CHL
2021-03-03,25.68,CHL
2021-03-04,25.39,CHL
2021-03-05,25.06,CHL
2021-03-06,24.64,CHL
2021-03-07,24.3,CHL
2021-03-08,24.11,CHL
2021-03-09,23.9,CHL
2021-03-10,23.5,CHL
2021-03-11,23.09,CHL
2021-03-12,22.82,CHL
2021-03-13,22.3,CHL
2021-03-14,21.86,CHL
2021-03-15,21.51,CHL
2021-03-16,21.29,CHL
2021-03-17,21.1,CHL
2021-03-18,20.79,CHL
2021-03-19,20.36,CHL
2021-03-20,20.11,CHL
2021-03-21,19.81,CHL
2021-03-22,19.54,CHL
2021-03-23,19.29,CHL
2021-03-24,19.22,CHL
2021-03-25,18.94,CHL
2021-03-26,18.63,CHL
2021-03-27,18.26,CHL
2021-03-28,17.89,CHL
2021-03-29,17.65,CHL
2021-03-30,17.36,CHL
2021-03-31,17.14,CHL
2021-04-01,17.11,CHL
2021-04-02,16.29,CHL
2021-04-03,15.98,CHL
2021-04-04,15.86,CHL
2021-04-05,15.63,CHL
2021-04-06,15.41,CHL
2021-04-07,15.08,CHL
2021-04-08,14.94,CHL
2021-04-09,14.62,CHL
2021-04-10,14.76,CHL
2021-04-11,14.79,CHL
2021-04-12,14.6,CHL
2021-04-13,14.48,CHL
2021-04-14,14.25,CHL
2021-04-15,13.98,CHL
2021-04-16,14.62,CHL
2021-04-17,14.82,CHL
2021-04-18,14.85,CHL
2021-04-19,14.82,CHL
2021-04-20,14.91,CHL
2021-04-21,14.92,CHL
2021-04-22,14.97,CHL
2021-04-23,15.04,CHL
2021-04-24,15.13,CHL
2021-04-25,15.27,CHL
2021-04-26,15.51,CHL
2021-04-27,15.62,CHL
2021-04-28,15.81,CHL
2021-04-29,16.05,CHL
2021-04-30,16.22,CHL
2021-05-01,16.07,CHL
2021-05-02,16.17,CHL
2021-05-03,16.25,CHL
2021-05-04,16.35,CHL
2021-05-05,16.51,CHL
2021-05-06,16.7,CHL
2021-05-07,17.0,CHL
2021-05-08,17.09,CHL
2021-05-09,17.23,CHL
2021-05-10,17.39,CHL
2021-05-11,17.63,CHL
2021-05-12,17.72,CHL
2021-05-13,17.89,CHL
2021-05-14,18.22,CHL
2021-05-15,18.57,CHL
2021-05-16,18.83,CHL
2021-05-17,19.15,CHL
2021-05-18,19.4,CHL
2021-05-19,19.67,CHL
2021-05-20,20.16,CHL
2021-05-21,19.61,CHL
2021-05-22,19.59,CHL
2021-05-23,19.73,CHL
2021-05-24,19.93,CHL
2021-05-25,20.13,CHL
2021-05-26,20.36,CHL
2021-05-27,20.48,CHL
2021-05-28,20.52,CHL
2021-05-29,20.61,CHL
2021-05-30,20.6,CHL
2021-05-31,20.54,CHL
2021-06-01,20.5,CHL
2021-06-02,20.38,CHL
2021-06-03,19.87,CHL
2021-06-04,20.32,CHL
2021-06-05,21.01,CHL
2021-06-06,21.01,CHL
2021-06-07,20.75,CHL
2021-06-08,20.56,CHL
2021-06-09,20.43,CHL
2021-06-10,20.37,CHL
2021-06-11,20.16,CHL
2021-06-12,20.12,CHL
2021-06-13,19.98,CHL
2021-06-14,19.78,CHL
2021-06-15,19.72,CHL
2021-06-16,19.76,CHL
2021-06-17,19.91,CHL
2021-06-18,20.17,CHL
2021-06-19,19.87,CHL
2021-06-20,19.72,CHL
2021-06-21,19.33,CHL
2021-06-22,19.43,CHL
2021-06-23,19.36,CHL
2021-06-24,19.4,CHL
2021-06-25,19.46,CHL
2021-06-26,19.67,CHL
2021-06-27,19.7,CHL
2021-06-28,19.49,CHL
2021-06-29,19.66,CHL
2021-06-30,19.76,CHL
2021-07-01,19.89,CHL
2021-07-02,20.03,CHL
2021-07-03,20.05,CHL
2021-07-04,20.32,CHL
2021-07-05,20.99,CHL
2021-07-06,21.06,CHL
2021-07-07,21.33,CHL
2021-07-08,21.59,CHL
2021-07-09,22.0,CHL
2021-07-10,22.27,CHL
2021-07-11,22.73,CHL
2021-07-12,23.58,CHL
2021-07-13,23.79,CHL
2021-07-14,24.23,CHL
2021-07-15,25.02,CHL
2021-07-16,25.12,CHL
2021-07-17,25.73,CHL
2021-07-18,26.44,CHL
2021-07-19,26.98,CHL
2021-07-20,27.5,CHL
2021-07-21,27.99,CHL
2021-07-22,28.24,CHL
2021-07-23,28.45,CHL
2021-07-24,28.93,CHL
2021-07-25,29.35,CHL
2021-07-26,29.23,CHL
2021-07-27,29.19,CHL
2021-07-28,28.99,CHL
2021-07-29,28.47,CHL
2021-07-30,28.69,CHL
2021-07-31,28.88,CHL
2021-08-01,29.09,CHL
2021-08-02,28.8,CHL
2021-08-03,28.56,CHL
2021-08-04,28.26,CHL
2021-08-05,28.0,CHL
2021-08-06,27.61,CHL
2021-08-07,27.61,CHL
2021-08-08,27.53,CHL
2021-08-09,27.63,CHL
2021-08-10,27.61,CHL
2021-08-11,27.85,CHL
2021-08-12,27.89,CHL
2021-08-13,27.95,CHL
2021-08-14,27.87,CHL
2021-08-15,27.46,CHL
2021-08-16,27.33,CHL
2021-08-17,27.21,CHL
2021-08-18,26.85,CHL
2021-08-19,26.71,CHL
2021-08-20,26.66,CHL
2021-08-21,26.3,CHL
2021-08-22,26.15,CHL
2021-08-23,26.0,CHL
2021-08-24,26.06,CHL
2021-08-25,25.94,CHL
2021-08-26,25.96,CHL
2021-08-27,25.97,CHL
2021-08-28,25.93,CHL
2021-08-29,25.99,CHL
2021-08-30,26.09,CHL
2021-08-31,26.13,CHL
2021-09-01,26.41,CHL
2021-09-02,26.51,CHL
2021-09-03,26.61,CHL
2021-09-04,26.86,CHL
2021-09-05,27.0,CHL
2021-09-06,27.1,CHL
2021-09-07,27.23,CHL
2021-09-08,27.29,CHL
2021-09-09,27.28,CHL
2021-09-10,27.36,CHL
2021-09-11,27.39,CHL
2021-09-12,27.33,CHL
2021-09-13,27.42,CHL
2021-09-14,27.7,CHL
2021-09-15,28.19,CHL
2021-09-16,28.98,CHL
2021-09-17,28.93,CHL
2021-09-18,28.69,CHL
2021-09-19,28.98,CHL
2021-09-20,29.45,CHL
2021-09-21,29.57,CHL
2021-09-22,29.59,CHL
2021-09-23,29.57,CHL
2021-09-24,29.51,CHL
2021-09-25,29.55,CHL
2021-09-26,29.63,CHL
2021-09-27,29.63,CHL
2021-09-28,29.37,CHL
2021-09-29,28.89,CHL
2021-09-30,28.2,CHL
2021-10-01,28.17,CHL
2021-10-02,28.48,CHL
2021-10-03,28.23,CHL
2021-10-04,27.75,CHL
2021-10-05,27.5,CHL
2021-10-06,27.39,CHL
2021-10-07,27.41,CHL
2021-10-08,27.5,CHL
2021-10-09,27.82,CHL
2021-10-10,27.98,CHL
2021-10-11,28.19,CHL
2021-10-12,28.33,CHL
2021-10-13,28.52,CHL
2021-10-14,28.48,CHL
2021-10-15,28.63,CHL
2021-10-16,28.64,CHL
2021-10-17,28.74,CHL
2021-10-18,28.51,CHL
2021-10-19,28.59,CHL
2021-10-20,28.48,CHL
2021-10-21,28.47,CHL
2021-10-22,28.29,CHL
2021-10-23,27.93,CHL
2021-10-24,27.73,CHL
2021-10-25,27.44,CHL
2021-10-26,27.34,CHL
2021-10-27,27.22,CHL
2021-10-28,27.31,CHL
2021-10-29,27.43,CHL
2021-10-30,27.85,CHL
2021-10-31,27.91,CHL
2021-11-01,28.34,CHL
2021-11-02,28.49,CHL
2021-11-03,28.63,CHL
2021-11-04,28.69,CHL
2021-11-05,28.83,CHL
2021-11-06,28.96,CHL
2021-11-07,29.05,CHL
2021-11-08,29.08,CHL
2021-11-09,29.11,CHL
2021-11-10,29.15,CHL
2021-11-11,29.12,CHL
2021-11-12,28.93,CHL
2021-11-13,28.61,CHL
2021-11-14,28.37,CHL
2021-11-15,28.16,CHL
2021-11-16,28.04,CHL
2021-11-17,28.03,CHL
2021-11-18,28.1,CHL
2021-11-19,28.03,CHL
2021-11-20,27.84,CHL
2021-11-21,27.77,CHL
2021-11-22,27.76,CHL
2021-11-23,27.69,CHL
2021-11-24,27.67,CHL
2021-11-25,27.77,CHL
2021-11-26,27.82,CHL
2021-11-27,27.81,CHL
2021-11-28,28.02,CHL
2021-11-29,28.03,CHL
2021-11-30,28.05,CHL
2021-12-01,28.03,CHL
2021-12-02,27.95,CHL
2021-12-03,28.0,CHL
2021-12-04,28.24,CHL
2021-12-05,28.5,CHL
2021-12-06,28.6,CHL
