country,year,population
World,2020,7851414621
World,2021,7922587963
World,2022,7986308820
World,2023,8056505564
Sub-Saharan Africa,2020,1110090241
Sub-Saharan Africa,2021,1138953149
Sub-Saharan Africa,2022,1167589175
Sub-Saharan Africa,2023,1196738277
Northern Africa and Western Asia,2020,539821021
Northern Africa and Western Asia,2021,548077234
Northern Africa and Western Asia,2022,556776711
Northern Africa and Western Asia,2023,568040469
Central and Southern Asia,2020,2048450375
Central and Southern Asia,2021,2071434114
Central and Southern Asia,2022,2090826199
Central and Southern Asia,2023,2112791911
Eastern and South-Eastern Asia,2020,2337314584
Eastern and South-Eastern Asia,2021,2343728363
Eastern and South-Eastern Asia,2022,2346753893
Eastern and South-Eastern Asia,2023,2349572733
Latin America and the Caribbean,2020,644685940
Latin America and the Caribbean,2021,648772828
Latin America and the Caribbean,2022,652157752
Latin America and the Caribbean,2023,656575828
Oceania (excluding Australia and New Zealand),2020,13148134
Oceania (excluding Australia and New Zealand),2021,13382442
Oceania (excluding Australia and New Zealand),2022,13605753
Oceania (excluding Australia and New Zealand),2023,13827509
Australia/New Zealand,2020,30692423
Australia/New Zealand,2021,30934949
Australia/New Zealand,2022,31193279
Australia/New Zealand,2023,31472159
Europe and Northern America,2020,1127211903
Europe and Northern America,2021,1127304884
Europe and Northern America,2022,1127406058
Europe and Northern America,2023,1127486678
"Europe, Northern America, Australia, and New Zealand",2020,1157904326
"Europe, Northern America, Australia, and New Zealand",2021,1158239833
"Europe, Northern America, Australia, and New Zealand",2022,1158599337
"Europe, Northern America, Australia, and New Zealand",2023,1158958837
More developed regions,2020,1284479178
More developed regions,2021,1284274067
More developed regions,2022,1283923779
More developed regions,2023,1283629551
Less developed regions,2020,6566935443
Less developed regions,2021,6638313896
Less developed regions,2022,6702385041
Less developed regions,2023,6772876013
Least developed countries,2020,1070860483
Least developed countries,2021,1096846656
Least developed countries,2022,1121947809
Least developed countries,2023,1147676012
"Less developed regions, excluding least developed countries",2020,5496074960
"Less developed regions, excluding least developed countries",2021,5541467240
"Less developed regions, excluding least developed countries",2022,5580437232
"Less developed regions, excluding least developed countries",2023,5625200001
"Less developed regions, excluding China",2020,5109651333
"Less developed regions, excluding China",2021,5179712298
"Less developed regions, excluding China",2022,5244637433
"Less developed regions, excluding China",2023,5317083718
Land-locked Developing Countries (LLDC),2020,534511997
Land-locked Developing Countries (LLDC),2021,547769337
Land-locked Developing Countries (LLDC),2022,560014033
Land-locked Developing Countries (LLDC),2023,572243875
LLDC: Africa,2020,343996331
LLDC: Africa,2021,353667930
LLDC: Africa,2022,363092227
LLDC: Africa,2023,372653688
LLDC: Asia,2020,167228315
LLDC: Asia,2021,170666387
LLDC: Asia,2022,173363971
LLDC: Asia,2023,175712351
LLDC: Europe,2020,4976141
LLDC: Europe,2021,4906152
LLDC: Europe,2022,4843620
LLDC: Europe,2023,4916815
LLDC: Latin America,2020,18311210
LLDC: Latin America,2021,18528868
LLDC: Latin America,2022,18714215
LLDC: Latin America,2023,18961021
Small Island Developing States (SIDS),2020,70947609
Small Island Developing States (SIDS),2021,71409665
Small Island Developing States (SIDS),2022,71855234
Small Island Developing States (SIDS),2023,72605430
SIDS Caribbean,2020,45404912
SIDS Caribbean,2021,45650536
SIDS Caribbean,2022,45792075
SIDS Caribbean,2023,46001460
SIDS Pacific,2020,14447992
SIDS Pacific,2021,14707203
SIDS Pacific,2022,14953724
SIDS Pacific,2023,15190593
"SIDS Atlantic, Indian Ocean and South China Sea (AIS)",2020,11094705
