SEMANA,ANO,Casos,DATE
1,2007,250,2007-01-01
2,2007,307,2007-01-08
3,2007,301,2007-01-15
4,2007,266,2007-01-22
5,2007,357,2007-01-29
6,2007,282,2007-02-05
7,2007,367,2007-02-12
8,2007,347,2007-02-19
9,2007,327,2007-02-26
10,2007,400,2007-03-05
11,2007,402,2007-03-12
12,2007,372,2007-03-19
13,2007,441,2007-03-26
14,2007,378,2007-04-02
15,2007,595,2007-04-09
16,2007,555,2007-04-16
17,2007,483,2007-04-23
18,2007,540,2007-04-30
19,2007,486,2007-05-07
20,2007,561,2007-05-14
21,2007,419,2007-05-21
22,2007,99,2007-05-28
23,2007,358,2007-06-04
24,2007,60,2007-06-11
25,2007,124,2007-06-18
26,2007,515,2007-06-25
27,2007,529,2007-07-02
28,2007,529,2007-07-09
29,2007,519,2007-07-16
30,2007,541,2007-07-23
31,2007,500,2007-07-30
32,2007,565,2007-08-06
33,2007,533,2007-08-13
34,2007,511,2007-08-20
35,2007,712,2007-08-27
36,2007,651,2007-09-03
37,2007,651,2007-09-10
38,2007,647,2007-09-17
39,2007,789,2007-09-24
40,2007,838,2007-10-01
41,2007,768,2007-10-08
42,2007,787,2007-10-15
43,2007,855,2007-10-22
44,2007,668,2007-10-29
45,2007,828,2007-11-05
46,2007,771,2007-11-12
47,2007,841,2007-11-19
48,2007,637,2007-11-26
49,2007,649,2007-12-03
50,2007,583,2007-12-10
51,2007,513,2007-12-17
52,2007,477,2007-12-24
1,2008,515,2007-12-31
2,2008,760,2008-01-07
3,2008,785,2008-01-14
4,2008,728,2008-01-21
5,2008,794,2008-01-28
6,2008,774,2008-02-04
7,2008,760,2008-02-11
8,2008,886,2008-02-18
9,2008,930,2008-02-25
10,2008,1019,2008-03-03
11,2008,992,2008-03-10
12,2008,783,2008-03-17
13,2008,1383,2008-03-24
14,2008,1089,2008-03-31
15,2008,1247,2008-04-07
16,2008,1264,2008-04-14
17,2008,1264,2008-04-21
18,2008,1199,2008-04-28
19,2008,1089,2008-05-05
20,2008,1491,2008-05-12
21,2008,1283,2008-05-19
22,2008,1364,2008-05-26
23,2008,1233,2008-06-02
24,2008,1370,2008-06-09
25,2008,1309,2008-06-16
26,2008,1183,2008-06-23
27,2008,1255,2008-06-30
28,2008,1378,2008-07-07
