country,country_code,indicator_name,indicator_code,year,value
Brazil,BRA,"Compulsory education, duration (years)",SE.COM.DURS,2019,14.0
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,1.703
Brazil,BRA,Gini index,SI.POV.GINI,2019,53.5
Brazil,BRA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,46.0
Brazil,BRA,Income share held by highest 10%,SI.DST.10TH.10,2019,42.0
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,73.9124
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,75.338
Brazil,BRA,Net migration,SM.POP.NETM,2019,-129216.0
Brazil,BRA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,0.521852706592371
Brazil,BRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,98.9355439518362
Brazil,BRA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,89.298795927984
Brazil,BRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2019,85.1909258971105
Brazil,BRA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2019,47.8493130261362
Brazil,BRA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,21.0598118773538
Brazil,BRA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,69.6671137738846
Brazil,BRA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,9.27307434876159
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,2019,24.82076861598394
Brazil,BRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2019,5.4
Brazil,BRA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2019,0.5
Brazil,BRA,Rural population,SP.RUR.TOTL,2019,27334331.0
Brazil,BRA,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,91.0
Brazil,BRA,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2019,69.0
Chile,CHL,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2019,4300.0
Chile,CHL,"Compulsory education, duration (years)",SE.COM.DURS,2019,12.0
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,9.36262131
Chile,CHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,1.545
Chile,CHL,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,17.0
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,85.0176
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,80.326
Chile,CHL,Net migration,SM.POP.NETM,2019,181339.0
Chile,CHL,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,2019,3.666
Chile,CHL,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,0.0
Chile,CHL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,100.0
Chile,CHL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,100.0
Chile,CHL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2019,98.7713665442106
Chile,CHL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2019,95.2356042497103
Chile,CHL,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2019,2.649
Chile,CHL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,18.7029345739791
Chile,CHL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,68.97100513477
Chile,CHL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,12.3260602912509
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,2019,25.819660754345474
Chile,CHL,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2019,0.5
Chile,CHL,Rural population,SP.RUR.TOTL,2019,2372265.0
Chile,CHL,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,87.0
Chile,CHL,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2019,74.0
Colombia,COL,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2019,8700.0
Colombia,COL,"Compulsory education, duration (years)",SE.COM.DURS,2019,12.0
Colombia,COL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,1.765
Colombia,COL,Gini index,SI.POV.GINI,2019,51.3
Colombia,COL,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,35.0
Colombia,COL,Income share held by highest 10%,SI.DST.10TH.10,2019,40.3
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,65.0069
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,76.752
Colombia,COL,Net migration,SM.POP.NETM,2019,396826.0
Colombia,COL,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,3.04673147653761
Colombia,COL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,96.8925246726353
Colombia,COL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,92.151091537794
Colombia,COL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2019,73.2719193638744
Colombia,COL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2019,18.034778610067
Colombia,COL,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,2019,69.724608105128
Colombia,COL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,2019,22.1227454885225
Colombia,COL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,2019,69.6869318607033
Colombia,COL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2019,8.19032265077422
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,2019,44.98241099594412
Colombia,COL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2019,5.3
Colombia,COL,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2019,0.4
Colombia,COL,Rural population,SP.RUR.TOTL,2019,9430613.0
Colombia,COL,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,2019,81.0
Colombia,COL,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,2019,75.0
Dominican Republic,DOM,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2019,3600.0
Dominican Republic,DOM,"Compulsory education, duration (years)",SE.COM.DURS,2019,15.0
Dominican Republic,DOM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,2.344
Dominican Republic,DOM,Gini index,SI.POV.GINI,2019,41.9
Dominican Republic,DOM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2019,42.0
Dominican Republic,DOM,Income share held by highest 10%,SI.DST.10TH.10,2019,33.1
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,79.7155
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,73.577
Dominican Republic,DOM,Net migration,SM.POP.NETM,2019,-35797.0
Dominican Republic,DOM,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,2019,1.44
Dominican Republic,DOM,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2019,2.16787581605461
Dominican Republic,DOM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,2019,96.1401141515674
Dominican Republic,DOM,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,2019,87.2031083799599
Dominican Republic,DOM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2019,44.6893608651201
Dominican Republic,DOM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,2019,44.4365867783292
Dominican Republic,DOM,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,2019,49.4131682229902
