,SEMANA,ANO,Casos,DATE
0,32,2015,26,2015-08-03
1,33,2015,23,2015-08-10
2,34,2015,14,2015-08-17
3,35,2015,6,2015-08-24
4,36,2015,9,2015-08-31
5,37,2015,18,2015-09-07
6,38,2015,31,2015-09-14
7,39,2015,85,2015-09-21
8,40,2015,70,2015-09-28
9,41,2015,86,2015-10-05
10,42,2015,201,2015-10-12
11,43,2015,239,2015-10-19
12,44,2015,310,2015-10-26
13,45,2015,567,2015-11-02
14,46,2015,488,2015-11-09
15,47,2015,411,2015-11-16
16,48,2015,614,2015-11-23
17,49,2015,658,2015-11-30
18,50,2015,949,2015-12-07
19,51,2015,727,2015-12-14
20,52,2015,714,2015-12-21
21,1,2016,2172,2016-01-04
22,2,2016,2464,2016-01-11
23,3,2016,3245,2016-01-18
24,4,2016,4138,2016-01-25
25,5,2016,4212,2016-02-01
26,6,2016,3662,2016-02-08
27,7,2016,3190,2016-02-15
28,8,2016,2625,2016-02-22
29,9,2016,2615,2016-02-29
30,10,2016,2497,2016-03-07
31,11,2016,2061,2016-03-14
32,12,2016,1706,2016-03-21
33,13,2016,2763,2016-03-28
34,14,2016,2586,2016-04-04
35,15,2016,2545,2016-04-11
36,16,2016,2404,2016-04-18
37,17,2016,2284,2016-04-25
38,18,2016,2092,2016-05-02
39,19,2016,2120,2016-05-09
40,20,2016,2191,2016-05-16
41,21,2016,1833,2016-05-23
42,22,2016,1615,2016-05-30
43,23,2016,1565,2016-06-06
44,24,2016,1286,2016-06-13
45,25,2016,1138,2016-06-20
46,26,2016,820,2016-06-27
47,27,2016,778,2016-07-04
48,28,2016,632,2016-07-11
49,29,2016,474,2016-07-18
50,30,2016,465,2016-07-25
51,31,2016,350,2016-08-01
52,32,2016,264,2016-08-08
53,33,2016,266,2016-08-15
54,34,2016,228,2016-08-22
55,35,2016,198,2016-08-29
56,36,2016,168,2016-09-05
57,37,2016,129,2016-09-12
58,38,2016,143,2016-09-19
59,39,2016,129,2016-09-26
60,40,2016,99,2016-10-03
61,41,2016,87,2016-10-10
62,42,2016,105,2016-10-17
63,43,2016,82,2016-10-24
64,44,2016,88,2016-10-31
65,45,2016,57,2016-11-07
66,46,2016,53,2016-11-14
67,47,2016,59,2016-11-21
68,48,2016,55,2016-11-28
69,49,2016,67,2016-12-05
70,50,2016,60,2016-12-12
71,51,2016,56,2016-12-19
72,52,2016,39,2016-12-26
73,1,2017,57,2017-01-02
74,2,2017,42,2017-01-09
75,3,2017,74,2017-01-16
76,4,2017,82,2017-01-23
77,5,2017,74,2017-01-30
78,6,2017,78,2017-02-06
79,7,2017,63,2017-02-13
80,8,2017,62,2017-02-20
81,9,2017,71,2017-02-27
82,10,2017,64,2017-03-06
83,11,2017,45,2017-03-13
84,12,2017,35,2017-03-20
85,13,2017,47,2017-03-27
86,14,2017,38,2017-04-03
87,15,2017,37,2017-04-10
88,16,2017,51,2017-04-17
89,17,2017,42,2017-04-24
90,18,2017,27,2017-05-01
91,19,2017,35,2017-05-08
92,20,2017,35,2017-05-15
93,21,2017,34,2017-05-22
94,22,2017,25,2017-05-29
95,23,2017,30,2017-06-05
96,24,2017,22,2017-06-12
97,25,2017,23,2017-06-19
