SEMANA,ANO,idx,count,DATE
32,2015,COMFANDI IPS PASOANCHO_VALLE_CALI,1,2015-08-03
32,2015,CORPORACION IPS SALUDCOOP_NORTE SANTANDER_CUCUTA,1,2015-08-03
32,2015,ESE HOSPITAL JUAN LUIS LONDOÑOG_NORTE SANTANDER_EL ZULIA,1,2015-08-03
32,2015,ESE IMSALUD_NORTE SANTANDER_CUCUTA,11,2015-08-03
32,2015,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES,1,2015-08-03
32,2015,UNIDAD BASICA LA LIBERTAD_NORTE SANTANDER_CUCUTA,11,2015-08-03
33,2015,UNIDAD BASICA LA LIBERTAD_NORTE SANTANDER_PAMPLONA,1,2015-08-10
33,2015,UNIDAD BASICA LA LIBERTAD_NORTE SANTANDER_CUCUTA,3,2015-08-10
33,2015,ESE IMSALUD_NORTE SANTANDER_CUCUTA,12,2015-08-10
33,2015,ESE HOSPITAL JUAN LUIS LONDOÑOG_NORTE SANTANDER_EL ZULIA,1,2015-08-10
33,2015,ESE HOSPITAL EMIRO QUINTERO CAÑIZAREZ_NORTE SANTANDER_OCAÑA,1,2015-08-10
33,2015,ESE CENTRO DE SALUD NUESTRA SEÑORA DE BELEN_CASANARE_AGUAZUL,1,2015-08-10
33,2015,CORPORACION IPS SALUDCOOP_NORTE SANTANDER_CUCUTA,3,2015-08-10
33,2015,ESE HOSPITAL JOSE MARIA HERNANDEZ_PUTUMAYO_MOCOA,1,2015-08-10
34,2015,ESE IMSALUD_NORTE SANTANDER_CUCUTA,2,2015-08-17
34,2015,UNIDAD BASICA LA LIBERTAD_NORTE SANTANDER_VILLA DEL ROSARIO,1,2015-08-17
34,2015,ESE HOSPITAL LOCAL DE TAURAMENA_CASANARE_TAURAMENA,1,2015-08-17
34,2015,FUNDACION HOSPITAL SAN PEDRO_CAUCA_MERCADERES,1,2015-08-17
34,2015,ESE HOSPITAL JUAN LUIS LONDOÑOG_NORTE SANTANDER_CUCUTA,1,2015-08-17
34,2015,ESE HOSPITAL JOSE MARIA HERNANDEZ_PUTUMAYO_MOCOA,1,2015-08-17
34,2015,CORPORACION IPS SALUDCOOP_NORTE SANTANDER_CUCUTA,1,2015-08-17
34,2015,ESE HOSPITAL JUAN LUIS LONDOÑOG_NORTE SANTANDER_EL ZULIA,6,2015-08-17
35,2015,ESE HOSPITAL LOCAL DE PUERTO ASIS_PUTUMAYO_PUERTO ASIS,1,2015-08-24
35,2015,ESE HOSPITAL REGIONAL SEGUNDO NIVEL DE ATENCION VA_CASANARE_MONTERREY,1,2015-08-24
35,2015,ESE IMSALUD_NORTE SANTANDER_CUCUTA,1,2015-08-24
35,2015,HOSPITAL DEPARTAMENTAL SAN VICENTE DE PAUL_HUILA_TARQUI,1,2015-08-24
35,2015,HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARIÑO_NARIÑO_TUMACO,1,2015-08-24
35,2015,UNIDAD BASICA LA LIBERTAD_NORTE SANTANDER_CUCUTA,1,2015-08-24
36,2015,UPSS CAMU CAMILO TORRES - EL AMPARO_CORDOBA_MONTERIA,1,2015-08-31
36,2015,UNIDAD BASICA LA LIBERTAD_NORTE SANTANDER_CUCUTA,1,2015-08-31
36,2015,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES,1,2015-08-31
36,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_BARRANQUILLA,1,2015-08-31
36,2015,ESE HOSPITAL MARCO FIDEL SUAREZ_ANTIOQUIA_BELLO,1,2015-08-31
36,2015,ESE UNIDAD DE SALUD SAN FRANCISCO DE ASIS_SUCRE_SINCELEJO,1,2015-08-31
36,2015,ESE IMSALUD_NORTE SANTANDER_CUCUTA,1,2015-08-31
36,2015,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_CARTAGENA,1,2015-08-31
36,2015,HOSPITAL DEPARTAMENTAL SAN VICENTE DE PAUL_HUILA_GUADALUPE,1,2015-08-31
37,2015,ESE HOSPITAL SANTA ANA_BOYACA_MUZO,3,2015-09-07
37,2015,UNIDAD BASICA LA LIBERTAD_NORTE SANTANDER_CUCUTA,1,2015-09-07
37,2015,SECRETARIA DE SALUD DE MEDELLIN_ANTIOQUIA_MEDELLIN,2,2015-09-07
37,2015,ESE UNIDAD DE SALUD SAN FRANCISCO DE ASIS_SUCRE_SINCELEJO,1,2015-09-07
37,2015,ESE HOSPITAL MARCO FIDEL SUAREZ_ANTIOQUIA_MEDELLIN,1,2015-09-07
37,2015,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES,4,2015-09-07
