date,country,value,model
2020-01-20,Brazil,0.0,arima
2020-01-27,Brazil,0.0,arima
2020-02-03,Brazil,0.0,arima
2020-02-10,Brazil,0.0,arima
2020-02-17,Brazil,0.0,arima
2020-02-24,Brazil,0.092527376,arima
2020-03-02,Brazil,5.3375856,arima
2020-03-09,Brazil,47.99404568,arima
2020-03-16,Brazil,385.3446132,arima
2020-03-23,Brazil,3379.167721,arima
2020-03-30,Brazil,7585.592373,arima
2020-04-06,Brazil,19389.82073,arima
2020-04-13,Brazil,34743.21643,arima
2020-04-20,Brazil,56600.50216,arima
2020-04-27,Brazil,89590.61011,arima
2020-05-04,Brazil,144249.8846,arima
2020-05-11,Brazil,229148.7288,arima
2020-05-18,Brazil,323068.4292,arima
2020-05-25,Brazil,500286.8921,arima
2020-06-01,Brazil,669339.9619,arima
2020-06-08,Brazil,871121.4168,arima
2020-06-15,Brazil,1028629.421,arima
2020-06-22,Brazil,1300031.873,arima
2020-06-29,Brazil,1616470.916,arima
2020-07-06,Brazil,1839305.3,arima
2020-07-13,Brazil,2106750.9,arima
2020-07-20,Brazil,2304903.658,arima
2020-07-27,Brazil,2742267.295,arima
2020-08-03,Brazil,3034962.673,arima
2020-08-10,Brazil,3315064.453,arima
2020-08-17,Brazil,3617131.951,arima
2020-08-24,Brazil,3838939.829,arima
2020-08-31,Brazil,4093271.361,arima
2020-09-07,Brazil,4403274.719,arima
2020-09-14,Brazil,4487140.592,arima
2020-09-21,Brazil,4743823.041,arima
2020-09-28,Brazil,4909763.61,arima
2020-10-05,Brazil,5088450.553,arima
2020-10-12,Brazil,5268260.171,arima
2020-10-19,Brazil,5364396.213,arima
2020-10-26,Brazil,5553049.723,arima
2020-11-02,Brazil,5698426.611,arima
2020-11-09,Brazil,5773793.435,arima
2020-11-16,Brazil,6084099.494,arima
2020-11-23,Brazil,6292833.64,arima
2020-11-30,Brazil,6565969.196,arima
2020-12-07,Brazil,6901728.917,arima
2020-12-14,Brazil,7199818.233,arima
2020-12-21,Brazil,7571352.742,arima
2020-12-28,Brazil,7689906.861,arima
2021-01-04,Brazil,7960799.914,arima
2021-01-11,Brazil,8508158.815,arima
2021-01-18,Brazil,8872504.796,arima
2021-01-25,Brazil,9176118.519,arima
2021-02-01,Brazil,9539389.51,arima
2021-02-08,Brazil,9816693.067,arima
2021-02-15,Brazil,10143157.61,arima
2021-02-22,Brazil,10485165.61,arima
2021-03-01,Brazil,10943168.57,arima
2021-03-08,Brazil,11508479.16,arima
2021-03-15,Brazil,11932436.13,arima
2021-03-22,Brazil,12502418.73,arima
2021-03-29,Brazil,13062386.03,arima
2021-04-05,Brazil,13377132.29,arima
2021-04-12,Brazil,13960662.33,arima
2021-04-19,Brazil,14376107.75,arima
2021-04-26,Brazil,14695759.87,arima
2021-05-03,Brazil,15151384.86,arima
2021-05-10,Brazil,15606639.39,arima
2021-05-17,Brazil,16068185.81,arima
2021-05-24,Brazil,16534043.62,arima
2021-05-31,Brazil,16918845.9,arima
2021-06-07,Brazil,17364329.5,arima
2021-06-14,Brazil,17882755.38,arima
2021-06-21,Brazil,18438740.68,arima
2021-06-28,Brazil,18890010.77,arima
2021-07-05,Brazil,19055532.92,arima
2021-07-12,Brazil,19374361.03,arima
2021-07-19,Brazil,19651891.89,arima
2021-07-26,Brazil,20009460.74,arima
2021-08-02,Brazil,20178085.27,arima
2021-08-09,Brazil,20387832.05,arima
2021-08-16,Brazil,20565102.56,arima
2021-08-23,Brazil,20792995.28,arima
2021-08-30,Brazil,20919668.95,arima
2021-09-06,Brazil,21048019.45,arima
2021-09-13,Brazil,21116688.41,arima
