date,Brazil,Chile,Colombia,Dominican Republic,Germany,Italy,Mexico,Panama,US,Uruguay
1/20/2020,0,0,45.5585989,4.680077771,0,0,0,7.007919805,3.998211146,0
1/27/2020,0,0,10938.98444,2266.430966,9.977639502,1.995527954,0,2206.818949,6.998658378,0
2/3/2020,0,0,1838.540849,733.9447743,18.29886597,3.46958444,0,521.5554697,10.36499126,0
2/10/2020,0,0,3980.352816,1140.401651,14.31795938,3.174529172,0,1222.794431,15.36844103,0
2/17/2020,0,0.079742541,3107.12178,1264.76537,18.16988996,8.211070155,0,973.7615691,12.56544977,0
2/24/2020,0.092527376,6.428454344,3423.167076,921.6936464,14.84269671,545.5389561,0.094988682,973.7615691,17.42781816,0
3/2/2020,5.3375856,20.91665912,3292.894256,1097.851122,312.141135,4889.702213,12.31005458,973.7615691,60.39298825,0
3/9/2020,47.99404568,35.24991658,3347.403176,1180.59712,2260.381868,17227.82498,8.766133392,973.7615691,1440.755236,0.033046535
3/16/2020,385.3446132,270.4153772,3414.114956,1014.169875,11330.04291,53665.37903,119.5234024,1088.488905,7823.693698,24.34958868
3/23/2020,3379.167721,1827.15094,3869.210691,1509.601849,39917.21855,105813.4067,693.800345,1692.813835,93071.86856,448.4549
3/30/2020,7585.592373,4688.518038,4641.278511,2728.796872,100609.3826,129507.2448,1903.330888,2586.874762,315054.7568,418.667664
4/6/2020,19389.82073,7627.534714,5725.54189,3569.427421,127534.7747,149588.5196,3544.201674,3730.307645,629800.7748,417.2848946
4/13/2020,34743.21643,10857.36362,7642.519089,5005.112299,141645.6112,182120.811,7799.70258,5801.943341,756381.6954,569.7260327
4/20/2020,56600.50216,14298.01303,7702.197282,7402.194022,155131.8044,195449.6076,12509.73735,5704.099087,927842.8926,550.758359
4/27/2020,89590.61011,19699.44541,10791.08637,8211.629133,166155.3699,214867.8711,22322.0332,8514.589044,1195662.969,731.2879604
5/4/2020,144249.8846,33223.45608,13446.40149,10321.34688,166685.1761,218415.9848,33585.39562,8930.678604,1342526.441,664.6374058
5/11/2020,229148.7288,48196.89034,18310.68708,13872.29451,176855.4867,226157.9351,47684.3403,10672.65147,1492672.313,764.7635415
5/18/2020,323068.4292,76905.44738,23685.61318,14630.46629,177513.2327,232272.9651,64436.13319,11404.92881,1641728.647,745.7069366
5/25/2020,500286.8921,126744.3443,30344.32719,17587.64102,182237.7161,233747.9161,90371.04113,13211.85923,1809967.882,810.4006779
6/1/2020,669339.9619,165663.5686,42187.78376,20891.96845,184001.3829,236802.5551,114423.6638,17567.1297,1927839.738,906.2791574
6/8/2020,871121.4168,209376.7834,52290.04477,22047.93894,186223.8929,236996.2802,144866.6884,20019.72502,2096578.039,817.9155497
6/15/2020,1028629.421,245691.6299,66388.28446,26884.1839,188514.6426,240518.3463,177915.4487,28234.9094,2241639.607,845.4168115
6/22/2020,1300031.873,266180.9342,92793.34378,31404.46182,194557.1526,239791.1801,216018.2107,30212.76004,2505786.534,938.6280296
6/29/2020,1616470.916,298817.8033,119169.1026,35893.68604,196608.6755,243587.1221,254404.8298,38457.68797,2904368.717,1001.306019
