,Dengue,Varicela,Chikungunya,Zika
1/1/2007,314.8591277,249.8881966,NA,NA
1/8/2007,550.8949052,556.6489383,NA,NA
1/15/2007,787.2586603,863.3306618,NA,NA
1/22/2007,1055.390161,1159.63953,NA,NA
1/29/2007,1411.422632,1403.016493,NA,NA
2/5/2007,1824.331466,1804.725544,NA,NA
2/12/2007,2196.009186,2085.263994,NA,NA
2/19/2007,2561.73756,2453.428981,NA,NA
2/26/2007,2736.60472,2845.412667,NA,NA
3/5/2007,3099.114132,3132.643707,NA,NA
3/12/2007,3311.115593,3570.8006,NA,NA
3/19/2007,3591.769565,4032.904425,NA,NA
3/26/2007,3869.681331,4331.68707,NA,NA
4/2/2007,4127.61476,4851.314801,NA,NA
4/9/2007,4371.216421,5190.839825,NA,NA
4/16/2007,4751.742545,5915.008839,NA,NA
4/23/2007,5004.258456,6537.672205,NA,NA
4/30/2007,5283.252464,6903.717375,NA,NA
5/7/2007,5598.211578,7478.588549,NA,NA
5/14/2007,5914.830968,7974.763904,NA,NA
5/21/2007,6406.12212,8520.339359,NA,NA
5/28/2007,6748.215999,8917.62346,NA,NA
6/4/2007,7039.184496,8682.93969,NA,NA
6/11/2007,7499.641495,9159.126792,NA,NA
6/18/2007,7744.993477,9158.67897,NA,NA
6/25/2007,8216.581585,9121.098232,NA,NA
7/2/2007,8646.333489,10048.21259,NA,NA
7/9/2007,9062.255645,10697.49903,NA,NA
7/16/2007,9594.327604,11117.58396,NA,NA
7/23/2007,10052.9222,11726.36671,NA,NA
7/30/2007,10452.10316,12206.02454,NA,NA
8/6/2007,10847.55527,12734.06509,NA,NA
8/13/2007,11030.40522,13303.35284,NA,NA
8/20/2007,11425.31321,13849.75167,NA,NA
8/27/2007,11686.0305,14329.95252,NA,NA
9/3/2007,12039.02969,15166.54643,NA,NA
9/10/2007,12315.7096,15882.20076,NA,NA
9/17/2007,12682.7149,16431.91091,NA,NA
9/24/2007,13100.01587,17136.58401,NA,NA
10/1/2007,13504.12824,18003.4163,NA,NA
10/8/2007,13837.18282,18926.30587,NA,NA
10/15/2007,14094.28438,19655.09627,NA,NA
10/22/2007,14363.13693,20398.73235,NA,NA
10/29/2007,14763.48904,21365.14827,NA,NA
11/5/2007,14962.87339,21875.58515,NA,NA
11/12/2007,15304.42068,22767.50675,NA,NA
11/19/2007,15631.86859,23585.04329,NA,NA
11/26/2007,16008.67421,24414.60911,NA,NA
12/3/2007,16291.43188,24947.18044,NA,NA
12/10/2007,16563.33696,25531.34419,NA,NA
12/17/2007,16774.32303,26082.73134,NA,NA
12/24/2007,16877.2833,26550.07639,NA,NA
12/31/2007,17179.08151,26934.27958,NA,NA
1/7/2008,17637.0702,27536.42523,NA,NA
1/14/2008,18117.65488,28428.41526,NA,NA
1/21/2008,18562.42926,29363.85934,NA,NA
1/28/2008,18943.78482,29976.95262,NA,NA
2/4/2008,19331.47572,30830.67078,NA,NA
2/11/2008,19674.58997,31626.32083,NA,NA
2/18/2008,20084.01526,32330.58859,NA,NA
2/25/2008,20437.50226,33341.00548,NA,NA
3/3/2008,20756.31901,34325.21627,NA,NA
3/10/2008,21101.49235,35414.074,NA,NA
3/17/2008,21352.03741,36413.20443,NA,NA
3/24/2008,21656.89316,37025.04551,NA,NA
3/31/2008,21980.38286,38767.46983,NA,NA
4/7/2008,22383.9545,39919.7748,NA,NA
4/14/2008,22689.92412,41017.91078,NA,NA
4/21/2008,23016.43475,42465.77249,NA,NA
4/28/2008,23298.9483,43709.38141,NA,NA
5/5/2008,23564.01279,44787.05911,NA,NA
5/12/2008,23952.2912,45901.18641,NA,NA
5/19/2008,24236.85095,47511.55943,NA,NA
5/26/2008,24582.66051,48945.59095,NA,NA
6/2/2008,24815.77874,50093.53169,NA,NA
6/9/2008,25203.37613,51406.38216,NA,NA
6/16/2008,25486.92204,52776.17556,NA,NA
6/23/2008,25806.44781,54082.05089,NA,NA
6/30/2008,26102.98563,55206.28245,NA,NA
7/7/2008,26425.23562,56371.47555,NA,NA
7/14/2008,26781.72191,58014.76789,NA,NA
7/21/2008,27053.58499,59229.45412,NA,NA
7/28/2008,27382.33225,60516.78431,NA,NA
8/4/2008,27647.90085,61732.13539,NA,NA
8/11/2008,27856.95599,62962.43431,NA,NA
8/18/2008,28111.57256,64488.40075,NA,NA
8/25/2008,28371.47515,65839.80895,NA,NA
9/1/2008,28620.82496,67386.62739,NA,NA
9/8/2008,28910.60933,69248.01573,NA,NA
9/15/2008,29188.05741,70958.6101,NA,NA
9/22/2008,29463.88485,72528.05602,NA,NA
9/29/2008,29795.72645,74547.93565,NA,NA
10/6/2008,30077.00851,76220.44709,NA,NA
10/13/2008,30471.93939,78016.38251,NA,NA
10/20/2008,30770.71142,79875.06581,NA,NA
10/27/2008,31183.51127,81849.95284,NA,NA
11/3/2008,31534.03988,83817.68051,NA,NA
11/10/2008,31770.56402,85750.90721,NA,NA
11/17/2008,32169.28908,87583.15799,NA,NA
11/24/2008,32431.07936,89425.33045,NA,NA
12/1/2008,32603.42206,90358.91201,NA,NA
12/8/2008,33065.74249,91331.67871,NA,NA
12/15/2008,33283.46177,NA,NA,NA
12/22/2008,33620.21434,90550.22077,NA,NA
12/29/2008,33802.27183,90211.81877,NA,NA
1/5/2009,34631.54558,92851.92926,NA,NA
1/12/2009,35090.2664,94517.15035,NA,NA
1/19/2009,35541.18126,95688.36667,NA,NA
1/26/2009,35897.03697,96854.87347,NA,NA
2/2/2009,36361.09215,98413.60555,NA,NA
2/9/2009,36676.71463,99456.63265,NA,NA
2/16/2009,36999.11073,101187.6504,NA,NA
2/23/2009,37318.5186,102482.8065,NA,NA
3/2/2009,37752.4816,104790.1698,NA,NA
3/9/2009,37968.40124,106290.585,NA,NA
3/16/2009,38306.43881,108127.0893,NA,NA
3/23/2009,38620.59101,109731.0365,NA,NA
3/30/2009,38929.77225,111470.7787,NA,NA
4/6/2009,39225.50301,112754.1886,NA,NA
4/13/2009,39649.44687,114954.8542,NA,NA
4/20/2009,40102.52386,116609.6222,NA,NA
4/27/2009,40335.22667,118110.2397,NA,NA
5/4/2009,40688.78645,119714.1618,NA,NA
5/11/2009,41100.92885,121533.581,NA,NA
5/18/2009,41616.45586,123055.1549,NA,NA
5/25/2009,42006.27447,124682.8292,NA,NA
6/1/2009,42508.17784,126208.7503,NA,NA
6/8/2009,43011.67072,127468.7761,NA,NA
6/15/2009,43412.32466,128722.1519,NA,NA
6/22/2009,43795.45776,130058.8531,NA,NA
6/29/2009,44311.74837,131447.2238,NA,NA
7/6/2009,44841.93332,133077.7897,NA,NA
7/13/2009,45354.91528,134486.5613,NA,NA
7/20/2009,45938.73212,135786.2651,NA,NA
7/27/2009,46476.36628,137328.6679,NA,NA
8/3/2009,47031.90002,138478.7774,NA,NA
8/10/2009,47552.65344,139963.8221,NA,NA
8/17/2009,48086.93754,141272.8245,NA,NA
8/24/2009,48600.39268,142767.9805,NA,NA
8/31/2009,49153.67722,144107.6739,NA,NA
9/7/2009,49655.02131,145482.9349,NA,NA
9/14/2009,50216.60869,146821.1791,NA,NA
9/21/2009,50863.99972,147978.6816,NA,NA
9/28/2009,51442.70838,149252.246,NA,NA
10/5/2009,51934.89308,150472.5855,NA,NA
10/12/2009,52594.18818,152091.3094,NA,NA
10/19/2009,53180.03902,153492.8597,NA,NA
10/26/2009,53566.79288,154565.6234,NA,NA
11/2/2009,54236.23106,156118.2557,NA,NA
11/9/2009,54712.73845,157442.5804,NA,NA
11/16/2009,55369.88433,158662.5384,NA,NA
11/23/2009,56101.62751,159798.0331,NA,NA
11/30/2009,56780.91342,160709.7039,NA,NA
12/7/2009,57689.23994,161767.725,NA,NA
12/14/2009,58462.72189,162725.9295,NA,NA
12/21/2009,59167.15332,163360.4361,NA,NA
1/4/2010,59847.65308,164174.7444,NA,NA
1/11/2010,61016.83862,165361.1442,NA,NA
1/18/2010,61940.51927,166483.0324,NA,NA
1/25/2010,63217.93083,167614.6754,NA,NA
2/1/2010,64607.44997,168643.3527,NA,NA
2/8/2010,66286.74912,169947.9244,NA,NA
2/15/2010,68108.13136,171048.7188,NA,NA
2/22/2010,70047.87312,172172.3657,NA,NA
3/1/2010,71639.59941,173331.1227,NA,NA
3/8/2010,73505.3625,174622.7717,NA,NA
3/15/2010,75150.28621,176161.1431,NA,NA
3/22/2010,76911.02473,177434.8889,NA,NA
3/29/2010,77819.8281,178288.8705,NA,NA
4/5/2010,79296.41464,179560.4936,NA,NA
4/12/2010,80867.73022,181045.5954,NA,NA
4/19/2010,82010.89564,182208.5095,NA,NA
4/26/2010,83403.67882,183598.3776,NA,NA
5/3/2010,84544.92954,184842.0285,NA,NA
5/10/2010,85801.7305,185964.5832,NA,NA
5/17/2010,87207.3415,187365.4353,NA,NA
5/24/2010,88363.55405,188837.8437,NA,NA
5/31/2010,89429.74567,189962.4454,NA,NA
6/7/2010,90670.04534,191255.684,NA,NA
6/14/2010,91571.36054,192431.0932,NA,NA
6/21/2010,92499.94246,193514.0981,NA,NA
6/28/2010,93544.67453,194635.299,NA,NA
7/5/2010,94425.01012,195676.015,NA,NA
7/12/2010,95413.01258,196974.5975,NA,NA
7/19/2010,96136.66847,198149.2976,NA,NA
7/26/2010,97119.68012,199398.0157,NA,NA
8/2/2010,97949.45384,200592.1349,NA,NA
8/9/2010,98657.13646,201915.9979,NA,NA
8/16/2010,99325.16466,203342.2308,NA,NA
8/23/2010,99939.22336,204997.0426,NA,NA
8/30/2010,100469.6887,206433.4828,NA,NA
9/6/2010,100980.9444,208205.3823,NA,NA
9/13/2010,101460.4759,210008.8995,NA,NA
9/20/2010,101786.9537,211912.0566,NA,NA
9/27/2010,102203.1759,213772.1195,NA,NA
10/4/2010,102534.631,215796.6099,NA,NA
10/11/2010,102865.4888,218013.25,NA,NA
10/18/2010,103193.8342,219994.9942,NA,NA
10/25/2010,103423.3861,222455.0894,NA,NA
11/1/2010,103661.5673,223964.928,NA,NA
11/8/2010,103972.6429,226616.7481,NA,NA
11/15/2010,104220.8358,228601.7225,NA,NA
11/22/2010,104407.3835,230248.1648,NA,NA
11/29/2010,104620.0197,232150.2132,NA,NA
12/6/2010,104861.3246,233629.727,NA,NA
12/13/2010,104982.779,235143.9376,NA,NA
12/20/2010,105123.9239,236828.3076,NA,NA
12/27/2010,105288.5694,237781.2878,NA,NA
1/3/2011,105400.2908,238456.0949,NA,NA
1/10/2011,105983.9349,240387.5199,NA,NA
1/17/2011,106407.104,242232.9113,NA,NA
1/24/2011,106773.4124,243740.9688,NA,NA
1/31/2011,107048.5078,245184.2805,NA,NA
2/7/2011,107347.7319,246762.1589,NA,NA
2/14/2011,107573.4893,248273.5773,NA,NA
2/21/2011,107843.7607,250097.134,NA,NA
2/28/2011,108089.1566,251932.7381,NA,NA
3/7/2011,108343.7332,253954.6438,NA,NA
3/14/2011,108576.2099,256117.8633,NA,NA
3/21/2011,108741.642,258408.4659,NA,NA
3/28/2011,108954.0167,261005.3984,NA,NA
4/4/2011,109240.3729,263378.6886,NA,NA
4/11/2011,109402.2863,265895.2543,NA,NA
4/18/2011,109682.5133,267741.7482,NA,NA
4/25/2011,109867.7428,269715.8616,NA,NA
5/2/2011,110133.4673,272579.0664,NA,NA
5/9/2011,110369.2111,275153.3041,NA,NA
5/16/2011,110600.1979,277833.025,NA,NA
5/23/2011,110892.5461,280142.137,NA,NA
5/30/2011,111105.0244,282391.3468,NA,NA
6/6/2011,111337.0139,285205.0729,NA,NA
6/13/2011,111606.2856,287255.6236,NA,NA
6/20/2011,111809.7176,289351.8262,NA,NA
6/27/2011,112028.1174,291169.5827,NA,NA
7/4/2011,112258.6849,293131.7733,NA,NA
7/11/2011,112524.002,295682.8573,NA,NA
7/18/2011,112717.2845,298146.6984,NA,NA
7/25/2011,112937.4511,300000.286,NA,NA
8/1/2011,113100.6807,302426.5673,NA,NA
8/8/2011,113358.8871,304661.6952,NA,NA
8/15/2011,113617.5341,307120.0714,NA,NA
8/22/2011,113814.1245,309717.2115,NA,NA
8/29/2011,114033.4772,312669.0894,NA,NA
9/5/2011,114225.1107,315623.3087,NA,NA
9/12/2011,114426.4258,318906.0884,NA,NA
9/19/2011,114622.1929,322202.2594,NA,NA
9/26/2011,114894.9022,325779.3668,NA,NA
10/3/2011,115091.4474,329091.9147,NA,NA
10/10/2011,115306.7904,331972.2944,NA,NA
10/17/2011,115536.6749,335077.3073,NA,NA
10/24/2011,115759.7741,338489.0872,NA,NA
10/31/2011,115953.6098,341099.6305,NA,NA
11/7/2011,116195.7815,344404.1068,NA,NA
11/14/2011,116465.908,347510.3026,NA,NA
11/21/2011,116688.5493,349925.4057,NA,NA
11/28/2011,116933.0488,352228.4421,NA,NA
12/5/2011,117220.528,354389.4106,NA,NA
12/12/2011,117480.3968,355991.9658,NA,NA
12/19/2011,117756.2967,357668.6518,NA,NA
12/26/2011,118046.0299,358973.6539,NA,NA
1/2/2012,118330.5574,360119.4819,NA,NA
1/9/2012,118980.6941,362562.0008,NA,NA
1/16/2012,119493.3577,364160.8132,NA,NA
1/23/2012,120056.3018,365470.2081,NA,NA
1/30/2012,120646.3035,367116.4575,NA,NA
2/6/2012,121136.1324,368712.9305,NA,NA
2/13/2012,121768.2159,370085.0791,NA,NA
2/20/2012,122338.3088,371823.6563,NA,NA
2/27/2012,123022.5176,373321.8745,NA,NA
3/5/2012,123583.0406,375240.7046,NA,NA
3/12/2012,124176.6151,377004.2827,NA,NA
3/19/2012,124603.4442,379092.5646,NA,NA
3/26/2012,125166.8254,381032.2004,NA,NA
4/2/2012,125439.5155,382698.7888,NA,NA
4/9/2012,125855.2283,384321.5706,NA,NA
4/16/2012,126481.3136,386822.1748,NA,NA
4/23/2012,126978.8909,388851.5013,NA,NA
4/30/2012,127441.5386,391183.2769,NA,NA
5/7/2012,128011.7145,393184.8129,NA,NA
5/14/2012,128510.3152,395019.4581,NA,NA
5/21/2012,128956.4633,396935.2945,NA,NA
5/28/2012,129479.1702,399079.2854,NA,NA
6/4/2012,130177.2126,400859.6242,NA,NA
6/11/2012,130744.7133,402722.5912,NA,NA
6/18/2012,131297.0659,404298.5691,NA,NA
6/25/2012,131806.6832,405682.2083,NA,NA
7/2/2012,132276.7418,407036.5352,NA,NA
7/9/2012,132886.4782,409135.9785,NA,NA
7/16/2012,133385.4132,411218.3692,NA,NA
7/23/2012,133820.0616,412822.0924,NA,NA
7/30/2012,134297.8878,414614.4211,NA,NA
8/6/2012,134708.5663,416415.017,NA,NA
8/13/2012,135100.8221,418304.6954,NA,NA
8/20/2012,135513.8432,420350.6388,NA,NA
8/27/2012,135970.4824,422392.6875,NA,NA
9/3/2012,136472.5193,424844.4949,NA,NA
9/10/2012,136890.9958,427218.7307,NA,NA
9/17/2012,137299.4902,429627.4397,NA,NA
9/24/2012,137790.4258,432530.7243,NA,NA
10/1/2012,138195.1021,435012.0724,NA,NA
