date,Brazil,Chile,Colombia,Dominican Republic,Germany,Italy,Mexico,Panama,US,Uruguay
1/20/2020,74632.90136,7947.849287,6443.371662,2076.55598,1102.259542,12558.99231,14426.89826,3252.346076,185629.3971,375.0217948
1/27/2020,151771.6272,16043.44896,13283.80689,4197.221652,2278.056754,25510.79335,29229.14923,6541.561379,375835.0637,768.5964753
2/3/2020,231488.555,24289.53484,20544.80834,6362.691007,3532.294246,38867.6733,44415.18273,9868.050717,570718.3772,1181.629924
2/10/2020,313857.3021,32688.89302,28251.14535,8573.657293,4870.201001,52642.28462,59993.54326,13232.22304,770382.3646,1615.071037
2/17/2020,398952.682,41244.36075,36428.90604,10830.81236,6297.354026,66847.67388,75972.88707,16634.49146,974931.6959,2069.913642
2/24/2020,486850.6536,49958.82733,45105.5493,13134.84596,7819.701446,81497.294,92361.97896,20075.27333,1184472.677,2547.198486
3/2/2020,577628.2646,58835.23513,54309.95639,15486.44503,9443.58711,96605.01684,109169.6888,23554.99022,1399113.24,3048.015305
3/9/2020,671363.5871,67876.58046,64072.48166,17886.29292,11175.77683,112185.1461,126404.9874,27074.06799,1618962.929,3573.50496
3/16/2020,768135.6468,77085.9146,74425.00189,20335.06865,13023.48631,128252.4308,144076.9425,30632.93682,1844132.887,4124.861651
3/23/2020,868024.3439,86466.34475,85400.96369,22833.44605,14994.41098,144822.079,162194.7142,34232.03125,2074735.838,4703.335218
3/30/2020,971110.3661,96021.03507,97035.42834,25382.09291,17096.75771,161909.7719,180767.5492,37871.7902,2310886.065,5310.233504
4/6/2020,1077475.093,105753.2077,109365.1133,27981.67014,19339.27865,179531.6786,199804.776,41552.65702,2552699.387,5946.924807
4/13/2020,1187200.493,115666.1437,122428.4297,30632.83086,21731.30726,197704.4711,219315.7989,45275.07953,2800293.132,6614.840408
4/20/2020,1300369.009,125763.1844,136265.5146,33336.21941,24282.79674,216445.3399,239310.0911,49039.51002,3053786.11,7315.477176
4/27/2020,1417063.435,136047.7321,150918.2574,36092.47044,27004.36091,235772.0099,259797.1884,52846.40534,3313298.573,8050.400247
5/4/2020,1537366.785,146523.2513,166430.3192,38902.20786,29907.31779,255702.7571,280786.6813,56696.22691,3578952.187,8821.245788
5/11/2020,1661362.15,157193.2701,182847.1434,41766.04385,33003.73601,276256.4252,302288.208,60589.44075,3850869.982,9629.723824
5/18/2020,1789132.548,168061.3809,200215.9567,44684.57778,36306.48427,297452.4436,324311.445,64526.51751,4129176.314,10477.62115
5/25/2020,1920760.754,179131.2418,218585.7596,47658.39514,39829.2839,319310.8451,346866.0989,68507.93255,4413996.816,11366.80429
6/1/2020,2056329.131,190406.5776,238007.303,50688.06641,43586.76498,341852.2845,369961.8971,72534.16592,4705458.34,12299.22256
6/8/2020,2195919.446,201891.1814,258533.0514,53774.14592,47594.52594,365098.0579,393608.5771,76605.70244,5003688.907,13276.91115
6/15/2020,2339612.67,213588.9152,280217.1293,56917.1707,51869.19709,389070.1223,417815.8768,80723.03172,5308817.641,14301.99429
6/22/2020,2487488.773,225503.7117,303115.2496,60117.65927,56428.5082,413791.1161,442593.5227,84886.64817,5620974.702,15376.68846
6/29/2020,2639626.505,237639.5752,327284.6222,63376.11048,61291.36042,439284.3797,467951.2187,89097.05111,5940291.219,16503.30564
7/6/2020,2796103.17,250000.583,352783.8401,66693.00218,66477.9028,465573.9775,493898.6336,93354.74472,6266899.212,17684.2566
7/13/2020,2956994.379,262590.8866,379672.7414,70068.79007,72009.61368,492684.7197,520445.3881,97660.23814,6600931.508,18922.05419
7/20/2020,3122373.806,275414.7134,408012.245,73503.90637,77909.38727,520642.1854,547601.0418,102014.0455,6942521.66,20219.3167
7/27/2020,3292312.923,288476.3673,437864.1574,76998.75854,84201.62568,549472.7462,575375.0784,106416.6858,7291803.851,21578.77118
8/3/2020,3466880.728,301780.2309,469290.9497,80553.72803,90912.33679,579203.5903,603776.8916,110868.6834,7648912.798,23003.25673
8/10/2020,3646143.467,315330.7664,502355.5011,84169.16888,98069.23827,609862.7476,632815.7694,115370.5674,8013983.65,24495.72783
