date,Chile,Colombia,Italy,Mexico,US
2020-03-23,125969.83,-1461045.1,-961872.3,-166037.03,-3535168.2
2020-03-30,201984.83,-1279773.1,-609544.3,-36595.03,-1680544.2
2020-04-06,280018.8,-1096951.1,-310240.28,96682.97,444751.75
2020-04-13,359231.8,-914169.2,-25448.283,233706.97,2437135.8
2020-04-20,440471.8,-720895.2,201923.72,379356.97,4358496.0
2020-04-27,527556.8,-518961.2,409791.72,533916.94,6241648.0
2020-05-04,628653.8,-313703.2,600441.7,695388.94,8052352.0
2020-05-11,745909.8,-104347.19,783539.7,865208.94,9739536.0
2020-05-18,895154.8,108036.81,957763.7,1046022.94,11411056.0
2020-05-25,1080831.4,327688.8,1122039.8,1247145.0,13023504.0
2020-06-01,1282972.4,555840.8,1284107.8,1462571.0,14644464.0
2020-06-08,1492467.4,793780.8,1437881.8,1693137.0,16268048.0
2020-06-15,1686343.4,1047254.8,1590845.8,1936153.0,18014192.0
2020-06-22,1859730.4,1315268.9,1743641.8,2199909.0,20112688.0
2020-06-29,2013509.9,1597958.9,1899383.8,2463199.0,22666384.0
2020-07-06,2149973.2,1895406.9,2059357.8,2750520.0,25536336.0
2020-07-13,2273972.8,2230510.8,2220471.8,3043158.0,28761232.0
2020-07-20,2389569.2,2606700.8,2382397.8,3351149.0,32060096.0
2020-07-27,2503294.8,3014064.8,2552241.8,3664304.0,35306800.0
2020-08-03,2609657.2,3456056.8,2738593.8,3978127.0,38269810.0
2020-08-10,2716787.8,3920488.8,2940777.8,4281267.0,41225904.0
2020-08-17,2819646.2,4388327.0,3160249.8,4571620.0,43805504.0
2020-08-24,2924048.2,4828495.0,3394345.8,4855047.0,46202704.0
2020-08-31,3029531.2,5235853.0,3644765.8,5142516.0,48580130.0
2020-09-07,3130470.2,5617403.0,3898571.8,5420545.0,50810304.0
2020-09-14,3228656.2,5985895.0,4152509.8,5683608.0,53187024.0
2020-09-21,3322392.8,6352407.0,4426995.5,5942194.0,55646750.0
2020-09-28,3422416.8,6706961.0,4717397.5,6207217.0,58201456.0
2020-10-05,3518134.8,7081606.0,5042193.5,6560173.0,60929680.0
2020-10-12,3610896.2,7461804.0,5456515.5,6822953.0,63970560.0
2020-10-19,3703744.2,7843774.0,6051037.5,7107939.0,67539470.0
2020-10-26,3794701.8,8261483.0,6915423.5,7393449.0,71654000.0
2020-11-02,3887031.8,8687634.0,7996593.5,7671333.0,76604740.0
2020-11-09,3982405.8,9083683.0,9203448.0,7964697.0,82773980.0
2020-11-16,4077216.8,9467386.0,10416790.0,8219591.0,90360460.0
2020-11-23,4170544.2,9861444.0,11480774.0,8577906.0,98305760.0
2020-11-30,4269301.5,10281514.0,12372154.0,8968141.0,106797950.0
2020-12-07,4372826.5,10685131.0,13149786.0,9384661.0,116742240.0
2020-12-14,4483285.0,11129151.0,13887110.0,9803097.0,127139520.0
2020-12-21,4603184.5,11636498.0,14582234.0,10208916.0,137014180.0
2020-12-28,4728119.5,12124542.0,15256218.0,10595565.0,146768260.0
2021-01-04,4867709.0,12662923.0,16003724.0,11009615.0,158216160.0
2021-01-11,5030171.5,13269399.0,16756499.0,11520938.0,169642860.0
2021-01-18,5197313.5,13887375.0,17424242.0,12106498.0,178676860.0
2021-01-25,5365489.0,14414628.0,18069768.0,12669525.0,186406580.0
2021-02-01,5524499.0,14853177.0,18704448.0,13097509.0,193022700.0
2021-02-08,5684349.5,15210886.0,19350388.0,13500268.0,198141010.0
2021-02-15,5847297.5,15525659.0,19993784.0,13851341.0,201913540.0
2021-02-22,6012976.0,15832807.0,20702328.0,14181073.0,205396000.0
2021-03-01,6193616.5,16138515.0,21524546.0,14499748.0,208634190.0
2021-03-08,6395755.0,16438289.0,22419608.0,14801288.0,211522380.0
2021-03-15,6615152.0,16753795.0,23339982.0,15066935.0,214414340.0
2021-03-22,6855522.0,17112934.0,24266858.0,15315894.0,217403730.0
2021-03-29,7126632.5,17537300.0,25148026.0,15515733.0,220380210.0
2021-04-05,7403526.0,18040932.0,25930266.0,15684418.0,223153890.0
2021-04-12,7696685.0,18703964.0,26665826.0,15849306.0,225826160.0
2021-04-19,8007872.0,19441134.0,27356776.0,15997414.0,227646930.0
2021-04-26,8318163.5,20207516.0,27991984.0,16162371.0,229156450.0
2021-05-03,8628885.0,21242824.0,28557166.0,16324633.0,230842240.0
2021-05-10,8965212.0,23015442.0,28971276.0,16514302.0,232609170.0
2021-05-17,9317154.0,24365390.0,29264802.0,16720139.0,234125760.0
2021-05-24,9649773.0,25340380.0,29523560.0,16930614.0,234709360.0
2021-05-31,9966777.0,26354660.0,29793616.0,17124694.0,234520050.0
2021-06-07,10314264.0,27297284.0,29962988.0,17315314.0,234595790.0
2021-06-14,10627740.0,28212880.0,30023224.0,17554584.0,234783650.0
2021-06-21,10873600.0,29165328.0,30014310.0,17802224.0,235468180.0
2021-06-28,11054297.0,30142918.0,29999856.0,18098748.0,236630100.0
2021-07-05,11192707.0,30976274.0,29995298.0,18514582.0,238113440.0
2021-07-12,11307429.0,31633512.0,30044052.0,19127012.0,240245950.0
2021-07-19,11385369.0,32181216.0,30168764.0,19958726.0,242920930.0
2021-07-26,11450266.0,32596574.0,30349298.0,20871568.0,246972020.0
2021-08-02,11501449.0,32940016.0,30590568.0,21747774.0,252708200.0
2021-08-09,11545296.0,33209056.0,30839556.0,22605606.0,260427760.0
2021-08-16,11585302.0,33440650.0,31134966.0,23409804.0,269530100.0
2021-08-23,11624426.0,33655016.0,31542552.0,24142746.0,277380480.0
2021-08-30,11660291.0,33851456.0,31939890.0,24760874.0,285330270.0
2021-09-06,11694756.0,34038596.0,32295356.0,25321546.0,292553470.0
2021-09-13,11733202.0,34222028.0,32605884.0,25778084.0,300017760.0
2021-09-20,11778449.0,34403916.0,32875068.0,26186620.0,306356100.0
2021-09-27,11836954.0,34584988.0,33109708.0,26572700.0,311989380.0
2021-10-04,11898416.0,34764668.0,33325278.0,26876606.0,316978180.0
2021-10-11,11971152.0,34942530.0,33522042.0,27176040.0,321584900.0
2021-10-18,12063847.0,35123836.0,33737852.0,27409982.0,326114980.0
2021-10-25,12172342.0,35315980.0,34015160.0,27620918.0,330417440.0
2021-11-01,12287922.0,35511570.0,34344840.0,27809480.0,334788060.0
2021-11-08,12422615.0,35719030.0,34750404.0,27998144.0,339387100.0
2021-11-15,12561641.0,35931692.0,35247800.0,28172342.0,344686100.0
2021-11-22,12697093.0,36145880.0,35872424.0,28360934.0,349653440.0
2021-11-29,12820015.0,36357520.0,36683944.0,28542178.0,355560960.0
2021-12-06,12922544.0,36561216.0,37758964.0,28712870.0,362564450.0
2021-12-13,13014965.0,36766936.0,39164350.0,28881258.0,369809280.0
2021-12-20,13100397.0,36976452.0,41322170.0,29049910.0,379963140.0
2021-12-27,13187326.0,37256924.0,46033556.0,29273850.0,398997900.0
2022-01-03,13304568.0,37770010.0,54900270.0,29835120.0,433192740.0
2022-01-10,13544352.0,38620320.0,65396428.0,30943040.0,467132400.0
2022-01-17,14043912.0,39530630.0,73935896.0,32482996.0,496554370.0
2022-01-24,15009062.0,40272364.0,80198540.0,34108080.0,521153700.0
2022-01-31,16532459.0,40828692.0,84846696.0,35453530.0,536492860.0
2022-02-07,18418434.0,41239030.0,88226390.0,36387790.0,545984260.0
2022-02-14,20224748.0,41519010.0,90685810.0,37195184.0,552166700.0
2022-02-21,21518552.0,41748628.0,92713740.0,37839360.0,556655300.0
2022-02-28,22458630.0,41943696.0,94412150.0,38287612.0,560314300.0
2022-03-07,23170990.0,42120444.0,96324536.0,38660744.0,563198300.0
2022-03-14,23739924.0,42288852.0,98889580.0,38934550.0,565865860.0
2022-03-21,24165554.0,42453732.0,101861810.0,39146052.0,568518100.0
2022-03-28,24458754.0,42619700.0,104779360.0,39337708.0,570988700.0
2022-04-04,24677366.0,42785544.0,107527224.0,39648720.0,573566100.0
2022-04-11,24856644.0,42950556.0,110101640.0,39878212.0,576470900.0
2022-04-18,25010190.0,43107760.0,112528550.0,40012436.0,579637900.0
2022-04-25,25158416.0,43264916.0,114988100.0,40134256.0,583240000.0
2022-05-02,25307428.0,43420004.0,117053660.0,40233224.0,587310800.0
2022-05-09,25490564.0,43582504.0,118788270.0,40351348.0,592061800.0
2022-05-16,25722522.0,43753110.0,120250050.0,40474188.0,597630460.0
2022-05-23,26005158.0,43927984.0,121382824.0,40599110.0,603230700.0
2022-05-30,26339552.0,44106268.0,122334696.0,40798644.0,608722560.0
2022-06-06,26723244.0,44292656.0,123322300.0,41018464.0,614493300.0
2022-06-13,27152736.0,44493548.0,124589460.0,41313076.0,620018240.0
2022-06-20,27552440.0,44713624.0,126451944.0,41758544.0,625370430.0
2022-06-27,27939808.0,44950730.0,129106776.0,42429868.0,631240700.0
2022-07-04,28312822.0,45193692.0,132622184.0,43322864.0,636839600.0
2022-07-11,28659982.0,45438370.0,136587950.0,44408068.0,643354000.0
2022-07-18,28967644.0,45683492.0,139844350.0,45437560.0,649709300.0
2022-07-25,29296342.0,45915948.0,142371400.0,46187450.0,656252700.0
2022-08-01,29658538.0,46129576.0,144315570.0,46927876.0,662302500.0
2022-08-08,30065470.0,46324708.0,145765820.0,47384460.0,668067100.0
2022-08-15,30457976.0,46510060.0,146901680.0,47771300.0,673358600.0
2022-08-22,30811854.0,46693972.0,148063790.0,48115844.0,678378600.0
2022-08-29,31094680.0,46866892.0,149131470.0,48402984.0,683153600.0
2022-09-05,31339262.0,47031410.0,150071020.0,48624260.0,687389300.0
2022-09-12,31505364.0,47192800.0,150977740.0,48800532.0,691446460.0
2022-09-19,31701696.0,47353268.0,151968430.0,48977532.0,695149700.0
2022-09-26,31908406.0,47513004.0,153262580.0,49118852.0,698679740.0
2022-10-03,32090590.0,47672260.0,154916540.0,49247310.0,701907800.0
2022-10-10,32278214.0,47831130.0,156725800.0,49376580.0,704962800.0
2022-10-17,32507288.0,47995670.0,158400960.0,49492016.0,707923000.0
2022-10-24,32772424.0,48159516.0,159850100.0,49603932.0,710873300.0
2022-10-31,33024166.0,48321844.0,160772260.0,49710056.0,713964900.0
2022-11-07,33313610.0,48485080.0,161830030.0,49806108.0,717028740.0
2022-11-14,33583620.0,48649484.0,163146050.0,49905570.0,720179600.0
2022-11-21,33830916.0,48810820.0,164583950.0,50015190.0,723370400.0
2022-11-28,34050024.0,48969180.0,166077420.0,50123844.0,726926340.0
2022-12-05,34244124.0,49135708.0,167553020.0,50332788.0,730979400.0
2022-12-12,34430980.0,49305590.0,168911260.0,50533244.0,735129500.0
2022-12-19,34630580.0,49489184.0,170056930.0,50758284.0,739358600.0
