date,dengue_1,zika_1,chikungunya_1,varicella_1
2020-03-23,995.4176,1.3965418,2.440722,243.62933
2020-03-30,921.05743,1.3670931,1.2463466,155.03609
2020-04-06,845.61456,1.5771126,1.0426975,147.73442
2020-04-13,858.8329,1.2376598,1.4082214,152.44543
2020-04-20,827.2445,1.2639195,1.1902633,144.73283
2020-04-27,761.08044,0.874968,1.1758286,136.12697
2020-05-04,754.4216,1.2614563,1.081643,150.06888
2020-05-11,779.1146,1.330703,1.1185694,143.64906
2020-05-18,733.08795,0.9955117,1.1090672,142.75537
2020-05-25,610.3378,0.7959622,1.081268,130.5526
2020-06-01,655.52844,1.3042873,1.1259524,136.6188
2020-06-08,506.03796,1.1448717,1.14659,132.11401
2020-06-15,492.29297,1.2783061,1.0766723,127.359886
2020-06-22,481.4126,1.2702149,1.076432,115.212776
2020-06-29,467.68823,1.1805857,1.0730228,115.71914
2020-07-06,409.6449,1.2124271,1.1389844,105.86625
2020-07-13,322.31714,1.4069103,1.05337,114.97741
2020-07-20,331.2889,1.5174847,1.0664569,113.834236
2020-07-27,278.4707,1.2995368,1.0695223,114.701866
2020-08-03,298.8007,0.92444974,1.1090117,119.45936
2020-08-10,265.22955,0.90789604,1.0771787,128.82324
2020-08-17,265.23053,0.87111586,1.1524987,128.23106
2020-08-24,279.42978,0.7816598,1.1533363,125.20069
2020-08-31,253.61235,0.78578,1.1607393,130.48186
2020-09-07,313.318,1.0495795,1.1565107,132.59251
2020-09-14,292.76627,0.8178808,1.2014112,144.19353
2020-09-21,292.85498,0.8873103,1.1395015,146.14975
2020-09-28,287.4422,0.7894237,1.1373506,142.99826
2020-10-05,318.50397,0.80744773,1.1385922,150.43207
2020-10-12,324.29437,0.80087733,1.1327217,150.34862
2020-10-19,308.82898,1.2722013,1.179606,156.78584
2020-10-26,269.5648,1.0554852,1.2175411,146.34772
2020-11-02,295.9084,0.913552,1.2022598,150.3454
2020-11-09,302.40274,0.8212575,1.2325802,154.44174
2020-11-16,304.6153,0.91305476,1.1269366,153.295
2020-11-23,313.75494,0.9420739,1.195401,149.93959
2020-11-30,338.7189,0.868409,1.1451852,154.1318
2020-12-07,304.1582,1.0482676,1.3522695,144.23799
2020-12-14,319.09546,1.2510294,1.267435,140.98418
