date,Chile,Colombia,Italy,Mexico,US
2020-03-23,37524.31877183542,136001.78372661397,1402454.633107081,29508.634095493704,6303989.485326767
2020-03-30,44631.71097801998,-32421.18390898779,1134754.576333776,13291.361765995622,1447452.1632198095
2020-04-06,57331.746886884794,83428.02630370855,1252893.9693534896,72037.20480088145,3410645.0328591466
2020-04-13,70520.07815056853,-43305.922302957624,1191748.3060608134,39033.31828762591,6271006.79619652
2020-04-20,100405.87909313664,-30054.175693716854,1303442.49318666,126796.86465800181,7644655.184172958
2020-04-27,190271.61084665544,-4949.318056102842,1296084.4447296783,208740.98955300823,8509643.80643627
2020-05-04,317361.38387309946,109425.22874060646,1469603.1925506666,285041.2164013311,9436548.702890962
2020-05-11,482072.3663422894,122737.61246336997,1437588.0831074938,396202.9186540805,11212713.856694967
2020-05-18,747956.7038481962,145538.71482253075,1541145.6555188522,552893.6937812418,12222285.616667747
2020-05-25,1012552.6263697464,210022.78286806494,1541883.8338857442,695855.7307292074,12907652.00995931
2020-06-01,1324040.1422711108,333449.3892888278,1652171.5271080509,944932.152398441,14274064.058498561
2020-06-08,1606457.5441265125,425514.587941207,1565210.3705505282,1175873.6617886014,15039304.107313931
2020-06-15,1801308.8002070095,591419.0476395302,1514611.0089670494,1398952.0593611673,16653492.464917153
2020-06-22,2027589.0531091504,715058.5633456968,1716296.2606673762,1680832.7426957637,17720783.27899137
2020-06-29,2149933.6319613736,954396.0335201286,1653008.87468414,2004412.8508797847,21001413.513786793
2020-07-06,2272198.3664738415,1294403.9967045188,1661470.711446181,2319143.1098098624,24104237.517952353
2020-07-13,2358093.609000601,1661445.2988136448,1628943.3499301001,2665098.6834299825,28143201.630739182
2020-07-20,2465583.065540635,2019809.8090089113,1684561.532785751,2972272.317135237,32621392.02509111
2020-07-27,2553040.1774894577,2535000.0932786316,1727693.991069831,3243317.326756563,34445917.12197515
2020-08-03,2654444.5201035803,3010898.165378876,1774268.8783043846,3547241.6100219917,38012042.21878353
2020-08-10,2747732.8346962817,3632955.9869224615,1893264.0101986676,3802298.6106271427,38938790.623226434
2020-08-17,2822131.061189751,4082463.5914105177,1921106.3613346443,4036989.977268735,40106819.97770542
2020-08-24,2901758.829092052,4510935.481510323,1959077.2214589864,4299953.055827631,42741013.49307132
2020-08-31,2994075.528997835,4864899.612048496,1965057.0414261818,4563812.146609528,43985591.444732964
2020-09-07,3105804.5942758424,5201846.81219963,2120936.9124238417,4794871.515936974,46434509.484393954
2020-09-14,3170912.3254894046,5515702.190636601,2038075.611620769,4973880.9417468645,49867398.00519076
2020-09-21,3239161.238409126,5873000.708236076,2237910.1244879365,5215481.185930215,50419070.03428036
