date,Chile,Colombia,Italy,Mexico,US
2020-03-23,25142.770018513856,8634.45514276727,834013.4635010307,15687.160808288147,1821754.8240410264
2020-03-30,45480.658856006004,14833.28622767923,1011383.727902843,25540.825059143517,3395141.5110953264
2020-04-06,66829.64288970132,22487.488478703173,1186157.1396682775,43824.14614946465,4802584.407875454
2020-04-13,91613.93922826333,32800.38911174659,1331786.3773032324,74274.58915778657,6228388.411944955
2020-04-20,130368.80406265783,45546.75405646249,1429528.8791861616,135226.2237726107,7591573.401452087
2020-04-27,196889.66039142924,67167.7533966698,1493122.961718232,209273.00936566663,8853722.93765306
2020-05-04,301104.635343015,94303.11935779991,1569220.131336239,297038.8095136269,9963035.298922703
2020-05-11,476893.64896546496,131646.96103468924,1587696.7407149463,420637.7963190358,11054795.631129941
2020-05-18,727853.9023420626,178928.82564353076,1608480.5592547052,570122.7983741364,12117922.37905228
2020-05-25,1015725.1430131821,243809.11316523812,1633714.8713032124,739678.45652457,13117565.113507576
2020-06-01,1318312.779426725,318966.3510351243,1652750.442247601,940092.805577838,14162346.920781113
2020-06-08,1588256.155389449,423299.4985661266,1660101.932260557,1154206.3617642934,15383687.121264243
2020-06-15,1814376.7804241043,568675.2869483661,1678225.3460023396,1412824.553478888,17034474.342849195
2020-06-22,1998192.34683808,739363.9217927773,1692254.3934568502,1672777.5248382743,19252795.166846197
2020-06-29,2145084.671481292,944735.1990379224,1696170.845579345,1974183.609819635,21920677.347066794
2020-07-06,2268059.6199317845,1223442.8761985668,1711290.2947166488,2271137.0482115885,25020743.74857664
2020-07-13,2374304.8399371463,1583336.921632765,1716385.9744692866,2587661.678342014,28220986.276285935
2020-07-20,2476644.501420174,2005775.9610146238,1728358.8306185363,2922714.85231787,31350478.25467533
2020-07-27,2568668.1534101246,2497891.849523786,1740743.2687087276,3238235.70938263,34096602.672666945
2020-08-03,2662386.0832781754,3034685.940483795,1755605.0172509772,3540637.450315329,36877866.87570254
2020-08-10,2745937.5529151857,3576738.0105521553,1790908.4113146241,3803193.1830041823,39154396.54362217
2020-08-17,2831721.787935533,4063403.774997797,1852856.27557219,4054474.11062707,41173040.50459019
2020-08-24,2918846.968501261,4490186.628044973,1917604.7306666023,4321492.979387232,43196259.48116289
2020-08-31,3004003.3497459227,4859696.152275179,1979115.5166487014,4568413.145384256,45028735.492543824
2020-09-07,3084278.643571934,5204982.640546468,2066981.5009446882,4784601.37890943,46984964.56534374
2020-09-14,3165104.4180630282,5542873.860527319,2136544.5505084065,5010877.798390589,48997622.239917524
2020-09-21,3254024.0600531087,5853795.060481277,2226512.275796643,5235951.681537964,51112751.28558874
2020-09-28,3335595.1063417615,6201555.899575604,2373231.252985076,5635116.194121872,53292629.82517603
2020-10-05,3411156.974912777,6569981.919433726,2705671.440005848,5843963.169349519,56001747.456865676
2020-10-12,3475073.653352061,6932522.703889238,3287921.998991296,6120431.927620331,59107955.415680334
2020-10-19,3554712.506017715,7376887.320201942,4350440.157323461,6376890.424638823,62945546.98119708
2020-10-26,3614997.6938123023,7826047.494584094,5841890.926727742,6668139.0872954475,67880469.83938645
2020-11-02,3690344.3447736027,8217825.841668834,7467340.2944565145,6940879.104126325,74632085.83824323
2020-11-09,3755742.0410750327,8581147.1237708,9138580.354111256,7153760.077220329,82678792.27869326
2020-11-16,3813117.2468256345,8965686.790275024,10623424.665451333,7555914.9400907075,91148446.51796733
2020-11-23,3894647.77753859,9404310.307461994,11640621.686018748,8010637.900237475,100012240.49394526
2020-11-30,3962871.1996976566,9806366.904221267,12540305.95470882,8517191.186541019,110576818.2234463
2020-12-07,4055934.2113030925,10287449.24814958,13336236.056973673,9038523.236794008,121350494.80166045
2020-12-14,4156656.361272549,10909173.576227542,14054467.290012423,9494376.864730796,131473067.77809958
2020-12-21,4272193.320148725,11483762.049518611,14745193.521488976,9966990.250532022,141119068.12347913
2020-12-28,4411733.634418805,12162119.629978163,15500172.259537274,10468136.865122478,152943462.02174821
2021-01-04,4591792.597483755,12966350.599917378,16343323.376257531,11134451.643783024,164437932.19804615
2021-01-11,4811828.663857714,13799103.909516029,16970059.593467098,11964772.729970157,173718482.00095573
2021-01-18,5001008.863962917,14451588.076398375,17647697.93142223,12747912.42626562,181463971.3673383
2021-01-25,5184387.764627321,14929338.016845232,18198318.974277813,13303742.136123024,187883612.53559813
2021-02-01,5353479.346580406,15252003.57609631,18789520.461487286,13772395.037359487,192912674.16415122
2021-02-08,5523839.180045964,15488555.15331347,19249485.58424454,14146718.656565065,196587900.67225963
2021-02-15,5693612.320122152,15686046.254735187,20091165.61254196,14467469.37367792,199959343.53645086
2021-02-22,5891619.867814767,15861495.993261075,21031014.533131693,14778091.93479411,203032717.15800563
2021-03-01,6123130.21590663,16035338.714338675,22040103.073485896,15055238.587020123,205792875.1575106
2021-03-08,6377224.022804634,16238951.201468771,23132438.083726745,15278400.931031168,208455948.61364233
2021-03-15,6700305.111800384,16527463.308664242,24300689.39270354,15491577.367280956,211332976.59251288
2021-03-22,7017302.908514043,16925811.31741353,25267686.079565637,15687146.376308344,214525378.46165133
2021-03-29,7379995.3817904405,17457239.12484293,26004116.05820338,15864573.377325831,217814472.31381685
2021-04-05,7715970.006327517,18219872.32247661,26771018.605146416,16061336.95323331,221320559.63973445
2021-04-12,8031539.023892931,19043084.829542093,27418342.64045512,16244430.44694093,224276108.07685918
2021-04-19,8359274.287376673,19892510.724790383,28105836.751967184,16383703.089195332,226854951.93935037
