DATE,Dengue,Zika,Varicella,Chikungunya
1/1/2007,499.850485,NA,222.493302,NA
1/8/2007,562.3552949,NA,492.2675569,NA
1/15/2007,912.5007162,NA,819.339871,NA
1/22/2007,1086.769997,NA,1073.813148,NA
1/29/2007,1526.749869,NA,1342.004452,NA
2/5/2007,1805.816906,NA,1842.895766,NA
2/12/2007,2181.629424,NA,1908.22354,NA
2/19/2007,2537.770345,NA,2496.109798,NA
2/26/2007,2555.614576,NA,2752.948127,NA
3/5/2007,3304.099151,NA,3022.183816,NA
3/12/2007,3008.969668,NA,3603.517582,NA
3/19/2007,3758.55449,NA,3937.736241,NA
3/26/2007,3760.230436,NA,4191.959179,NA
4/2/2007,4052.700238,NA,4905.317244,NA
4/9/2007,4356.760919,NA,5009.974311,NA
4/16/2007,4800.41381,NA,6070.35832,NA
4/23/2007,4712.998607,NA,6288.780376,NA
4/30/2007,5429.111617,NA,6675.513553,NA
5/7/2007,5397.830695,NA,7579.711854,NA
5/14/2007,5907.461707,NA,7774.8372,NA
5/21/2007,6375.893463,NA,8399.197103,NA
5/28/2007,6508.314899,NA,8772.398485,NA
6/4/2007,6938.969735,NA,8321.412373,NA
6/11/2007,7516.972754,NA,9682.356729,NA
6/18/2007,7309.198615,NA,8753.076789,NA
6/25/2007,8488.782974,NA,9267.671827,NA
7/2/2007,8186.209047,NA,10774.39449,NA
7/9/2007,9051.790014,NA,10372.16924,NA
7/16/2007,9458.714668,NA,11035.35448,NA
7/23/2007,9717.182578,NA,12066.24101,NA
7/30/2007,10295.47408,NA,12131.1348,NA
8/6/2007,10628.32508,NA,12850.68476,NA
8/13/2007,10614.92104,NA,13340.70091,NA
8/20/2007,11597.2919,NA,13955.59417,NA
8/27/2007,11058.734,NA,14590.43872,NA
9/3/2007,12257.55174,NA,15217.58492,NA
9/10/2007,11776.55381,NA,15906.41748,NA
9/17/2007,12725.90969,NA,16715.40711,NA
9/24/2007,12841.79604,NA,17072.18368,NA
10/1/2007,13201.05074,NA,18307.14411,NA
10/8/2007,13655.3393,NA,19053.49835,NA
10/15/2007,13812.18216,NA,19549.0902,NA
10/22/2007,14071.30035,NA,20573.68918,NA
10/29/2007,14836.10063,NA,21572.66287,NA
11/5/2007,14247.82769,NA,21696.42737,NA
11/12/2007,15640.29826,NA,23118.88695,NA
11/19/2007,15022.90207,NA,23600.70763,NA
11/26/2007,15994.67695,NA,24585.93018,NA
12/3/2007,15969.488,NA,24796.50047,NA
12/10/2007,16327.32457,NA,25803.00356,NA
12/17/2007,16539.65334,NA,26333.41917,NA
12/24/2007,16622.58753,NA,26704.40149,NA
12/31/2007,17161.60606,NA,27074.82244,NA
1/7/2008,17526.41266,NA,28132.23144,NA
1/14/2008,17700.07483,NA,28922.60679,NA
1/21/2008,18648.84253,NA,29450.17136,NA
1/28/2008,18324.5675,NA,30229.99681,NA
2/4/2008,19326.67854,NA,31438.7511,NA
2/11/2008,19342.95202,NA,31852.14266,NA
2/18/2008,19859.65654,NA,32545.36125,NA
2/25/2008,20203.52198,NA,33964.07446,NA
3/3/2008,20501.34351,NA,34766.03687,NA
3/10/2008,20904.28025,NA,35614.48669,NA
3/17/2008,21040.59438,NA,36720.84453,NA
3/24/2008,21514.80604,NA,37321.8962,NA
3/31/2008,21835.60027,NA,39810.9777,NA
4/7/2008,22052.11966,NA,39528.89981,NA
4/14/2008,22585.11235,NA,41437.83508,NA
4/21/2008,22748.60873,NA,43111.96082,NA
4/28/2008,23030.00123,NA,43689.99859,NA
5/5/2008,23462.44592,NA,44817.16432,NA
5/12/2008,23779.52863,NA,46377.65222,NA
5/19/2008,23920.06638,NA,48050.07417,NA
5/26/2008,24556.29327,NA,48701.93223,NA
6/2/2008,24467.7016,NA,50223.3141,NA
6/9/2008,25208.62936,NA,51639.28818,NA
6/16/2008,25129.99066,NA,53137.54265,NA
6/23/2008,25809.81772,NA,53813.24464,NA
6/30/2008,25801.94693,NA,55232.35047,NA
7/7/2008,26352.30476,NA,56911.64705,NA
7/14/2008,26650.98077,NA,58030.68665,NA
7/21/2008,26790.41968,NA,58965.12271,NA
7/28/2008,27344.25527,NA,60744.72995,NA
8/4/2008,27478.08568,NA,61940.00033,NA
8/11/2008,27600.3831,NA,62747.81797,NA
8/18/2008,28232.01928,NA,64694.02314,NA
8/25/2008,28089.47606,NA,65925.46814,NA
9/1/2008,28624.44209,NA,67391.40509,NA
9/8/2008,28855.09155,NA,69260.16348,NA
9/15/2008,29063.40897,NA,70731.85798,NA
9/22/2008,29426.72661,NA,72505.62344,NA
9/29/2008,29766.02567,NA,74435.82146,NA
10/6/2008,29973.46807,NA,75681.18925,NA
10/13/2008,30523.9621,NA,78010.61209,NA
10/20/2008,30564.87475,NA,79523.54088,NA
10/27/2008,31386.26311,NA,81348.63688,NA
11/3/2008,31214.92556,NA,83558.99284,NA
11/10/2008,31835.17351,NA,85147.52947,NA
11/17/2008,32288.35074,NA,86970.42793,NA
11/24/2008,32102.55721,NA,88893.03802,NA
12/1/2008,32774.70929,NA,89243.73306,NA
12/8/2008,33302.39173,NA,91042.38814,NA
12/15/2008,32779.62399,NA,NA,NA
12/22/2008,34179.58888,NA,89092.96855,NA
12/29/2008,33285.33355,NA,90478.8015,NA
12/29/2008,33285.33355,NA,90693.8405,NA
12/29/2008,34197.65118,NA,90478.8015,NA
12/29/2008,34197.65118,NA,90693.8405,NA
1/5/2009,35076.35273,NA,93902.44475,NA
1/12/2009,34576.21065,NA,93234.3958,NA
1/19/2009,35952.22913,NA,95565.99868,NA
1/26/2009,35696.54655,NA,96891.7431,NA
2/2/2009,36498.78601,NA,98283.43561,NA
2/9/2009,36626.81872,NA,98629.24815,NA
2/16/2009,37053.8955,NA,101520.3205,NA
2/23/2009,37563.1118,NA,102184.222,NA
3/2/2009,37646.29831,NA,104765.2602,NA
3/9/2009,38057.34606,NA,105236.3625,NA
3/16/2009,38705.35338,NA,108288.2051,NA
3/23/2009,38250.8628,NA,109292.2033,NA
3/30/2009,39555.5785,NA,110739.9728,NA
4/6/2009,39056.01351,NA,112071.2285,NA
4/13/2009,39964.13123,NA,115643.2096,NA
4/20/2009,40279.90593,NA,115051.8711,NA
4/27/2009,40249.93951,NA,117723.5491,NA
5/4/2009,41123.72308,NA,119453.6586,NA
5/11/2009,41159.88635,NA,121264.194,NA
5/18/2009,41874.50178,NA,121932.7123,NA
5/25/2009,42138.41746,NA,124315.5281,NA
6/1/2009,42681.08703,NA,125940.344,NA
6/8/2009,43311.10457,NA,126690.302,NA
6/15/2009,43295.83918,NA,127906.0515,NA
6/22/2009,44217.41417,NA,129996.3337,NA
6/29/2009,44539.29589,NA,131174.8398,NA
7/6/2009,44819.16054,NA,132343.5048,NA
7/13/2009,45836.452,NA,133821.6539,NA
7/20/2009,45967.97639,NA,135843.8654,NA
7/27/2009,46619.76711,NA,136649.2368,NA
8/3/2009,47342.29878,NA,137705.4876,NA
8/10/2009,47593.8046,NA,139967.7372,NA
8/17/2009,48341.25609,NA,140926.0503,NA
8/24/2009,48724.29504,NA,142135.307,NA
8/31/2009,49456.60046,NA,143730.3699,NA
9/7/2009,49683.65052,NA,145388.7223,NA
9/14/2009,50528.4411,NA,146344.1399,NA
9/21/2009,51154.77181,NA,147469.1173,NA
9/28/2009,51354.90568,NA,149154.5034,NA
10/5/2009,52265.92427,NA,150433.2623,NA
10/12/2009,52924.77455,NA,151820.8516,NA
10/19/2009,52999.71195,NA,153050.5873,NA
10/26/2009,53920.44888,NA,154556.4609,NA
11/2/2009,54639.34272,NA,156156.9567,NA
11/9/2009,54441.73268,NA,156962.2486,NA
11/16/2009,56033.91925,NA,158643.3562,NA
11/23/2009,56181.38093,NA,159680.1925,NA
11/30/2009,56762.78506,NA,160568.4851,NA
12/7/2009,58195.85721,NA,161508.4201,NA
12/14/2009,58333.5552,NA,162995.1132,NA
12/21/2009,59233.47961,NA,163085.9336,NA
1/4/2010,60037.17754,NA,164643.8564,NA
1/11/2010,61494.23938,NA,165475.0367,NA
1/18/2010,61414.90423,NA,166812.6867,NA
1/25/2010,63861.48784,NA,167838.8668,NA
2/1/2010,64490.52036,NA,168708.8716,NA
2/8/2010,66099.71329,NA,170554.5625,NA
2/15/2010,68127.13946,NA,171273.5738,NA
2/22/2010,69890.86641,NA,172317.2097,NA
3/1/2010,70565.2745,NA,174026.4975,NA
3/8/2010,73912.81432,NA,174989.5863,NA
3/15/2010,73991.79167,NA,176770.7159,NA
3/22/2010,76685.99396,NA,177553.536,NA
3/29/2010,76474.78299,NA,178745.236,NA
4/5/2010,79902.57142,NA,180366.4994,NA
4/12/2010,79350.46041,NA,181756.5321,NA
4/19/2010,81505.74973,NA,182233.3191,NA
4/26/2010,83337.58928,NA,184760.2992,NA
5/3/2010,82977.71586,NA,185237.7695,NA
5/10/2010,85499.6746,NA,186521.1338,NA
5/17/2010,86962.51613,NA,188263.9757,NA
5/24/2010,86430.72428,NA,189563.7138,NA
5/31/2010,89540.85711,NA,190534.9375,NA
6/7/2010,89571.07026,NA,191974.5056,NA
6/14/2010,90379.39829,NA,193255.3777,NA
6/21/2010,91934.06246,NA,194388.6557,NA
6/28/2010,92849.90812,NA,195374.4817,NA
7/5/2010,93161.93494,NA,196551.7918,NA
7/12/2010,94725.61761,NA,198258.5969,NA
7/19/2010,95317.43081,NA,198902.3783,NA
7/26/2010,96224.68005,NA,200347.1138,NA
8/2/2010,96641.80356,NA,201778.2175,NA
8/9/2010,98458.51823,NA,203036.667,NA
8/16/2010,97673.8615,NA,204323.7681,NA
8/23/2010,99305.25908,NA,206211.7932,NA
8/30/2010,99835.18706,NA,207412.9922,NA
9/6/2010,99680.17349,NA,209446.3946,NA
9/13/2010,100772.9429,NA,210908.9398,NA
9/20/2010,101137.9505,NA,213007.3862,NA
9/27/2010,101098.5035,NA,214760.2155,NA
10/4/2010,101885.0927,NA,216695.4319,NA
10/11/2010,102190.2243,NA,219048.0607,NA
10/18/2010,102392.8256,NA,220671.164,NA
10/25/2010,102457.6579,NA,223478.8079,NA
11/1/2010,103433.8396,NA,224158.4826,NA
11/8/2010,103021.1114,NA,228154.6699,NA
11/15/2010,103447.9425,NA,228637.8864,NA
11/22/2010,104183.3677,NA,230813.7096,NA
11/29/2010,103688.1762,NA,233052.5595,NA
12/6/2010,104318.6726,NA,234045.3396,NA
12/13/2010,104644.7872,NA,235931.0659,NA
12/20/2010,104377.623,NA,237455.4269,NA
12/27/2010,104877.6804,NA,238344.1666,NA
1/3/2011,105011.1837,NA,239107.3832,NA
1/10/2011,105887.2759,NA,242160.439,NA
1/17/2011,105408.4615,NA,242577.2444,NA
1/24/2011,106765.6048,NA,244576.3776,NA
1/31/2011,106425.8779,NA,246004.5277,NA
2/7/2011,106737.4188,NA,247650.6267,NA
2/14/2011,107484.4002,NA,249315.1172,NA
2/21/2011,107421.7019,NA,250654.9877,NA
2/28/2011,107524.1326,NA,253115.7719,NA
3/7/2011,108436.7133,NA,254809.5781,NA
3/14/2011,107994.3606,NA,256784.5301,NA
3/21/2011,108535.3551,NA,259083.2403,NA
3/28/2011,108794.0427,NA,262080.8221,NA
4/4/2011,109149.3629,NA,263545.165,NA
4/11/2011,108874.9683,NA,266315.865,NA
4/18/2011,109930.8825,NA,268154.4211,NA
4/25/2011,109519.5313,NA,270125.5541,NA
5/2/2011,110000.2012,NA,273555.3195,NA
5/9/2011,110387.4567,NA,274887.415,NA
