date,Brazil,Chile,Colombia,Dominican Republic,Germany,Italy,Mexico,Panama,US,Uruguay
1/20/2020,5604.586457,3307.852293,1729.331317,54.84142434,2259.847961,6675.626565,271.1397288,810.9048282,804.3797216,1.69760149154501e-06
1/27/2020,16439.09551,9154.467952,4954.846992,168.42073,5475.602816,18263.29887,831.0301637,2274.07913,2516.639124,5.91030256619844e-06
2/3/2020,31323.71174,16465.39115,9224.457972,336.3636983,8758.019016,32496.83039,1656.521237,4142.818123,5126.647862,1.35037722429884e-05
2/10/2020,50026.60716,24833.36404,14397.53466,563.616336,11913.13134,48522.19528,2770.679274,6325.856734,8773.244016,2.61167305653502e-05
2/17/2020,72533.53907,34017.54927,20405.93113,858.1283557,14907.95271,65848.85532,4211.520249,8769.220807,13660.42104,4.62925884620396e-05
2/24/2020,98929.96578,43854.93492,27214.11069,1229.999901,17763.48983,84158.95994,6027.937508,11435.89254,20052.44317,7.78886495267772e-05
3/2/2020,129360.0635,54227.27617,34804.96091,1691.279245,20517.86226,103234.5967,8278.964865,14298.39596,28279.9287,0.000126711
3/9/2020,164008.2069,65045.18277,43173.28202,2255.929763,23212.02956,122922.1418,11034.0137,17335.30667,38750.57063,0.000201468
3/16/2020,203089.1606,76239.25856,52322.33146,2939.835891,25884.35684,143112.1383,14373.47576,20529.34909,51963.16656,0.000315187
3/23/2020,246842.221,87754.67045,62261.80806,3760.791022,28568.91459,163726.8508,18389.45266,23866.25285,68524.70182,0.000487318
3/30/2020,295527.3182,99547.58462,73006.59519,4738.429889,31295.37052,184712.0652,23186.47305,27334.01537,89170.52526,0.000746865
4/6/2020,349422.1308,111582.7058,84575.93774,5894.073547,34089.51616,206031.4286,28882.08313,30922.40053,114787.7092,0.001137006
4/13/2020,408819.7133,123831.5102,96992.88308,7250.456946,36973.99169,227662.405,35607.19344,34622.5831,146441.6088,0.00172196
4/20/2020,474026.3512,136270.9371,110283.89,8831.311397,39969.01473,249593.3077,43506.05287,38426.8881,185405.4483,0.002597128
4/27/2020,545359.4691,148882.3946,124478.549,10660.77927,43093.03432,271821.0751,52735.70485,42328.5943,233192.453,0.003904113
5/4/2020,623145.4782,161650.9887,139609.3769,12762.64767,46363.28657,294349.5764,63464.76915,46321.78257,291589.572,0.005852903
5/11/2020,707717.4882,174564.9164,155711.6648,15159.40264,49796.25302,317188.304,75871.38792,50401.21654,362691.1869,0.008754672
5/18/2020,799412.8317,187614.9787,172823.3598,17871.12645,53408.03353,340351.3544,90140.18608,54562.24711,448930.3206,0.013070209
5/25/2020,898570.3675,200794.1877,190984.9721,20914.28573,57214.6485,363856.6266,106458.127,58800.73486,553103.7531,0.019481419
6/1/2020,1005527.542,214097.4436,210239.4979,24300.48661,61232.28463,387725.1901,125009.2037,63112.98622,678386.1352,0.028996842
6/8/2020,1120617.203,227521.2693,230632.3505,28035.29879,65477.49715,411980.782,145967.995,67495.70038,828326.7592,0.043107316
6/15/2020,1244164.165,241063.5885,252211.2956,32117.26876,69967.37914,436649.4087,169492.2375,71945.92463,1006821.286,0.064015534
6/22/2020,1376481.547,254723.5409,275026.3861,36537.24695,74719.7066,461759.0291,195714.7096,76461.01656,1218049.776,0.094974472
6/29/2020,1517866.91,268501.3252,299129.8907,41278.13931,79753.06611,487339.3033,224734.8827,81038.61167,1466372.3,0.140786179
