"Date","Dengue","Zika","Chicungunya","Varicela"
2008-04-24,27.9533908348882,NA,NA,NA
2008-05-01,79.1369043771931,NA,NA,67.0084219647863
2008-05-08,145.516986372289,NA,NA,190.2361077027
2008-05-15,224.242392170893,NA,NA,350.780323148158
2008-05-22,313.672778312983,NA,NA,542.045072656354
2008-05-29,412.706171288423,NA,NA,760.289611247923
2008-06-05,520.536967992661,NA,NA,1003.03480449545
2008-06-12,636.543508976877,NA,NA,1268.49157795645
2008-06-19,760.227604277035,NA,NA,1555.29622095427
2008-06-26,891.178679630869,NA,NA,1862.36844131025
2008-07-03,1029.05097860856,NA,NA,2188.82746182309
2008-07-10,1173.54827744876,NA,NA,2533.93882806302
2008-07-17,1324.41320120433,NA,NA,2897.07885003962
2008-07-24,1481.41950067194,NA,NA,3277.70982112447
2008-07-31,1644.36631246633,NA,NA,3675.36215729466
2008-08-07,1813.07379237237,NA,NA,4089.62116219047
2008-08-14,1987.37972674798,NA,NA,4520.11698909983
2008-08-21,2167.13685744274,NA,NA,4966.51687546744
2008-08-28,2352.21073819271,NA,NA,5428.51903226824
2008-09-04,2542.47799416746,NA,NA,5905.84776393549
2008-09-11,2737.82489227891,NA,NA,6398.24952025187
2008-09-18,2938.14615447853,NA,NA,6905.48966559306
2008-09-25,3143.34396349264,NA,NA,7427.3498083645
2008-10-02,3353.32712272495,NA,NA,7963.62557360896
2008-10-09,3568.01034095849,NA,NA,8514.12473033686
2008-10-16,3787.31361904507,NA,NA,9078.66560581967
2008-10-23,4011.16172066373,NA,NA,9657.07573429588
2008-10-30,4239.48371292986,NA,NA,10249.1906988764
2008-11-06,4472.21256546671,NA,NA,10854.8531339945
2008-11-13,4709.28479873878,NA,NA,11473.911862281
2008-11-20,4950.64017415474,NA,NA,12106.22114479
2008-11-27,5196.22141979307,NA,NA,12751.6400274319
2008-12-04,5445.97398667322,NA,NA,13410.0317695628
2008-12-11,5699.84583135086,NA,NA,14081.2633431332
2008-12-18,5957.78722130726,NA,NA,14765.2049927567
2008-12-25,6219.75056016335,NA,NA,15461.7298486429
2009-01-01,6485.69023020815,NA,NA,16170.7135856129
2009-01-08,6755.56245010864,NA,NA,16892.0341224663
2009-01-15,7029.32514597994,NA,NA,17625.5713568201
2009-01-22,7306.93783425475,NA,NA,18371.2069312531
2009-01-29,7588.36151500765,NA,NA,19128.8240271713
2009-02-05,7873.55857457221,NA,NA,19898.3071833046
2009-02-12,8162.49269644282,NA,NA,20679.5421361528
2009-02-19,8455.12877958333,NA,NA,21472.4156800452
2009-02-26,8751.43286337535,NA,NA,22276.8155447709
2009-03-05,9051.37205853431,NA,NA,23092.6302889852
2009-03-12,9354.91448340181,NA,NA,23919.749207809
2009-03-19,9662.0292050935,NA,NA,24758.0622532191
2009-03-26,9972.6861850414,NA,NA,25607.4599659833
2009-04-02,10286.8562285223,NA,NA,26467.8334180296
2009-04-09,10604.510937809,NA,NA,27339.0741642514
2009-04-16,10925.6226686207,NA,NA,28221.0742028577
2009-04-23,11250.1644895841,NA,NA,29113.7259434579
2009-04-30,11578.1101444455,NA,NA,30016.9221821556
2009-05-07,11909.434016803,NA,NA,30930.5560829854
2009-05-14,12244.111097149,NA,NA,31854.5211650947
2009-05-21,12582.1169520368,NA,NA,32788.7112951168
2009-05-28,12923.4276951987,NA,NA,33733.0206842352
2009-06-04,13268.0199604664,NA,NA,34687.3438894766
2009-06-11,13615.8708763507,NA,NA,35651.5758188081
2009-06-18,13966.9580421571,NA,NA,36625.6117396493
2009-06-25,14321.2595055219,NA,NA,37609.3472904368
2009-07-02,14678.7537412645,NA,NA,38602.6784949083
2009-07-09,15039.4196314607,NA,NA,39605.5017787977
