date,Chile,Colombia,Italy,Mexico,US
2020-03-23,23919.89781753417,6260.367281253253,112369.19073514745,30411.61891522945,381474.3843500735
2020-03-30,19988.310646333848,9536.96538069324,50467.47050231008,21380.045273308606,366316.90149595443
2020-04-06,10982.986961872462,6971.48022948439,28584.156401633707,14640.967631017185,272624.17933880235
2020-04-13,-25.586311429076886,-10240.96971533275,3794.938010097336,435.95126405738847,217971.39710788056
2020-04-20,-666.634652975401,-8659.248981031888,14269.083431974985,5634.388228098629,229465.05830617517
2020-04-27,10218.098216971724,-4252.658445053865,11123.722786014725,6340.088761186693,162952.08099715505
2020-05-04,26658.881665083438,-31.893859147028707,-14473.240333644237,8220.354343198553,144061.79612408718
2020-05-11,38373.722600027104,6346.033245351871,-10408.79782584688,16504.539372143015,136592.64347572636
2020-05-18,48668.73634122164,5307.793614481983,-30223.566558540624,20180.77406864299,127850.95374915516
2020-05-25,45336.03280894397,8164.066605852713,-45970.493318773544,17982.248353246272,138832.85281714844
2020-06-01,42639.898969189315,13322.37990881312,-33121.58531910699,38647.663569327415,120751.65956980828
2020-06-08,38255.70931109014,13276.578859880203,-32817.33913106387,36231.093052983706,139640.12777178572
2020-06-15,31040.188933967358,31761.027568987345,-48725.10015973303,39624.121698298055,234716.4357904335
2020-06-22,27668.00582439922,34781.753793202945,-33792.45168315078,55559.480246752275,374661.8772814806
2020-06-29,18590.81898176061,51039.86250781,-17098.42172250367,68869.6998405642,441535.90604376886
2020-07-06,11464.757727317636,71729.22409285366,-37052.97834803595,75861.40993308114,477467.72813216323
2020-07-13,6699.162716216262,61647.35092759927,-46525.497449991846,62415.03336965179,448568.4846282739
2020-07-20,1504.4991204199432,70005.45356609972,-38386.13350831068,49565.907615909564,463298.4427453752
2020-07-27,-1905.8643650776066,72432.6256371006,-32709.36138525608,58259.16636515264,432154.39568417054
2020-08-03,-1312.5201517613968,54350.02969026571,793.4722301144793,43310.825519382495,365474.02201954275
2020-08-10,2640.336743636297,72979.0350023869,33305.654828307815,40267.00508873554,360955.5031133831
2020-08-17,6477.741420631704,61799.15304272648,62033.47836033281,27758.990872697053,284674.66273776203
2020-08-24,1670.798199574725,56468.23153083284,41507.27375857091,31570.038158828353,302737.4755292642
2020-08-31,6894.526834300901,45916.18810018715,26005.733003058296,28150.28917204638,311021.9898387726
2020-09-07,13089.923593591837,38775.568417835035,8883.098987788835,22521.39424290743,330122.17753569654
2020-09-14,17842.519749861738,39482.91986799617,-5407.599951010081,20737.99244183288,340187.146967893
