date,Brazil,Chile,Colombia,Dominican Republic,Germany,Italy,Mexico,Panama,US,Uruguay
1/20/2020,-1298156.194,-356081.1176,-80545.00838,-20718.71407,-924120.4273,-560954.1518,-257886.8329,-24618.74371,-2044056.756,-82616.95665
1/27/2020,-723747.5997,-251294.9192,-6030.733143,-7510.4235,-712855.2028,-251139.8286,-109216.8141,-2740.433028,-412674.7387,-46440.84372
2/3/2020,-366087.0182,-169886.7762,20488.356352374773,-3028.784032,-531718.6541,-132833.5569,-33399.18754,5299.140358,210547.95163204242,-26597.59274
2/10/2020,-198096.8237,-111264.8293,21577.150119087775,-2075.413849,-407852.7942,-117241.4726,-305.7155878,5331.239560371607,382814.0259,-18090.45516
2/17/2020,-96296.74354,-60541.51162,17452.874796779186,-386.1390916,-319178.6739,-116552.7041,26832.806093273393,4341.461363579248,537155.0300869122,-12594.30018
2/24/2020,22167.764818604162,-9368.843177,22088.440546786587,2498.230057529494,-223063.7503,-93890.24698,58543.181067752535,4966.4024565167565,738969.3285153192,-6514.918586
3/2/2020,145528.20122103277,36099.08660884669,20223.905647659267,4653.573997096988,-84862.8068,-50234.54788,82015.78669,5543.674619597965,848374.9903717078,-1767.36167
3/9/2020,226473.75732702634,65996.84121001733,8082.128843578394,5007.143766282807,110127.00448719005,10789.318709843443,86909.52692677514,4171.124782285398,811817.0104942694,-396.1402697
3/16/2020,259394.1633720164,80379.89942147872,-10844.39858,4618.471836565561,352572.7673100086,92784.24219948519,80281.39209427565,1513.2996879964849,746517.0574230412,-591.1490966
3/23/2020,282954.5371711758,89045.17892824381,-4728.646825,5124.598088,605289.5113251334,191106.84585138038,76727.91018,-366.607584,785239.6761124157,1345.675622562092
3/30/2020,322160.19201419933,99617.24890297826,2323.765238537482,6763.087757568017,810817.0388340424,285525.77206582215,80959.27276434326,-810.1124584,922622.7989649652,6343.317296349531
4/6/2020,355952.47771611315,109889.8082532558,8235.059643244545,8391.972018,920937.3272382685,356208.05537202966,85083.59021430861,-1164.425544,1050278.7858745465,11407.150859700545
4/13/2020,351371.5446947094,113372.58094420432,11114.703124849475,9160.465723890433,930261.6769289027,401499.7787623915,80925.79861471645,-2620.114802,1107156.3284082701,13274.329853621144
4/20/2020,330563.48686038994,110538.2960457944,11377.337321521656,9568.610605860937,929080.3442352486,432877.98047403677,69743.94594553634,-4264.515635,1144442.9851594535,12170.037394445368
4/27/2020,319420.46281282033,108308.50201007562,9984.344642826574,10723.585142803515,907996.5124477409,454323.1410233181,58539.9997,-3837.855897,1240529.688917316,11221.540688486406
5/4/2020,346493.1033636375,114224.48619722477,6904.790711799229,12970.016772873658,868217.5968643588,454252.1269065185,50838.78956555514,-167.0979878,1395929.3488263094,12729.448701777059
5/11/2020,395018.2730363557,128755.45121502073,2595.8283404406757,15692.884955843581,772914.4509843969,420076.84352852753,44833.25484781455,5712.415812,1543201.2803855746,16103.608784807722
5/18/2020,505637.1170027726,149267.67426812253,329.6590033618995,18395.01040185982,605401.1452,355957.1678045847,39256.524183826536,11906.51149012886,1642124.1685062079,19593.032670842487
5/25/2020,604487.9176,173550.08291314956,5438.384016671886,21494.074819214547,390313.4174031061,277483.0369254075,36865.91325789702,17602.17139361414,1725261.7228427567,22913.145839785717
6/1/2020,730728.0842265075,204292.81741743058,21599.094368345046,25762.122857990864,196677.42074293576,200188.4740156822,41035.01466052569,23281.58391598615,1840975.8739872973,27077.033577054863
6/8/2020,915167.019,240961.05442306452,48122.513943222875,31182.063862167644,67348.49816,134735.8908364544,52467.50621421661,29313.616153562496,1983360.4119685614,31878.448387501183
6/15/2020,1140243.6936254734,275423.5276637061,80743.34975007367,36768.72791212218,-18434.4713,97296.79017434473,72444.09005241346,35016.887530809974,2108392.4683755655,34833.57222461949
6/22/2020,1442568.346616551,300130.73311079486,115900.05563294986,41652.2138,-110952.9605,111474.68767310194,107148.43451753273,40119.09675356123,2210333.736398141,33504.67239351675
6/29/2020,1710706.0963102248,312114.9506376112,147335.89748774574,46108.70990397656,-220357.0577,186935.38357468933,163197.78650511286,44043.915826897144,2349422.0579279363,28540.04658263049
7/6/2020,1962955.1188883102,321540.50695780094,172117.43304175948,51280.75304348073,-291556.9065,295769.69442730333,236547.31501192896,48109.18836,2590931.4037118554,23528.42975178324
7/13/2020,2230440.8404681003,339432.3989139053,190700.97803279152,57908.70578044044,-256691.1541,382073.8929525455,309727.2656147928,53546.955398711354,2937510.6074690735,21545.26503491532
7/20/2020,2587447.199553006,366505.7860447059,248717.33008540707,65503.42337838264,-111099.4072,406317.8637798487,365760.6785855245,61675.76263,3332156.8284889003,22273.84696351205
7/27/2020,2926643.7059895224,393015.1789806038,313523.5418191863,72767.70601929295,69698.84059,380959.95758999855,405936.1607624064,70217.43237179866,3761449.997700886,22823.78127991039
8/3/2020,3218593.253,409820.84588483575,388655.58245498035,78648.50779679396,191812.71001119568,356243.1213707196,449898.2173407655,78235.82518252864,4248882.958236596,20953.959085414546
8/10/2020,3464906.7031588885,416927.14870566636,468696.6676,82913.91330534975,220163.09161184405,368831.7725202005,514778.42031160026,85340.80112353327,4813022.873,16894.310850670754
8/17/2020,3709815.9284434356,421064.47628755716,542651.3497,85950.01921195265,195286.15383327485,408878.67545642104,595502.7681427341,92158.99599327485,5403429.261507194,12174.75359338299
8/24/2020,3940245.1470956584,426942.9933347488,603649.8410891555,88330.44736491222,181386.8900766507,439937.84398684854,669123.9289004419,97763.58396319194,5961715.918950673,7585.71804
8/31/2020,4152429.6457554474,433520.29434904485,655106.8902467752,90617.52692124403,205933.17718786933,444598.3082655193,718819.3473879176,102321.78775768336,6462935.6729366295,2882.9464722237044
9/7/2020,4346555.071826059,438257.02559784666,706231.1910997495,93259.43280353077,248840.72139199614,440896.59548836784,750045.4713964604,106574.81865413762,6943603.031895577,-2002.707221
9/14/2020,4534990.555722075,441983.4845055958,761704.4881929372,96335.66268085761,278761.39909398544,453619.19909353694,784688.4111118899,111314.79322986618,7432189.993491639,-6476.78203
9/21/2020,4724710.287021096,447457.6822642708,817490.6714242032,99563.58397969308,288317.7091906986,480954.8638020891,827202.9373532394,116424.48699195113,7889222.135014429,-10275.31221
9/28/2020,4901118.268689361,454556.0785784983,867671.2225024484,102575.91466169734,294242.2653124465,500227.8485664746,868410.4635189103,121047.71760653463,8247717.840056023,-14203.59725
10/5/2020,5043179.069242693,459910.1576293417,913681.9804,105502.64456140238,314122.61309503054,504005.89013998176,896542.4102484457,124709.36601055661,8510528.763275677,-19142.53272
10/12/2020,5154713.651840035,462008.6528318062,963993.4738705289,108853.50524510241,352024.92877093295,517739.20074316394,918165.3179,128111.33488833727,8772061.403016001,-24562.60928
10/19/2020,5267474.605462874,464219.6353771903,1024023.2666625471,113068.03726080792,404729.2843558856,573855.0365343771,941557.6050395606,132368.82203333292,9124429.04,-28907.26432
10/26/2020,5405314.235190516,470485.18461912184,1088818.7791397155,117680.89863196245,473177.8772375509,673907.8738442467,971873.9709901208,137548.8172194174,9566153.012041472,-31736.28579
11/2/2020,5554874.642946055,479050.48912986554,1148436.900864658,121909.9967772658,563345.4038842005,786229.8910141657,999777.3650091277,142557.44195024297,10038805.90805022,-34702.37885
11/9/2020,5686960.665859581,483557.84649890824,1200218.1577416114,125651.40149356856,679259.2605432068,880618.8677885265,1016145.6065507666,146824.29554071533,10538623.399293453,-39544.89108
11/16/2020,5805831.2599139325,481362.35285857425,1252676.4900947125,129741.20086945304,818728.0845925257,953950.7608631208,1028849.3937467677,151649.30825244077,11163923.46640351,-45416.45292
11/23/2020,5956976.733,477995.90269989904,1315363.6948694244,134549.71705952863,972252.5846601331,1014835.4835157396,1056561.0235956155,159070.9376843109,11970712.054342352,-49438.89012
11/30/2020,6169528.670109682,480137.3119495514,1387085.1294215932,138931.54322898664,1118995.1353084072,1054336.8381073754,1104045.7400021178,169248.2569255685,12867752.712207789,-50513.44573
12/7/2020,6401065.499230988,484872.16392249014,1426088.3137578901,141244.45455556555,1224255.8807560194,1053987.1428184132,1151178.425118599,179844.71782482142,13696228.481382238,-51508.27361
12/14/2020,6570304.176524684,480641.4892756295,1464370.263,142079.4155437291,1253167.5435855966,1035959.6194257265,1175694.3134819078,189081.67829201245,14562051.359810948,-55821.60041
12/21/2020,6665664.777,462782.7826025398,1520831.6147763492,145663.60034693853,1201869.389735607,1090526.5051818592,1187930.8157124151,199475.16875197386,15873435.057081316,-61120.06102
