ds,Dengue,Zika,Chikungunya,Varicela
2007-01-01,-999.4922369507863,,,1079.6638943986347
2007-01-08,-615.1100224532876,,,1113.8023371766535
2007-01-15,-201.50693768066628,,,1235.697312844333
2007-01-22,278.6821616686866,,,1360.9708669912432
2007-01-29,805.5985250965766,,,1461.0272003000377
2007-02-05,1326.694522877942,,,1565.306919037573
2007-02-12,1808.2562315363648,,,1727.9918895711087
2007-02-19,2254.8675339824686,,,1991.8036523162284
2007-02-26,2683.8475531347835,,,2362.6613627143906
2007-03-05,3094.1073222251675,,,2803.6171247618113
2007-03-12,3467.76623679297,,,3258.730130796787
2007-03-19,3797.818793991692,,,3697.4950140635865
2007-03-26,4104.566116101211,,,4139.495306099233
2007-04-02,4420.667508360915,,,4626.612048252437
2007-04-09,4763.018084965035,,,5166.902651434406
2007-04-16,5122.472593365616,,,5716.010375638052
2007-04-23,5479.406078394168,,,6225.012678258163
2007-04-30,5825.6262366510155,,,6700.295630439057
2007-05-07,6171.01740363311,,,7196.03092953558
2007-05-14,6532.331733454294,,,7737.681792903801
2007-05-21,6917.2988709730225,,,8267.57455723116
2007-05-28,7317.302982759502,,,8688.920289760907
2007-06-04,7713.494207752481,,,8966.77599491303
2007-06-11,8093.094630840531,,,9165.495639081555
2007-06-18,8464.841563619486,,,9371.24959261975
2007-06-25,8857.186077662887,,,9592.488028731153
2007-07-02,9291.297618000137,,,9770.274941444244
2007-07-09,9746.34437150443,,,9899.787232373694
2007-07-16,10154.224940495278,,,10113.00580310602
2007-07-23,10443.997859533813,,,10594.781297590604
2007-07-30,10606.488878754692,,,11395.471387045493
2007-08-06,10716.710273924527,,,12344.80799062888
2007-08-13,10881.539376588351,,,13183.31259152342
2007-08-20,11153.469272040878,,,13792.5312500491
2007-08-27,11492.029895158272,,,14288.429957019851
2007-09-03,11811.488983179232,,,14883.97299083885
2007-09-10,12065.921969611949,,,15672.97922947018
2007-09-17,12284.880319981248,,,16562.42102824176
2007-09-24,12528.364280583999,,,17405.438848783422
2007-10-01,12817.685808285962,,,18167.802277712835
2007-10-08,13120.134172049507,,,18942.83727562236
2007-10-15,13397.612054114896,,,19818.32193752396
2007-10-22,13653.80786375564,,,20763.934025361243
2007-10-29,13920.511843947657,,,21664.260218557614
2007-11-05,14202.537594169744,,,22439.80700771703
2007-11-12,14455.480433700654,,,23101.87140952551
2007-11-19,14632.848046870693,,,24260.923247115195
2007-11-26,14752.560351088858,,,25296.8435412666
2007-12-03,14902.099913591988,,,26103.21577257122
2007-12-10,15166.950430356577,,,26621.461785862903
2007-12-17,15554.569787774544,,,26930.86011025592
2007-12-24,15994.243578164414,,,27213.657680506767
2007-12-31,16411.51186713114,,,27628.63660431285
2008-01-07,16797.086105635237,,,28215.610598358126
2008-01-14,17201.352667213632,,,28907.367580262366
2008-01-21,17669.43598330445,,,29614.472222895598
2008-01-28,18191.622492174938,,,30296.581133251424
2008-02-04,18717.329314640425,,,30974.706261962347
2008-02-11,19206.575811715702,,,31701.46594833581
2008-02-18,19658.005120970258,,,32523.880045553982
2008-02-25,20089.471321730296,,,33455.59992218583
2008-03-03,20504.205524312794,,,34466.51634567431
2008-03-10,20885.60873538863,,,35501.01976288798
2008-03-17,21222.722732225622,,,36521.04455317581
2008-03-24,21531.205737466345,,,37537.67796611381
2008-03-31,21843.642823623075,,,38592.917686399705
2008-04-07,22181.31227568063,,,39704.13063143912
2008-04-14,22539.17486638942,,,40834.46374804746
2008-04-21,22897.69824428839,,,41930.564634942195
2008-04-28,23245.55717506358,,,43307.30451305745
2008-05-05,23589.839884877532,,,44694.35462104128
2008-05-12,23947.314615051266,,,46128.40858522088
2008-05-19,24328.222122926247,,,47566.486512231546
2008-05-26,24726.803898553517,,,48911.53807965287
2008-06-02,25125.03748248936,,,50111.5224731621
2008-06-09,25507.698268500368,,,51215.89460129118
2008-06-16,25879.109202911168,,,52315.61287109319
