date,Chile,Colombia,Italy,Mexico,US
2020-03-23,7813.278000180377,1045.8850694444443,31259.0,1878.2606250000003,195896.775
2020-03-30,3456.5606995851385,1035.701625,27415.0,1966.9616666666666,215020.2575
2020-04-06,3413.778157918472,1035.701625,22609.0,1966.9616666666666,201665.995
2020-04-13,3614.7070676406943,1403.374125,18703.0,6177.819583333335,203451.37
2020-04-20,5317.15200315657,3106.282222222177,13042.0,7538.221333333347,195549.2375
2020-04-27,9866.45490575396,3158.8979166666186,8353.0,16172.660500000015,186878.6975
2020-05-04,15781.863029373404,3829.598749999999,6365.0,16689.77945833332,157109.4325
2020-05-11,30362.057722305464,5180.605000000057,4423.0,16689.77945833332,155026.465
2020-05-18,38144.00597828561,8007.399486111114,3139.0,18095.94879166665,151760.17
2020-05-25,42349.349130844865,8013.656986111114,2001.0,28545.370916666645,155841.025
2020-06-01,42925.217756115424,11762.220972222354,1991.0,29148.47791666664,162455.1125
2020-06-08,37524.811093930366,16985.014361111138,1510.0,32615.541749999964,177366.3075
2020-06-15,34531.62521613454,28749.590666666547,1811.0,43626.37541666691,244513.01
2020-06-22,26198.17423430736,37179.116583333394,1301.0,43395.34441666674,325480.43
2020-06-29,21009.907634004878,37298.555750000065,1450.0,44293.1100416669,393882.1875
2020-07-06,19986.269458270883,49674.04411111109,1373.0,45004.86275000002,445810.5325
2020-07-13,14834.244965139042,50256.98266666666,1684.0,46318.1608333336,445534.9225
2020-07-20,14356.92102158953,65259.71148611142,1952.0,46254.073541666934,431000.5025
2020-07-27,14283.000721146918,76885.73606944452,2496.0,42439.62404166672,403794.2125
2020-08-03,13158.61676027446,74090.78834722222,3349.0,41783.50837500007,392956.2775
2020-08-10,12067.232428848934,72945.69434722229,5430.0,40297.44525000014,343022.1375
2020-08-17,12070.735995899942,62808.336569444386,8873.0,36609.97212500006,290867.7675
2020-08-24,12193.843859265744,62163.06554166662,9416.0,36314.051750000064,290536.1775
2020-08-31,11988.034187909325,49478.286888889015,10119.0,33842.045375000016,270874.555
2020-09-07,11878.873020479528,49395.36422222233,10403.0,32214.75770833338,289675.3325
2020-09-14,11995.771278055287,43137.01073611158,11714.0,32643.258166666623,292313.0425
2020-09-21,12148.04754948525,41710.48975000046,15459.0,32119.016000000047,297127.045
2020-09-28,11592.34190680154,54868.601027778575,29621.0,45365.84445833356,334303.4225
2020-10-05,10931.165548680492,52008.69479166661,59291.0,49729.646458333336,391871.375
2020-10-12,10475.21428086497,59879.76769444473,111541.0,44447.35454166671,465769.0175
2020-10-19,10417.927437722,64772.66979166693,183553.0,38547.80341666683,560834.38
2020-10-26,9727.57742762099,62147.97147222216,225769.0,39419.207416666606,740547.4025
2020-11-02,9826.480393620268,49352.92568055569,243425.0,40477.73504166678,946472.25
2020-11-09,10029.647130092131,49093.82306944458,230339.0,37990.59733333328,1228562.51
2020-11-16,9960.512759421132,59411.903319444704,176310.0,50024.92258333338,1244824.29
2020-11-23,10202.372476322282,68988.6532083332,143700.0,75750.66158333357,1324157.475
2020-11-30,10766.147152368461,61696.1409305556,114834.0,75978.32020833355,1624092.4925
2020-12-07,13598.763445651573,98204.85830555606,109473.0,71807.26316666638,1561702.7875
2020-12-14,14984.39490453992,93760.63330555595,94511.0,66089.7874166666,1425009.68
2020-12-21,18391.30172375541,93567.20636111152,107750.0,59448.719666666686,1496758.4225
2020-12-28,22664.758039169144,93675.08816666708,121045.0,80332.04337500027,1667588.9925
2021-01-04,30456.888149794628,120413.95065277864,104786.0,99105.5911249998,1513067.4975
2021-01-11,29256.591349289603,115576.02305555601,85536.0,111578.53875000004,1324145.8225
2021-01-18,27634.92536428849,72730.1866388892,86219.0,105083.72395833337,1108428.03
