date,Brazil,Chile,Colombia,Dominican Republic,Germany,Italy,Mexico,Panama,US,Uruguay
2020-01-20,,,,,,,,,,
2020-01-27,,,,,,,,,,
2020-02-03,,,,,,,,,,
2020-02-10,,,,,,,,,,
2020-02-17,,,,,,,,,,
2020-02-24,858598.9375,15719.91015625,125915.0625,4810.740234375,-92848.3046875,36542.5625,96858.453125,11001.166015625,1061614.5,4567.79248046875
2020-03-02,858599.5,15722.9658203125,125915.0625,4811.13427734375,-92806.125,37164.30078125,96860.28125,11001.166015625,1061621.5,4567.79248046875
2020-03-09,858606.6875,15729.271484375,125915.5390625,4812.99755859375,-92462.4375,39752.3046875,96862.1328125,11001.166015625,1061799.75,4567.79248046875
2020-03-16,858660.0,15763.1416015625,125928.3046875,4816.63623046875,-90637.15625,48154.328125,96880.328125,11018.7998046875,1062885.75,4571.16943359375
2020-03-23,859167.0,16001.2890625,126011.6953125,4894.689453125,-83783.7265625,67119.1171875,96988.40625,11141.24609375,1074956.625,4636.48681640625
2020-03-30,860458.875,16738.84765625,126247.1875,5208.04833984375,-65158.44140625,95132.8984375,97306.6640625,11463.01171875,1122590.375,4744.8779296875
2020-04-06,863729.9375,18145.30078125,126704.3984375,5770.81005859375,-35764.98828125,126612.0,97934.515625,12040.693359375,1232853.875,4858.591796875
2020-04-13,869853.375,20234.26171875,127502.625,6629.53662109375,-2920.30908203125,158644.15625,99262.390625,12997.7783203125,1393132.125,4964.30126953125
2020-04-20,879841.0625,22919.173828125,128423.4921875,7874.23974609375,28011.314453125,188390.578125,101437.765625,14030.2490234375,1582313.875,5052.080078125
2020-04-27,895218.0625,26267.94921875,129627.2734375,9260.8017578125,54490.87109375,214029.140625,105178.734375,15280.2392578125,1793052.625,5134.3720703125
2020-05-04,919196.625,31257.611328125,131272.578125,10857.0517578125,74038.6328125,234461.265625,110786.0,16576.701171875,2007251.5,5201.8994140625
2020-05-11,956626.875,38810.03515625,133623.46875,12807.26171875,87744.6328125,249906.609375,118579.890625,17905.8828125,2209442.75,5263.3173828125
2020-05-18,1009420.8125,50742.78515625,136852.609375,14810.4638671875,97455.5390625,261351.171875,128932.859375,19158.29296875,2396528.75,5311.3515625
2020-05-25,1088592.5,70516.9765625,141091.3125,17030.55859375,104528.96875,269574.5,142742.921875,20435.076171875,2573506.5,5354.7529296875
2020-06-01,1194794.125,98738.5,146960.90625,19400.396484375,109826.984375,275330.75,159715.78125,22217.974609375,2738093.25,5402.099609375
2020-06-08,1329022.75,134112.125,154516.859375,21783.568359375,113991.078125,279295.53125,180307.546875,24517.248046875,2897319.25,5440.27783203125
2020-06-15,1480122.75,173832.3125,163856.1875,24566.720703125,117382.8828125,282287.09375,204318.984375,27974.916015625,3054626.25,5464.03369140625
2020-06-22,1656564.875,213255.921875,176638.21875,27777.5234375,120847.9296875,284551.25,231916.1875,32022.171875,3225806.25,5489.51416015625
2020-06-29,1864605.5,250086.328125,193762.421875,31640.9453125,124529.2734375,286541.75,262601.34375,36832.8359375,3436476.25,5526.73095703125
2020-07-06,2090428.5,282315.0,214613.46875,36476.76953125,128087.7890625,288234.75,296709.90625,42410.46875,3701907.5,5560.56884765625
2020-07-13,2329652.75,309541.53125,240844.578125,42379.48046875,131436.5625,289840.28125,333883.40625,48868.51171875,4022176.0,5594.876953125
2020-07-20,2568369.25,331971.25,275752.78125,49425.3046875,134750.5625,291359.0625,373721.6875,55968.65234375,4396161.5,5645.20166015625
2020-07-27,2833294.0,351141.5,318133.78125,57892.96875,138335.734375,292961.625,417347.40625,63051.48828125,4812114.5,5735.21923828125
2020-08-03,3113447.0,367932.40625,371735.5,66970.4453125,142502.25,294712.125,463216.53125,70194.375,5241695.5,5832.794921875
2020-08-10,3401831.5,383211.90625,433222.46875,75630.40625,147704.09375,296801.90625,507543.78125,77299.0703125,5665707.5,5924.1318359375
2020-08-17,3694210.0,397529.03125,503726.875,83564.3828125,154302.03125,299446.625,550919.0625,84523.703125,6072973.0,6018.51123046875
2020-08-24,3977946.0,410973.96875,576606.0625,90264.3515625,162621.390625,303271.46875,592237.6875,90798.578125,6440520.5,6113.32373046875
2020-08-31,4247411.5,424085.3125,648392.6875,95382.578125,171915.65625,309215.9375,631183.375,96553.46875,6776171.0,6193.57958984375
2020-09-07,4513907.5,437105.15625,715421.9375,100305.5078125,181530.796875,316850.03125,669410.1875,101907.4296875,7087113.5,6281.021484375
2020-09-14,4750909.5,449994.15625,775753.0,104916.125,191731.71875,325893.6875,706046.125,106918.3671875,7373630.5,6389.5068359375
