date,Chile,Colombia,Italy,Mexico,US
2020-03-23,50171.50809883885,10627.69519609958,820701.0218570903,11268.164859030396,2186090.2530426085
2020-03-30,55161.90833707154,42202.60083274171,1260597.4648835734,42698.38919404894,4554302.16738385
2020-04-06,62285.53008352965,54716.577727433294,1288597.9495750144,61705.07022090629,4625918.629039913
2020-04-13,67353.36055506952,33694.555825576186,1310968.7283493206,38878.12014392018,6185904.977156073
2020-04-20,106049.54976431467,12351.491227701306,1414194.5834944919,104044.13640885055,7660410.834964037
2020-04-27,187356.67029528506,61218.035402044654,1442294.6726939753,169502.71919401363,8761713.119217634
2020-05-04,309570.968504522,87961.57017940283,1469057.7023140267,265501.78835267946,9492302.94522059
2020-05-11,478875.2247562427,141285.45102773607,1538635.411026217,409671.28798790276,11004919.54686436
2020-05-18,747922.6525490768,153602.69636100158,1530786.449416943,566143.0041639954,12065384.397592425
2020-05-25,1018433.8140705004,225038.56184147298,1539254.5193760693,717221.9980516583,13253929.755715102
2020-06-01,1322749.916085286,302341.59962405264,1688290.5462862775,964191.1653196253,13958534.940377504
2020-06-08,1596891.457912581,383257.3591719344,1637522.2239486873,1177158.4493412636,14926721.74404344
2020-06-15,1795733.3670139108,567688.5782933943,1587702.0818136856,1423710.4396329634,16727304.472421438
2020-06-22,2014964.394920067,739725.0635598116,1694982.525545083,1718502.874649305,18732976.346330315
2020-06-29,2143491.4096834846,984252.67466598,1672919.61862126,2040744.4434569366,21871616.309872627
2020-07-06,2272521.925499483,1284377.5029153153,1664084.8066246584,2286143.222316291,24653319.899452
2020-07-13,2363675.7781265276,1632269.5543634817,1655846.1695632413,2651754.648092579,28255387.503381163
2020-07-20,2470173.60578335,2005204.5029514171,1694879.3752634898,2955021.956270553,32137932.27691555
2020-07-27,2555609.23007014,2532875.519945316,1680790.2364732176,3266562.657410521,34441212.218996555
2020-08-03,2657289.541743596,2973464.6405554563,1806106.2013280466,3535515.315455733,37278769.3927705
2020-08-10,2745446.2309294753,3595898.4852105416,1851376.1887922883,3803410.3039875235,39060202.565956295
2020-08-17,2825831.627408703,4057362.421437435,1908136.4671659917,4031552.009891359,40376816.36745861
2020-08-24,2910566.522551243,4513537.386961777,1977290.6409255043,4304905.700891519,42947574.382359594
2020-08-31,3002582.409542475,4872898.882194854,1985169.2410377786,4563866.442733806,44547514.18086001
2020-09-07,3104341.366457494,5174525.683060922,2088746.2991774455,4780095.497439554,46578285.92093
2020-09-14,3173372.7999261254,5508631.094051383,2021332.4773527682,4972118.010686995,49270392.80227041
2020-09-21,3241185.2391062947,5864356.360602308,2209713.650508903,5216010.623112945,50698621.38912219
2020-09-28,3337119.8332660235,6133359.436932381,2386673.2975459844,5444718.144440804,53253767.43957272
2020-10-05,3413250.1130314013,6615049.281874957,2721238.8071097955,5959328.35371786,56145286.98345733
2020-10-12,3478664.6959184585,6885616.835706089,3357153.209823273,6154425.693765828,58982014.57717717
2020-10-19,3548304.077445633,7327979.603782369,4426887.024278544,6407255.514051432,63366332.432974935
2020-10-26,3617128.594711258,7832806.738614205,5866566.515576366,6644381.801798958,67028334.46958217
2020-11-02,3686078.599277023,8235439.65523899,7552596.430257779,6923686.729899278,74238380.46829814
