date,Brazil,Chile,Colombia,Dominican Republic,Germany,Italy,Mexico,Panama,US,Uruguay
1/20/2020,0,0,0,0,0,0,0,0,12,0
1/27/2020,0,0,0,0,30,6,0,0,31,0
2/3/2020,0,0,0,0,44,9,0,0,54,0
2/10/2020,0,0,0,0,62,14,0,0,82,0
2/17/2020,0,6,0,0,83,19,0,0,114,0
2/24/2020,6,12,0,3,106,25,15,0,153,0
3/2/2020,9,20,3,4,131,32,23,0,199,0
3/9/2020,14,29,6,6,160,40,33,129,253,24
3/16/2020,20,39,10,8,192,48,44,247,317,39
3/23/2020,27,51,15,10,228,59,57,391,394,58
3/30/2020,34,64,21,13,269,70,71,549,484,79
4/6/2020,42,78,28,15,314,83,86,722,591,103
4/13/2020,52,95,35,18,365,98,103,912,717,129
4/20/2020,63,113,43,22,422,114,121,1120,867,158
4/27/2020,75,134,53,25,486,134,141,1348,1045,190
5/4/2020,89,158,63,29,557,155,163,1598,1255,226
5/11/2020,105,185,76,33,637,180,188,1872,1505,266
5/18/2020,123,215,90,38,726,208,215,2172,1800,309
5/25/2020,143,249,106,43,827,240,244,2500,2150,358
6/1/2020,166,288,124,48,939,276,277,2860,2564,411
6/8/2020,192,331,144,55,1065,317,312,3253,3055,470
6/15/2020,222,380,167,61,1206,363,352,3685,3636,536
6/22/2020,255,436,194,68,1364,416,395,4157,4325,608
6/29/2020,294,498,224,76,1541,477,442,4674,5141,689
7/6/2020,337,569,258,85,1739,545,495,5239,6107,778
7/13/2020,386,648,297,95,1961,623,552,5859,7252,876
7/20/2020,442,738,341,105,2209,711,615,6537,8608,985
7/27/2020,505,839,391,117,2488,812,685,7278,10213,1106
8/3/2020,577,954,448,129,2800,926,761,8089,12116,1239
8/10/2020,658,1083,513,143,3149,1056,845,8977,14369,1387
8/17/2020,751,1228,587,158,3540,1203,937,9947,17038,1550
8/24/2020,856,1393,671,174,3979,1371,1039,11007,20199,1731
8/31/2020,974,1578,766,192,4470,1561,1151,12167,23943,1932
9/7/2020,1109,1787,875,212,5020,1777,1273,13433,28377,2153
9/14/2020,1262,2024,998,233,5636,2023,1408,14817,33630,2398
9/21/2020,1436,2290,1138,256,6326,2303,1557,16328,39850,2670
9/28/2020,1633,2591,1297,282,7099,2620,1720,17977,47217,2970
10/5/2020,1857,2930,1478,310,7964,2981,1900,19776,55942,3302
10/12/2020,2110,3313,1684,341,8934,3391,2097,21739,66274,3669
10/19/2020,2398,3745,1918,375,10020,3857,2314,23878,78509,4076
10/26/2020,2725,4232,2184,411,11237,4387,2553,26209,92997,4525
11/2/2020,3095,4782,2487,452,12599,4988,2815,28747,110150,5022
11/9/2020,3515,5403,2831,496,14126,5672,3104,31508,130459,5572
11/16/2020,3992,6103,3221,544,15835,6449,3421,34512,154499,6180
11/23/2020,4533,6892,3666,597,17750,7332,3770,37776,182955,6852
11/30/2020,5147,7783,4170,654,19894,8335,4154,41320,216633,7594
12/7/2020,5843,8788,4744,718,22296,9475,4576,45165,256483,8415
12/14/2020,6633,9922,5397,787,24986,10770,5039,49333,303628,9322
12/21/2020,7530,11200,6139,862,27999,12241,5550,53846,359391,10324
12/28/2020,8547,12642,6982,945,31373,13914,6111,58727,425328,11431
1/4/2021,9700,14268,7940,1036,35151,15813,6727,64000,503272,12653
1/11/2021,11009,16101,9029,1135,39383,17972,7406,69690,595371,14002
1/18/2021,12494,18168,10267,1243,44121,20425,8151,75820,704150,15491
1/25/2021,14179,20498,11673,1362,49428,23211,8972,82415,832558,17134
2/1/2021,16090,23125,13272,1491,55370,26377,9873,89499,984044,18945
2/8/2021,18258,26084,15089,1633,62023,29973,10865,97094,1162621,20942
2/15/2021,20718,29419,17154,1788,69473,34059,11955,105224,1372949,23142
2/22/2021,23509,33176,19501,1958,77814,38700,13154,113908,1620420,25565
