date,dengue_no_split,zika,varicela,chicunguya
1/1/2007,945,,750,
1/8/2007,1624.05059,,1483.807746,
1/15/2007,1997.940927,,1982.631049,
1/22/2007,2372.782641,,2485.056389,
1/29/2007,2748.577049,,2991.106424,
2/5/2007,3125.325458,,3500.803914,
2/12/2007,3503.029168,,4014.171703,
2/19/2007,3881.689477,,4531.232725,
2/26/2007,4261.307682,,5052.010002,
3/5/2007,4641.885066,,5576.526647,
3/12/2007,5023.422913,,6104.805861,
3/19/2007,5405.922498,,6636.870934,
3/26/2007,5789.385093,,7172.745243,
4/2/2007,6173.811961,,7712.452252,
4/9/2007,6559.204363,,8256.015512,
4/16/2007,6945.563553,,8803.458655,
4/23/2007,7332.890778,,9354.805401,
4/30/2007,7721.187281,,9910.07956,
5/7/2007,8110.454299,,10469.30501,
5/14/2007,8500.69306,,11032.50573,
5/21/2007,8891.904788,,11599.70578,
5/28/2007,9284.090704,,12170.92928,
6/4/2007,9677.252023,,12746.20044,
6/11/2007,10071.38995,,13325.54357,
6/18/2007,10466.5057,,13908.98304,
6/25/2007,10862.60045,,14496.54329,
7/2/2007,11259.67541,,15088.24887,
7/9/2007,11657.73173,,15684.12436,
7/16/2007,12056.7706,,16284.19445,
7/23/2007,12456.7932,,16888.48389,
7/30/2007,12857.80069,,17497.01751,
8/6/2007,13259.79424,,18109.8202,
8/13/2007,13662.77498,,18726.91693,
8/20/2007,14066.74406,,19348.33277,
8/27/2007,14471.70262,,19974.09283,
9/3/2007,14877.65178,,20604.22226,
9/10/2007,15284.59268,,21238.74633,
9/17/2007,15692.52643,,21877.69034,
9/24/2007,16101.45416,,22521.07969,
10/1/2007,16511.37695,,23168.9398,
10/8/2007,16922.29589,,23821.29619,
10/15/2007,17334.21209,,24478.17441,
10/22/2007,17747.12662,,25139.60008,
10/29/2007,18161.04057,,25805.59889,
11/5/2007,18575.955,,26476.19658,
11/12/2007,18991.87098,,27151.41895,
11/19/2007,19408.78955,,27831.29184,
11/26/2007,19826.71175,,28515.84116,
12/3/2007,20245.63864,,29205.09287,
12/10/2007,20665.57125,,29899.07296,
