date,Brazil,Chile,Colombia,Dominican Republic,Germany,Italy,Mexico,Panama,US,Uruguay
1/20/2020,0,0,0,0,0,0,0,0,4,0
1/27/2020,0,0,0,0,10,2,0,0,11,0
2/3/2020,0,0,0,0,16,3,0,0,20,0
2/10/2020,0,0,0,0,23,5,0,0,31,0
2/17/2020,0,2,0,0,30,8,0,0,44,0
2/24/2020,2,5,0,1,39,11,5,0,60,0
3/2/2020,10,9,1,8,49,14,44,0,78,0
3/9/2020,21,14,5,18,61,17,89,43,101,8
3/16/2020,35,20,10,28,74,22,141,110,129,14
3/23/2020,53,27,17,41,88,26,202,186,162,22
3/30/2020,75,34,26,56,105,32,272,272,202,31
4/6/2020,104,43,36,74,124,39,354,368,249,40
4/13/2020,140,53,50,94,145,46,448,478,307,51
4/20/2020,186,65,66,119,169,55,557,601,377,64
4/27/2020,244,79,86,147,196,64,683,740,460,77
5/4/2020,317,95,112,181,227,76,829,896,561,93
5/11/2020,411,113,144,220,262,89,999,1073,682,110
5/18/2020,529,134,183,266,302,104,1195,1273,829,129
5/25/2020,679,159,232,321,346,121,1421,1498,1004,151
6/1/2020,870,187,293,384,397,141,1684,1751,1216,175
6/8/2020,1111,220,370,459,455,164,1988,2037,1472,203
6/15/2020,1418,258,464,547,520,190,2340,2360,1779,233
6/22/2020,1806,302,583,650,593,221,2747,2723,2149,268
6/29/2020,2299,353,730,772,676,256,3219,3133,2595,306
7/6/2020,2924,412,913,914,771,296,3764,3595,3131,349
7/13/2020,3717,480,1140,1081,878,343,4396,4116,3778,398
7/20/2020,4722,559,1424,1278,999,396,5127,4703,4556,452
7/27/2020,5997,650,1777,1508,1135,458,5974,5363,5493,513
8/3/2020,7613,755,2216,1778,1290,529,6953,6107,6622,582
8/10/2020,9663,878,2763,2096,1466,611,8086,6945,7981,659
8/17/2020,12262,1019,3444,2468,1665,705,9398,7888,9618,745
8/24/2020,15558,1183,4291,2905,1890,813,10916,8949,11589,841
8/31/2020,19737,1372,5346,3417,2144,938,12672,10142,13963,950
9/7/2020,25035,1591,6658,4017,2433,1082,14703,11483,16821,1071
9/14/2020,31751,1844,8291,4720,2760,1247,17053,12989,20262,1207
9/21/2020,40264,2138,10322,5543,3129,1438,19771,14681,24406,1360
9/28/2020,51051,2477,12849,6506,3548,1657,22914,16580,29396,1531
10/5/2020,64719,2870,15991,7633,4022,1910,26547,18709,35403,1724
10/12/2020,82032,3324,19898,8950,4558,2201,30748,21096,42637,1939
10/19/2020,103953,3849,24755,10488,5166,2536,35602,23767,51346,2180
10/26/2020,131699,4457,30788,12282,5854,2922,41210,26755,61831,2451
11/2/2020,166797,5160,38280,14373,6633,3366,47687,30092,74453,2755
11/9/2020,211164,5974,47578,16804,7514,3878,55165,33817,89647,3095
11/16/2020,267200,6914,59108,19629,8513,4467,63794,37967,107935,3476
11/23/2020,337895,8002,73391,22903,9643,5145,73748,42583,129945,3904
11/30/2020,426959,9260,91066,26690,10922,5927,85221,47711,156432,4383
12/7/2020,538969,10715,112903,31060,12371,6826,98438,53395,188301,4919
12/14/2020,679525,12396,139836,36087,14011,7862,113651,59683,226639,5520
12/21/2020,855416,14340,172979,41850,15867,9054,131147,66622,272749,6194
12/28/2020,1074761,16586,213651,48431,17969,10427,151247,74261,328193,6948
1/4/2021,1347122,19181,263394,55913,20349,12008,174311,82647,394840,7792
1/11/2021,1683509,22179,323981,64377,23042,13827,200742,91823,474923,8737
1/18/2021,2096244,25640,397407,73897,26091,15923,230982,101831,571108,9795
1/25/2021,2598589,29636,485855,84536,29543,18335,265521,112706,686570,10978
2/1/2021,3204043,34248,591622,96342,33450,21112,304889,124476,825084,12302
2/8/2021,3925244,39567,717005,109338,37872,24308,349658,137161,991124,13781
2/15/2021,4772421,45699,864120,123521,42878,27988,400435,150769,1189976,15435
2/22/2021,5751485,52764,1034670,138853,48543,32223,457856,165294,1427859,17282
3/1/2021,6861962,60899,1229662,155259,54956,37097,522570,180719,1712059,19345
